 	je	lui	ai	appris	à	lire	et	à	écrire	en	mbochi	</S>
a23	0.224698	0.147589	0.103381	0.114696	0.0943722	0.0950601	0.0835942	0.0544192	0.0283006	0.0185001	0.0176136	0.0177759
a87	0.30755	0.243703	0.153417	0.0642761	0.0377672	0.0429632	0.0283195	0.0228683	0.0212465	0.0192677	0.0329522	0.0256687
a23	0.205057	0.210405	0.177488	0.0993877	0.050824	0.0511538	0.0333869	0.0246756	0.0234694	0.0251727	0.0394729	0.0595065
a87	0.304417	0.259055	0.194827	0.0722621	0.040408	0.0282894	0.011926	0.0103091	0.0100828	0.0127155	0.0234433	0.0322655
a23	0.201419	0.200758	0.16774	0.0915646	0.0599656	0.0529576	0.0325328	0.0285844	0.0269764	0.0315532	0.0459894	0.0599595
a18	0.245659	0.186142	0.135488	0.0767935	0.0555022	0.037863	0.0257733	0.0242065	0.0197303	0.0293685	0.0656093	0.0978648
a50	0.315068	0.235606	0.156663	0.114871	0.0793016	0.0465362	0.0125729	0.00781028	0.00618259	0.00640714	0.008338	0.0106439
a31	0.353214	0.264563	0.180375	0.0907199	0.0473221	0.0263532	0.00835252	0.0053947	0.00468796	0.00479585	0.00604418	0.00817713
a61	0.266002	0.229031	0.202135	0.128802	0.075182	0.0420646	0.013443	0.008689	0.00741396	0.00736805	0.00881344	0.0110564
a47	0.141221	0.143766	0.163028	0.15702	0.120739	0.0888405	0.0363519	0.028953	0.0268068	0.0263955	0.0302084	0.036669
a0	0.100504	0.105112	0.140048	0.153715	0.170249	0.136114	0.050695	0.0337518	0.0283902	0.0262176	0.0256413	0.0295622
a62	0.0823741	0.0947282	0.12655	0.153477	0.191572	0.158326	0.0583993	0.0343229	0.0271356	0.023184	0.0223149	0.0276169
a47	0.0852847	0.101105	0.121448	0.132849	0.168036	0.160046	0.073191	0.0383046	0.0301843	0.0280581	0.0272839	0.0342093
a24	0.0854082	0.101504	0.122757	0.149581	0.170899	0.150448	0.0673152	0.0393906	0.0289111	0.0259731	0.0250897	0.0327228
a9	0.0680664	0.0733735	0.0844426	0.109486	0.145176	0.163145	0.0979908	0.0539372	0.0383879	0.0426661	0.0498602	0.073468
a38	0.0118216	0.013755	0.0177683	0.0328769	0.0583355	0.163186	0.20157	0.130516	0.0897269	0.0820232	0.0918889	0.106532
a21	0.0113855	0.0119867	0.0157181	0.0267683	0.0437712	0.131042	0.232363	0.139571	0.0758427	0.0822934	0.0927828	0.136475
a61	0.0646591	0.0621845	0.0737167	0.101477	0.133205	0.152623	0.135989	0.0897489	0.0570093	0.0428126	0.0358503	0.050725
a96	0.0440481	0.0425927	0.0439101	0.053797	0.0715027	0.112556	0.166326	0.1352	0.0836856	0.0688899	0.070761	0.10673
a21	0.0212234	0.0203999	0.0199749	0.026095	0.0335091	0.0736946	0.183672	0.178114	0.111734	0.0915342	0.101146	0.138902
a47	0.093481	0.0803269	0.0795771	0.0765509	0.0684817	0.0657261	0.128031	0.137332	0.0918713	0.0667813	0.0490499	0.0627911
a75	0.030254	0.0284781	0.0292499	0.0361999	0.0414287	0.0582015	0.13614	0.169025	0.145253	0.116617	0.0922543	0.116898
a85	0.0180698	0.0143042	0.0131482	0.0164344	0.0197197	0.0297237	0.0976079	0.143869	0.153509	0.18803	0.13483	0.170754
a0	0.0169937	0.012388	0.0106575	0.0121501	0.0164561	0.0220104	0.0768779	0.10852	0.138907	0.202638	0.156676	0.225725
a11	0.0118121	0.0101334	0.00937688	0.0108684	0.0116485	0.0188814	0.0620118	0.0994811	0.128316	0.180269	0.163791	0.293411
a88	0.00424501	0.00370404	0.00362066	0.00447814	0.0045416	0.0107138	0.0488142	0.0802964	0.118334	0.172033	0.203455	0.345764
a9	0.00250754	0.00239024	0.00240872	0.00300736	0.00260795	0.00640622	0.0315326	0.0537371	0.0951929	0.17233	0.237197	0.390682
a75	0.00644813	0.00570013	0.00544573	0.00460496	0.00382835	0.00679178	0.0329183	0.0570903	0.090596	0.1625	0.213748	0.410328
a6	0.0029814	0.00229253	0.00188766	0.00165012	0.00155707	0.00390367	0.0195956	0.0338513	0.0672894	0.15804	0.262015	0.444935
a61	0.00184736	0.00134459	0.00117392	0.00143187	0.00189916	0.00408874	0.0173766	0.029593	0.0611136	0.16374	0.247671	0.468721
a85	0.000822555	0.000743958	0.000678229	0.000895257	0.000883004	0.00245515	0.0111784	0.021308	0.0549439	0.153949	0.25279	0.499352
a37	0.000784946	0.000669119	0.000662931	0.000827099	0.000963619	0.0020464	0.00791749	0.0150981	0.0433628	0.14833	0.271324	0.508014
a34	0.000687525	0.000559116	0.00051529	0.000645833	0.000616095	0.00161744	0.00764945	0.014211	0.0393482	0.12694	0.254268	0.552943
a21	0.000482813	0.000377159	0.00032789	0.00038772	0.000354774	0.00100105	0.00592976	0.0113092	0.0322297	0.109739	0.234344	0.603516
a5	0.000462992	0.000384207	0.000374007	0.000536739	0.000593684	0.00168458	0.00710162	0.0131324	0.0388587	0.126337	0.247947	0.562588
a96	0.0012122	0.00105138	0.00103926	0.00125192	0.00108439	0.00205093	0.00766954	0.014932	0.0424983	0.132107	0.244273	0.55083
a83	0.000790724	0.000799508	0.000779333	0.000980102	0.000894957	0.00178602	0.00769291	0.0177574	0.054972	0.13416	0.234489	0.544898
a90	0.000833741	0.000850422	0.000785083	0.000927946	0.000845205	0.00175301	0.00782257	0.0177183	0.0564256	0.142057	0.258544	0.511437
a56	0.000151019	0.000141626	0.000159806	0.000249617	0.000306742	0.00100944	0.00591082	0.0137275	0.0427104	0.11813	0.24167	0.575833
a43	0.000165388	0.000158567	0.000161737	0.000234826	0.000257008	0.00072021	0.00402271	0.0108004	0.0403052	0.114465	0.236688	0.592021
a0	0.000241761	0.000222677	0.000197471	0.000215505	0.000222062	0.000578593	0.00362241	0.00851397	0.0334885	0.116137	0.267939	0.568621
a10	0.0010163	0.000853104	0.000753852	0.000748828	0.000702315	0.00148885	0.00827313	0.0159036	0.0505778	0.156487	0.263426	0.499769
a87	0.0121779	0.0100497	0.007874	0.0066919	0.00627002	0.0098188	0.0258399	0.0347941	0.07389	0.160172	0.253235	0.399187
a23	0.124712	0.118017	0.103292	0.0572154	0.0289725	0.0188982	0.0261429	0.0355516	0.0585233	0.0928486	0.151404	0.184422
a87	0.0298987	0.0233289	0.0196686	0.0103085	0.00633986	0.00694643	0.0156921	0.0290127	0.071409	0.147068	0.269237	0.371091
</S>	0.00935503	0.00768373	0.00698261	0.00455197	0.00401491	0.00583003	0.0179719	0.0275591	0.068895	0.144146	0.25739	0.44562
