 	l'	assesseur	parle	avec	un	petit	balai	à	la	main	</S>
a66	0.29888	0.167432	0.108234	0.0845061	0.0781678	0.0771798	0.0653705	0.0446544	0.032579	0.0244426	0.0185531
a87	0.335164	0.196023	0.118557	0.0857827	0.0611441	0.0556232	0.0475123	0.0317608	0.0267066	0.0224724	0.0192533
a23	0.301597	0.253813	0.190733	0.0870761	0.0412071	0.0273615	0.022382	0.0169835	0.0173088	0.0193532	0.0221842
a9	0.266055	0.227626	0.15071	0.0848663	0.0515085	0.0420405	0.0344794	0.0317021	0.0323482	0.0347408	0.0439235
a3	0.243414	0.194112	0.14434	0.0778281	0.0470761	0.0384981	0.0413354	0.0449838	0.047611	0.0529872	0.067815
a83	0.230337	0.180368	0.135795	0.0851997	0.0585361	0.0488416	0.0482233	0.048557	0.0457271	0.0511539	0.0672614
a18	0.231784	0.203112	0.141274	0.0768039	0.0573683	0.0418724	0.0433316	0.0448307	0.0452586	0.0499846	0.0643793
a54	0.16349	0.179251	0.184837	0.135146	0.0941088	0.0547933	0.0447223	0.0358293	0.0313181	0.0326157	0.0438892
a7	0.139755	0.176577	0.186076	0.147684	0.116789	0.0730064	0.0518955	0.0368575	0.0257617	0.022203	0.0233948
a26	0.0733336	0.117764	0.167418	0.183629	0.156658	0.0960637	0.0604022	0.0427402	0.0336138	0.0319424	0.0364349
a44	0.047268	0.0768939	0.133254	0.171578	0.159925	0.103347	0.0685693	0.0522049	0.0519341	0.0579105	0.0771152
a13	0.0298072	0.0464833	0.101843	0.179521	0.197064	0.132121	0.079395	0.0554352	0.0527097	0.0536208	0.0720003
a38	0.0211808	0.0297533	0.0705768	0.134975	0.180315	0.142627	0.0922112	0.0628566	0.0678862	0.0798806	0.117738
a5	0.0170138	0.0226973	0.049449	0.104755	0.173273	0.160857	0.106775	0.070159	0.0748221	0.0888817	0.131316
a36	0.0124974	0.0170421	0.034719	0.0738713	0.135	0.165862	0.13868	0.0978089	0.0912157	0.0989109	0.134393
a7	0.0122256	0.0151353	0.0294542	0.0612913	0.123519	0.162119	0.144442	0.0930708	0.0894778	0.105765	0.163499
a44	0.00891721	0.0100329	0.0171794	0.032192	0.0682423	0.101134	0.128304	0.107964	0.116921	0.155342	0.253772
a7	0.00850589	0.00953497	0.0171517	0.0337646	0.0752772	0.126642	0.168319	0.147588	0.117019	0.119188	0.17701
a37	0.00476272	0.00480981	0.00892813	0.0191528	0.0467965	0.0816269	0.130011	0.15131	0.149577	0.160843	0.242182
a38	0.00334128	0.00319859	0.0053043	0.0109277	0.0270796	0.0499724	0.0862027	0.131821	0.172038	0.202831	0.307283
a66	0.00225161	0.00193672	0.00291012	0.00599974	0.0160266	0.0293596	0.0534388	0.100952	0.188737	0.24734	0.351048
a40	0.00291558	0.00200499	0.00203898	0.00303454	0.0076509	0.0177998	0.0425551	0.0961492	0.212136	0.270022	0.343692
a7	0.00154445	0.00109342	0.00139985	0.00269756	0.00735922	0.0166479	0.0360818	0.0767442	0.181392	0.290439	0.384601
a26	0.00143784	0.00117751	0.0012945	0.00194132	0.00525051	0.0121205	0.0335886	0.0787906	0.180134	0.282178	0.402086
a57	0.00594795	0.00427337	0.00407405	0.00562524	0.0118942	0.0205043	0.0483987	0.0985259	0.184318	0.259215	0.357223
a4	0.019949	0.0126455	0.0101926	0.0126671	0.0205297	0.0245677	0.0442682	0.0811262	0.157116	0.250691	0.366247
a58	0.00601803	0.00436831	0.003788	0.00540973	0.0113952	0.0179004	0.037093	0.0774648	0.168846	0.271475	0.396241
a82	0.0062344	0.00456854	0.00406921	0.00554046	0.0105998	0.0141906	0.0281376	0.0620057	0.144127	0.267427	0.453099
a87	0.0548374	0.035595	0.0270576	0.0275433	0.0325716	0.0309602	0.0420856	0.066139	0.121994	0.213582	0.347635
a97	0.191809	0.116488	0.0805501	0.0667167	0.0477985	0.0363784	0.0389251	0.052383	0.0868835	0.129999	0.152068
a87	0.128905	0.0931031	0.0676167	0.0636827	0.0504404	0.0507224	0.0587692	0.0802089	0.115864	0.140755	0.149933
a23	0.119178	0.0879364	0.0655834	0.0654723	0.0667335	0.0826987	0.0838325	0.0925941	0.103414	0.114361	0.118196
a97	0.16149	0.122109	0.0988157	0.0825456	0.0677489	0.0620389	0.0643083	0.0783518	0.075064	0.0795262	0.108001
a23	0.164349	0.131191	0.103883	0.0896097	0.0768282	0.0617285	0.0576834	0.0664785	0.0661551	0.075785	0.106308
a87	0.177912	0.138789	0.110431	0.095874	0.0777467	0.0585827	0.0532007	0.0604675	0.0590812	0.0676473	0.100268
</S>	0.183699	0.13574	0.114252	0.101596	0.0832155	0.0582051	0.0526563	0.0582457	0.0553859	0.065118	0.0918859
