 	il	n'	y	a	pas	de	riches	dans	notre	village	</S>
a66	0.183771	0.135376	0.108964	0.119182	0.144283	0.133061	0.091566	0.0474281	0.0172707	0.00934917	0.00974921
a87	0.150906	0.106231	0.0916403	0.116692	0.123203	0.102213	0.104087	0.0743363	0.0437351	0.0351535	0.0518035
a23	0.223468	0.147405	0.13058	0.127153	0.101668	0.075761	0.0539359	0.032753	0.0242797	0.0255289	0.0574673
a87	0.204441	0.141587	0.178861	0.178954	0.119631	0.0665267	0.0292163	0.0187247	0.013669	0.0149108	0.0334798
a10	0.200906	0.13935	0.178905	0.177187	0.118328	0.0656348	0.0294829	0.0217715	0.0160381	0.0178216	0.0345748
a53	0.220751	0.161523	0.176022	0.148124	0.0995384	0.0598608	0.0227356	0.0217768	0.0218665	0.0249072	0.0428944
a90	0.283934	0.212422	0.159168	0.10357	0.079593	0.0552874	0.0187008	0.01746	0.0202917	0.0184073	0.0311659
a4	0.232641	0.203369	0.176928	0.120313	0.0888503	0.0723324	0.0265428	0.0185386	0.0194594	0.0163985	0.0246278
a61	0.1688	0.176536	0.186006	0.139055	0.110911	0.0916362	0.0371148	0.0236038	0.0232917	0.0179901	0.0250565
a0	0.13243	0.146428	0.17492	0.150203	0.138255	0.120867	0.0567083	0.025431	0.0209234	0.0145094	0.0193253
a21	0.0962845	0.106389	0.140942	0.136158	0.151603	0.132792	0.0881312	0.0383154	0.0335237	0.0299956	0.0458656
a61	0.0939432	0.101311	0.129964	0.135387	0.163568	0.174094	0.112411	0.0352233	0.0218579	0.0143707	0.0178709
a31	0.0676214	0.0787006	0.11504	0.136813	0.180495	0.19428	0.130193	0.0367135	0.0216854	0.0166612	0.0217973
a88	0.0599852	0.0647959	0.0901545	0.112978	0.16385	0.18787	0.176922	0.0549535	0.0300905	0.0253344	0.0330652
a61	0.0415598	0.0443593	0.0674211	0.101075	0.161301	0.185059	0.207101	0.0723195	0.0380345	0.0327358	0.0490336
a21	0.0399571	0.042378	0.0596586	0.0881793	0.143929	0.179402	0.227861	0.0955611	0.0462616	0.0331782	0.0436342
a41	0.0526382	0.0512084	0.0653013	0.0951349	0.145043	0.178488	0.204484	0.106285	0.0445285	0.0277038	0.0291859
a61	0.0332423	0.0321219	0.0402539	0.0689072	0.154952	0.19524	0.205078	0.10096	0.0544275	0.0485621	0.0662555
a47	0.0317267	0.0290005	0.036098	0.0571481	0.11748	0.157418	0.234313	0.146077	0.0697421	0.0537056	0.0672915
a88	0.0318859	0.0303318	0.0383431	0.0594594	0.11882	0.146322	0.207358	0.142451	0.0741342	0.0627862	0.0881089
a9	0.02089	0.0197096	0.0269791	0.0445669	0.091204	0.113468	0.209404	0.158609	0.0941787	0.085459	0.135532
a38	0.0136545	0.0151765	0.0196948	0.0315001	0.0702634	0.0751366	0.192483	0.160342	0.123557	0.115789	0.182404
a75	0.0156369	0.0161391	0.0207	0.030678	0.0592324	0.0598829	0.177559	0.169516	0.127827	0.122662	0.200167
a47	0.0116385	0.00943612	0.00947818	0.0122333	0.0196966	0.0229864	0.0696471	0.103218	0.153601	0.245573	0.342492
a30	0.0177467	0.014205	0.0143539	0.01752	0.0271406	0.0268958	0.0554549	0.0777211	0.131364	0.230727	0.386871
a2	0.0132162	0.0116969	0.012935	0.0179759	0.0275747	0.0244328	0.044548	0.0624578	0.117143	0.233846	0.434173
a57	0.0241968	0.0220551	0.0212973	0.0230477	0.0298203	0.0242884	0.0513909	0.0669029	0.108375	0.2048	0.423825
a87	0.0201968	0.0172661	0.0172783	0.0204687	0.025169	0.0236848	0.0787287	0.120763	0.163962	0.205258	0.307225
a23	0.0448243	0.0343983	0.0271026	0.0326046	0.0363842	0.0317155	0.078309	0.14265	0.161393	0.159914	0.250704
a97	0.0194695	0.0146537	0.0108559	0.014905	0.0184519	0.0242987	0.0776715	0.181672	0.203753	0.170686	0.263584
</S>	0.0295644	0.0220618	0.016704	0.0259643	0.0376655	0.0415009	0.0767767	0.116602	0.165999	0.185121	0.282041
