 	il	n'	a	plus	qu'	un	an	à	vivre	</S>
a87	0.216281	0.149867	0.137319	0.139328	0.10865	0.0833757	0.0480872	0.0428679	0.0410746	0.0331494
a23	0.30602	0.165449	0.109975	0.0748081	0.0755884	0.0774655	0.0438546	0.0355019	0.0538215	0.057517
a79	0.194993	0.157388	0.121061	0.0908982	0.0796873	0.0689246	0.0451033	0.0482079	0.084526	0.10921
a41	0.367428	0.223979	0.167504	0.0780558	0.0434182	0.0291826	0.0177573	0.0177516	0.0247132	0.0302109
a66	0.352825	0.234526	0.17423	0.0894647	0.0476325	0.0284225	0.0145687	0.0150273	0.0203778	0.022926
a94	0.329297	0.243915	0.182817	0.0987134	0.0443603	0.0233564	0.0120936	0.0137268	0.0230963	0.0286246
a35	0.142822	0.161728	0.171918	0.151231	0.0950629	0.0660646	0.0410902	0.0460611	0.0600356	0.0639865
a66	0.131848	0.161496	0.178084	0.156148	0.10895	0.0822902	0.0432027	0.0412697	0.0445718	0.0521407
a9	0.112967	0.148967	0.181454	0.180049	0.112243	0.0755754	0.0392953	0.0387394	0.0492911	0.0614189
a38	0.0658436	0.0870019	0.12294	0.163888	0.149537	0.115416	0.0701795	0.0708662	0.0803904	0.0739368
a20	0.0508171	0.0656027	0.102741	0.146436	0.152726	0.138583	0.0888182	0.0872216	0.0878186	0.0792353
a30	0.084712	0.107214	0.14548	0.162795	0.129509	0.101866	0.0613494	0.0575054	0.0705235	0.079045
a35	0.0326509	0.0440458	0.0712804	0.105174	0.138094	0.161198	0.125436	0.112442	0.105371	0.104308
a30	0.0314693	0.0395388	0.0615913	0.0925333	0.11308	0.125172	0.106361	0.119139	0.160751	0.150364
a73	0.028253	0.0373215	0.0573756	0.087025	0.108034	0.130528	0.122247	0.130682	0.160841	0.137693
a54	0.0189923	0.0234462	0.0343047	0.0558166	0.0973443	0.13533	0.139353	0.141599	0.179484	0.174329
a41	0.0304586	0.0338683	0.0457991	0.0603231	0.0831415	0.100114	0.10652	0.120964	0.207405	0.211406
a35	0.0313892	0.0396468	0.0575826	0.0889361	0.116485	0.119818	0.107531	0.104027	0.152828	0.181756
a54	0.0291994	0.0322463	0.0414457	0.051596	0.0781009	0.109793	0.114443	0.117097	0.186979	0.2391
a14	0.0228183	0.0241251	0.0314373	0.0371142	0.0501611	0.0755606	0.100615	0.118929	0.225567	0.313672
a35	0.0227291	0.0250356	0.0328825	0.0428406	0.0693927	0.104921	0.11717	0.121934	0.200192	0.262904
a14	0.0131808	0.013701	0.0177301	0.0218455	0.0358865	0.0701541	0.112372	0.130011	0.237694	0.347425
a90	0.0196472	0.0210289	0.026603	0.0329231	0.0509243	0.0902994	0.125219	0.133887	0.208344	0.291124
a13	0.0196338	0.0198969	0.0252511	0.0306553	0.0411822	0.0656117	0.114151	0.132456	0.222601	0.32856
a3	0.00854529	0.00858073	0.0115567	0.0164643	0.028175	0.0567178	0.116808	0.144013	0.233648	0.375492
a79	0.00615043	0.00638575	0.00847322	0.0129398	0.0302445	0.0743608	0.144414	0.148759	0.221639	0.346633
a76	0.00910127	0.00861999	0.0101777	0.0125307	0.0220938	0.0499947	0.103832	0.123642	0.23674	0.423268
a90	0.0114372	0.0120146	0.0154069	0.0186156	0.0266477	0.0438342	0.0800606	0.104282	0.243191	0.44451
a25	0.0130604	0.0129286	0.016464	0.0226562	0.0300496	0.0474434	0.0993011	0.132996	0.251488	0.373613
a38	0.00673824	0.00626702	0.00738432	0.0106634	0.0186985	0.037461	0.0843703	0.117435	0.244906	0.466076
a90	0.00358804	0.0032539	0.00380211	0.00574584	0.0119122	0.0275983	0.0701189	0.102028	0.24856	0.523393
a4	0.00706339	0.00600342	0.00714569	0.00961782	0.0140272	0.0241633	0.0524003	0.080994	0.235034	0.563551
a13	0.00886954	0.00682834	0.00679386	0.00879093	0.0137157	0.0245232	0.0541349	0.0818818	0.224408	0.570054
a18	0.00977284	0.00699835	0.00635787	0.0081023	0.0136492	0.0255027	0.0549316	0.0789299	0.225202	0.570554
