 	la	manière	dont	il	a	explosé	le	pneu	m'	a	bouché	les	oreilles	</S>
a66	0.183789	0.101477	0.055544	0.0734435	0.0752531	0.0692293	0.0734667	0.0862411	0.0955772	0.0682898	0.0543446	0.0245562	0.0202366	0.0185526
a87	0.441818	0.218736	0.0534048	0.0235541	0.0161474	0.0266226	0.0195466	0.0205219	0.0274473	0.0269224	0.0347326	0.026009	0.0277845	0.0367525
a23	0.232108	0.167127	0.102815	0.0728336	0.0551722	0.0911469	0.0715743	0.0537998	0.0462897	0.0259039	0.0213128	0.0161974	0.0180518	0.0256673
a50	0.208385	0.240825	0.15156	0.0598125	0.0360009	0.0878984	0.0495927	0.0339647	0.0292677	0.0208518	0.0181763	0.0161021	0.019151	0.0284106
a62	0.170208	0.171214	0.130043	0.0858756	0.0647319	0.119288	0.0572737	0.0395569	0.0349374	0.0258484	0.0254943	0.0222954	0.0229293	0.0303036
a61	0.258377	0.275983	0.164058	0.0804227	0.0544887	0.102263	0.0195718	0.00991215	0.00740041	0.00564589	0.00573271	0.00530784	0.00521862	0.00561722
a75	0.130666	0.259039	0.244326	0.121039	0.0668077	0.111054	0.0218886	0.0108044	0.00700108	0.00557098	0.00583545	0.00585039	0.00507506	0.00504303
a56	0.12725	0.20475	0.212742	0.138184	0.0857136	0.136743	0.0328172	0.0183252	0.010507	0.0075306	0.00689092	0.00636414	0.00568407	0.00649771
a24	0.0996445	0.15037	0.214843	0.174202	0.114821	0.134615	0.0451293	0.0246284	0.0122565	0.00778577	0.00702995	0.00559957	0.00458792	0.00448722
a43	0.0674409	0.0962926	0.163419	0.196339	0.148394	0.167098	0.0671345	0.0342521	0.0168228	0.0106251	0.00970346	0.00823075	0.00726368	0.00698367
a0	0.0460266	0.060264	0.117113	0.167632	0.149478	0.215664	0.0933494	0.0476836	0.0248771	0.0163372	0.0158639	0.0143856	0.0150406	0.0162846
a31	0.044197	0.0438744	0.0837547	0.136474	0.138989	0.24379	0.116382	0.0600054	0.0342	0.0221372	0.0193856	0.01687	0.0177875	0.0221532
a0	0.0194479	0.0289928	0.066397	0.145455	0.156445	0.185397	0.136821	0.0968815	0.0703176	0.0398481	0.0233666	0.0115015	0.00947054	0.00965793
a31	0.00722394	0.0101668	0.0220198	0.0970528	0.144762	0.24082	0.190613	0.120528	0.0712206	0.0384092	0.0236812	0.011396	0.010193	0.011914
a88	0.00860645	0.0114651	0.0242486	0.0986965	0.144576	0.224705	0.184728	0.119778	0.0782311	0.04462	0.0259324	0.0116594	0.0101857	0.0125671
