 	cet	homme	a	fait	envoler	l'	oiseau	</S>
a66	0.279692	0.147386	0.126089	0.134146	0.144997	0.0944306	0.0474636	0.0257953
a87	0.202985	0.164423	0.165477	0.165364	0.140445	0.0883031	0.0430415	0.0299622
a23	0.468261	0.24462	0.108135	0.0603409	0.0320733	0.0275567	0.028958	0.0300553
a18	0.44701	0.245358	0.136585	0.0822616	0.0349162	0.0177869	0.0163091	0.0197742
a70	0.3006	0.17824	0.123628	0.0965957	0.0809627	0.0667839	0.0732803	0.0799097
a93	0.278299	0.201266	0.16159	0.145041	0.0933859	0.0490731	0.0397624	0.0315817
a4	0.186203	0.205444	0.188826	0.18265	0.117904	0.0488966	0.0363721	0.0337035
a93	0.112168	0.178149	0.207792	0.227411	0.144869	0.0550092	0.0379065	0.0366951
a4	0.0986194	0.166621	0.207473	0.22523	0.150938	0.0610789	0.0451941	0.0448459
a93	0.0869115	0.140778	0.190792	0.216342	0.160028	0.0747322	0.0624259	0.0679896
a90	0.110648	0.158386	0.20114	0.223944	0.1488	0.0631014	0.0471283	0.0468523
a25	0.0957014	0.132537	0.183607	0.221557	0.159217	0.085423	0.0619051	0.0600523
a15	0.103579	0.121999	0.157014	0.165269	0.127455	0.0948495	0.0916892	0.138145
a41	0.0858226	0.0909652	0.123563	0.13331	0.108115	0.104616	0.123648	0.229959
a56	0.0724224	0.0756623	0.101128	0.12452	0.110919	0.118496	0.154733	0.242119
a94	0.0476987	0.039973	0.0585557	0.086194	0.108075	0.163	0.214091	0.282411
a70	0.0303394	0.0209982	0.0264686	0.0372262	0.0554364	0.123213	0.25462	0.451698
a11	0.0225554	0.0152717	0.015446	0.0194438	0.0343964	0.0861192	0.233469	0.573299
a62	0.0163977	0.00934621	0.00816302	0.00886082	0.0213081	0.0627252	0.227489	0.64571
a34	0.00990176	0.0067577	0.00650716	0.00860779	0.0167749	0.059434	0.256743	0.635274
a56	0.0046705	0.00308458	0.00325631	0.00490505	0.0118257	0.0558384	0.268456	0.647964
a43	0.00301541	0.00200617	0.0021102	0.00307585	0.00769949	0.0378046	0.230103	0.714185
a24	0.00216717	0.00165542	0.00199856	0.00311143	0.0117469	0.0622809	0.262509	0.65453
a9	0.00472267	0.00387097	0.00429941	0.00595655	0.0176161	0.0695568	0.261356	0.632621
a10	0.0944473	0.0713734	0.0623061	0.0603296	0.0648128	0.109266	0.190342	0.347123
a87	0.150559	0.0908776	0.0728565	0.0628037	0.058369	0.0916744	0.163127	0.309733
a23	0.29693	0.160572	0.112714	0.0818249	0.0530365	0.0669311	0.0956867	0.132305
a87	0.213032	0.0938118	0.0468692	0.0327093	0.0269931	0.0632615	0.16118	0.362143
a97	0.0701477	0.0385723	0.0241987	0.0218094	0.0237622	0.0721582	0.213125	0.536226
</S>	0.113112	0.076984	0.0571403	0.0533728	0.0501509	0.100319	0.197809	0.351112
