 	elle	cueille	des	fleurs	rouges	</S>
a23	0.325974	0.215586	0.18477	0.0955102	0.0901988	0.0879615
a87	0.496758	0.186056	0.103341	0.0662377	0.0697517	0.0778556
a23	0.465033	0.181312	0.110016	0.0735766	0.0679907	0.102071
a20	0.311793	0.104149	0.0797912	0.0827241	0.149676	0.271865
a44	0.477237	0.216916	0.142564	0.0697234	0.0455705	0.0479888
a20	0.547572	0.260689	0.120343	0.0376112	0.017162	0.0166224
a73	0.320818	0.249481	0.178461	0.103686	0.0723569	0.0751972
a26	0.36237	0.305598	0.173116	0.0715762	0.0430071	0.0443317
a57	0.301044	0.293862	0.192048	0.0880397	0.0600594	0.0649468
a76	0.155789	0.20612	0.232197	0.157777	0.112706	0.135411
a20	0.20884	0.252676	0.233553	0.121906	0.0867281	0.0962971
a84	0.227259	0.257139	0.229979	0.123992	0.0821583	0.0794733
a20	0.0946181	0.159361	0.257637	0.21069	0.136349	0.141345
a73	0.0976611	0.141157	0.202719	0.176949	0.170284	0.211229
a11	0.0522214	0.0865412	0.185131	0.245519	0.210945	0.219643
a53	0.0446599	0.0564344	0.129029	0.222622	0.252982	0.294272
a4	0.0375758	0.0479791	0.124241	0.229241	0.248155	0.312808
a98	0.0331552	0.0363894	0.0856758	0.180596	0.275956	0.388227
a73	0.0137019	0.0186411	0.0532428	0.172084	0.327723	0.414607
a58	0.0177284	0.0249063	0.0654894	0.178195	0.308744	0.404936
a15	0.00808153	0.0102707	0.0293685	0.084352	0.246739	0.621188
a73	0.0056807	0.00683185	0.0224226	0.0794623	0.258997	0.626605
a84	0.00872005	0.0104862	0.0351365	0.114622	0.301754	0.529281
a11	0.0140931	0.00916188	0.0185397	0.049103	0.211183	0.697919
a90	0.0105568	0.00556593	0.0131294	0.0485212	0.242436	0.679791
a76	0.00710971	0.00467705	0.0127752	0.0533707	0.244262	0.677805
a90	0.00467637	0.00381438	0.0154007	0.0737256	0.306446	0.595937
a57	0.00286928	0.00248877	0.00874922	0.0418513	0.250279	0.693763
a38	0.00179201	0.00129373	0.00520911	0.033211	0.232414	0.726081
a11	0.00228709	0.00141809	0.00503968	0.030221	0.216	0.745034
a53	0.00349688	0.00244497	0.00867697	0.0433141	0.222834	0.719233
a58	0.00520593	0.00378688	0.0111872	0.0466494	0.238558	0.694612
a82	0.0115453	0.00626186	0.015351	0.0496618	0.21944	0.69774
a87	0.0131303	0.0100662	0.0253878	0.0643178	0.218635	0.668463
</S>	0.0440864	0.0369015	0.0600578	0.0988377	0.230468	0.529648
