 	ton	fils	est	réveillé	</S>
a66	0.503905	0.288016	0.129698	0.0541517	0.0242282
a87	0.619866	0.279413	0.0729828	0.0166644	0.0110739
a23	0.696886	0.245166	0.0418434	0.00780736	0.00829756
a87	0.72893	0.174253	0.0420617	0.0209461	0.0338095
a23	0.734127	0.204465	0.0378187	0.0101168	0.0134728
a13	0.634971	0.1704	0.0571634	0.0454783	0.0919876
a54	0.394508	0.201588	0.126755	0.121241	0.155908
a6	0.341311	0.34284	0.18041	0.0810829	0.0543564
a37	0.207554	0.30046	0.266402	0.144504	0.0810802
a5	0.327542	0.293769	0.192114	0.110073	0.0765027
a37	0.294771	0.287792	0.186001	0.12848	0.102955
a79	0.221463	0.23866	0.182049	0.177457	0.18037
a92	0.0823094	0.119094	0.154901	0.296612	0.347084
a47	0.135257	0.170033	0.172714	0.230193	0.291803
a37	0.0326374	0.0511857	0.11561	0.27413	0.526437
a85	0.0351239	0.0324188	0.0603007	0.247289	0.624867
a92	0.00896748	0.0145389	0.0569797	0.302559	0.616955
a6	0.00814549	0.014472	0.0637087	0.334136	0.579538
a36	0.00439363	0.00642342	0.0288294	0.297425	0.662928
a26	0.00967754	0.0086888	0.0247518	0.240372	0.71651
a27	0.0489715	0.0495039	0.0719122	0.278167	0.551445
a57	0.243337	0.120409	0.0967293	0.21052	0.329005
a87	0.513929	0.191499	0.0867801	0.101304	0.106488
a23	0.462643	0.319714	0.127609	0.0535831	0.0364513
a87	0.375935	0.221102	0.124865	0.127892	0.150206
</S>	0.0727861	0.0369334	0.0489413	0.258553	0.582786
