 	celui	qui	pêche	dans	mon	étang	doit	payer	</S>
a66	0.213515	0.160874	0.108801	0.0945197	0.099677	0.156028	0.114219	0.0398494	0.0125183
a87	0.277937	0.228171	0.162857	0.103919	0.0772998	0.0757429	0.0423859	0.0243889	0.00729781
a23	0.251579	0.193466	0.199117	0.144556	0.0969903	0.0651958	0.0265202	0.0154341	0.00714217
a53	0.182306	0.192101	0.218061	0.151333	0.104943	0.0646832	0.0300823	0.0246042	0.0318869
a56	0.266129	0.210797	0.1536	0.0922509	0.0745803	0.0700146	0.0591682	0.0490443	0.0244164
a75	0.181557	0.261354	0.211408	0.124064	0.10383	0.0644949	0.0302722	0.0165804	0.00643893
a79	0.128286	0.201104	0.188865	0.129368	0.127129	0.0988474	0.0776314	0.0362031	0.0125662
a37	0.125584	0.196741	0.204597	0.148601	0.131574	0.08316	0.0654434	0.0282545	0.0160459
a43	0.059844	0.0866938	0.158038	0.190239	0.206218	0.129838	0.0845597	0.0400162	0.0445534
a75	0.0636957	0.0794235	0.132743	0.197819	0.240914	0.13159	0.0684465	0.0320115	0.0533567
a61	0.0401305	0.0562828	0.091538	0.155167	0.219276	0.137355	0.116683	0.0854133	0.0981551
a18	0.0413037	0.046933	0.0635126	0.128714	0.227187	0.168093	0.120392	0.0712873	0.132577
a75	0.0297439	0.0264711	0.0301554	0.0463177	0.112776	0.185478	0.167012	0.114787	0.287258
a56	0.00975256	0.0108662	0.0124278	0.0250439	0.0831871	0.13431	0.155122	0.189563	0.379728
a75	0.00840362	0.00799554	0.00917024	0.0166433	0.0504667	0.108262	0.160576	0.20631	0.432173
a92	0.00438769	0.00446196	0.00521653	0.00944051	0.0294288	0.069722	0.111223	0.192516	0.573603
a85	0.00172854	0.00189321	0.00272252	0.00476908	0.0142033	0.0376359	0.0707078	0.180371	0.685969
a47	0.00082385	0.000877549	0.00130867	0.0021434	0.00528251	0.0133685	0.0337206	0.14285	0.799625
a0	0.000460092	0.000330739	0.000343467	0.000525951	0.00138002	0.00456557	0.030072	0.172627	0.789696
a44	0.00240102	0.00122343	0.000961113	0.000928453	0.00145338	0.00579816	0.033735	0.173036	0.780463
a54	0.00353458	0.00177543	0.00116575	0.000966708	0.00118277	0.00472249	0.0298658	0.16969	0.787097
a36	0.0013353	0.000817204	0.000683737	0.000607621	0.000872114	0.00246216	0.0162288	0.138773	0.83822
a26	0.00587117	0.00340274	0.00240288	0.001854	0.00197735	0.0067238	0.0365806	0.184579	0.756609
a57	0.191311	0.0931326	0.0610866	0.0456568	0.0342196	0.0554657	0.0982028	0.138993	0.281932
a87	0.333302	0.174845	0.108223	0.0667813	0.0453226	0.0502198	0.0487902	0.0617523	0.110764
a23	0.371105	0.199125	0.127771	0.0717795	0.0510053	0.0460046	0.0366887	0.0415283	0.0549931
a87	0.17934	0.108546	0.0926734	0.0617828	0.0527552	0.0542606	0.0579754	0.138668	0.253999
</S>	0.0332272	0.0189092	0.0239292	0.0181374	0.0182669	0.0226489	0.038949	0.150557	0.675375
