 	où	vas-tu	</S>
a87	0.613579	0.30703	0.0793915
a23	0.593043	0.262422	0.144535
a79	0.499008	0.347306	0.153686
a20	0.450191	0.369106	0.180703
a90	0.509096	0.334681	0.156223
a38	0.432715	0.326335	0.24095
a35	0.342367	0.349616	0.308016
a66	0.352683	0.323148	0.324168
a57	0.257285	0.314481	0.428234
a79	0.192092	0.36143	0.446478
a75	0.157635	0.370088	0.472276
a61	0.177474	0.373682	0.448845
a83	0.121448	0.320541	0.558011
a9	0.0790688	0.259112	0.661819
a87	0.106291	0.191196	0.702513
</S>	0.0947812	0.163536	0.741682
