 	la	manière	dont	souffre	notre	père	ne	nous	laisse	aucun	espoir	</S>
a66	0.14984	0.0950398	0.0820354	0.0760175	0.0664542	0.0847531	0.101966	0.121867	0.100332	0.083058	0.023915	0.0147219
a87	0.275244	0.169696	0.169378	0.0894474	0.0467083	0.0326906	0.0311134	0.0449092	0.0457206	0.044081	0.0293464	0.0216651
a23	0.33256	0.264932	0.189151	0.0577744	0.0282448	0.0165832	0.0146102	0.0172609	0.0152703	0.0185234	0.0265675	0.0185225
a18	0.29176	0.23243	0.191097	0.0671802	0.0495208	0.0338847	0.0292207	0.028383	0.017998	0.0152691	0.0214387	0.0218184
a82	0.220211	0.176726	0.175244	0.071144	0.0508601	0.0327221	0.0287462	0.0315769	0.0362813	0.0504917	0.0816117	0.0443849
a53	0.215843	0.136043	0.133012	0.0613883	0.0495764	0.0351575	0.0304176	0.0346877	0.0468931	0.0795113	0.122067	0.0554018
a79	0.216238	0.120956	0.0982938	0.0731902	0.0795246	0.0617358	0.0408191	0.0353342	0.0380799	0.0591018	0.121721	0.055005
a44	0.172149	0.126309	0.0938299	0.0715737	0.0736365	0.055865	0.0403851	0.0333057	0.0379203	0.0641986	0.158725	0.0721017
a96	0.0881229	0.137808	0.141185	0.106756	0.0868807	0.0642121	0.0543238	0.0451112	0.0458615	0.0598817	0.107767	0.0620901
a12	0.0604372	0.114364	0.152405	0.140749	0.122511	0.0907927	0.0740189	0.0597745	0.0479343	0.0440262	0.0535611	0.0394253
a21	0.0475191	0.0936903	0.132324	0.131614	0.109185	0.0905006	0.082257	0.066935	0.0547617	0.0491205	0.0733628	0.0687304
a5	0.0412464	0.0695334	0.102514	0.11598	0.109402	0.106518	0.104222	0.0891263	0.0636081	0.0498246	0.0694374	0.0785877
a36	0.0242558	0.0422363	0.0700488	0.0932802	0.0939513	0.108913	0.120232	0.105749	0.0828193	0.0651435	0.086723	0.106648
a44	0.0189436	0.0291164	0.0440727	0.0728264	0.0936054	0.115573	0.124276	0.103654	0.0807997	0.0652353	0.110078	0.14182
a79	0.0212334	0.0309052	0.0442804	0.0761151	0.106423	0.125959	0.127461	0.108655	0.0852839	0.0724443	0.0930993	0.10814
a44	0.0121165	0.0214043	0.0420769	0.0742957	0.0863032	0.119457	0.130452	0.113102	0.0940928	0.0963636	0.0885871	0.121749
a56	0.0144577	0.0212021	0.0357372	0.0740014	0.0907308	0.138426	0.145983	0.120982	0.0958575	0.0859244	0.0801945	0.0965028
a37	0.00859417	0.0123835	0.0212451	0.0452682	0.0665974	0.12799	0.14586	0.123807	0.0936176	0.0994586	0.112683	0.142495
a26	0.00984903	0.0125476	0.018114	0.0358955	0.0573891	0.114272	0.140932	0.121357	0.0896722	0.106133	0.131207	0.162632
a75	0.0142224	0.0122777	0.0142176	0.0201558	0.0291512	0.0520711	0.0803649	0.0869182	0.0737395	0.113002	0.19589	0.307989
a6	0.0060012	0.00790386	0.0144019	0.0229011	0.0307045	0.0734295	0.112961	0.111584	0.0925818	0.134155	0.173543	0.219832
a37	0.00399935	0.00586717	0.0108389	0.0192552	0.0265126	0.0676689	0.106314	0.0981526	0.0924084	0.137191	0.181196	0.250596
a11	0.00366136	0.00388284	0.00594684	0.0108152	0.0166437	0.0438343	0.0784392	0.0792788	0.0712877	0.129176	0.25827	0.298764
a24	0.00378418	0.00331427	0.00401645	0.00651067	0.0113122	0.0232689	0.0380112	0.0405421	0.0378105	0.09103	0.308278	0.432121
a62	0.00336912	0.00273278	0.00318755	0.00471228	0.00786238	0.0151351	0.0249748	0.0323787	0.0295694	0.0681537	0.310527	0.497398
a88	0.00381148	0.00278129	0.00324028	0.00483956	0.00832677	0.017117	0.0271493	0.0334869	0.0272636	0.0627237	0.312411	0.496849
a24	0.00186083	0.00140028	0.00187332	0.00284466	0.00458452	0.00978878	0.0151935	0.0168566	0.0143491	0.0326125	0.270516	0.62812
a88	0.00161241	0.00125381	0.00165381	0.00212131	0.00334848	0.0063455	0.00952683	0.00981275	0.00845098	0.0199268	0.310437	0.62551
a66	0.00187241	0.00150553	0.00185825	0.00222122	0.0035981	0.00600549	0.00873825	0.0087869	0.00874141	0.0226161	0.323538	0.610518
