 	il	n'	est	bon	à	rien	</S>
a23	0.361417	0.209812	0.131825	0.0858055	0.0598604	0.0655249	0.0857551
a85	0.367231	0.215315	0.142224	0.10703	0.0642847	0.0472466	0.0566688
a66	0.394249	0.232673	0.135966	0.0763039	0.047277	0.0451356	0.0683948
a87	0.357819	0.239834	0.15169	0.0882964	0.0617489	0.0528773	0.0477338
a23	0.169334	0.16588	0.158829	0.184471	0.128708	0.0930798	0.0996986
a20	0.13574	0.137292	0.138021	0.160233	0.15692	0.129015	0.142779
a73	0.222336	0.222805	0.231899	0.16666	0.0900018	0.043027	0.0232725
a26	0.200914	0.214239	0.233862	0.192507	0.099171	0.0409065	0.0183996
a62	0.198394	0.205402	0.228101	0.184417	0.108049	0.0487272	0.0269109
a88	0.191079	0.202852	0.217753	0.178724	0.118907	0.0585027	0.0321823
a71	0.140982	0.16397	0.206258	0.190282	0.150406	0.0887113	0.0593901
a38	0.111072	0.130597	0.16235	0.180941	0.180305	0.122803	0.111933
a24	0.0953132	0.113464	0.146356	0.177967	0.198622	0.142781	0.125496
a12	0.0947843	0.111273	0.143611	0.158866	0.18848	0.161156	0.141831
a31	0.0974099	0.0961985	0.11099	0.108512	0.156815	0.194054	0.23602
a24	0.0736542	0.0682417	0.0800709	0.089	0.151456	0.2186	0.318978
a25	0.0765963	0.0640654	0.0620633	0.0665597	0.130191	0.203958	0.396567
a38	0.0630594	0.056142	0.0564612	0.0633202	0.118719	0.211253	0.431045
a75	0.0231764	0.0186546	0.0185847	0.0251265	0.0781111	0.231855	0.604492
a73	0.02193	0.0167677	0.0183107	0.0273454	0.0872354	0.25134	0.577071
a84	0.0141702	0.0110491	0.012313	0.0209446	0.0848071	0.256972	0.599744
a57	0.00728148	0.00561214	0.00630297	0.0112932	0.0421701	0.166536	0.760805
a87	0.0212709	0.0111286	0.00947698	0.019429	0.0599904	0.174917	0.703787
</S>	0.0179399	0.0133061	0.0132912	0.0303956	0.0878614	0.223872	0.613334
