 	le	sculpteur	est	en	train	de	tailler	la	pirogue	</S>
a23	0.257735	0.174296	0.127538	0.103228	0.0814867	0.0683165	0.0714938	0.0546787	0.0352813	0.0259453
a79	0.432171	0.158886	0.0766212	0.0473223	0.037503	0.0435099	0.0678839	0.0528751	0.0480418	0.0351857
a69	0.384204	0.156188	0.0848325	0.0470924	0.0349325	0.0365752	0.0446325	0.0510468	0.0718059	0.0886912
a58	0.44183	0.146808	0.0803455	0.0450407	0.0310072	0.0329633	0.0403841	0.0543888	0.0677172	0.0595149
a54	0.345825	0.186767	0.163141	0.10361	0.0562522	0.0360878	0.0302593	0.022433	0.0281449	0.0274799
a44	0.198597	0.143739	0.134909	0.106526	0.0763417	0.0650631	0.0616466	0.055601	0.0785222	0.079055
a25	0.130365	0.129162	0.157859	0.144477	0.104963	0.0718537	0.0615521	0.0528433	0.071615	0.0753093
a44	0.111805	0.14247	0.163621	0.164739	0.127333	0.0812249	0.0632469	0.0450971	0.0488576	0.0516052
a90	0.0816073	0.101914	0.124248	0.140095	0.125206	0.0904502	0.0726246	0.0686535	0.08588	0.109322
a25	0.0575559	0.0773638	0.107646	0.121288	0.115611	0.0972619	0.0892644	0.0926142	0.106346	0.135049
a92	0.0581342	0.082359	0.107788	0.104113	0.0923103	0.0865659	0.10206	0.117439	0.118201	0.13103
a85	0.0499047	0.0791126	0.092469	0.0991147	0.102003	0.100935	0.118229	0.126845	0.108373	0.123014
a47	0.0352273	0.0529647	0.0673367	0.0692922	0.0769937	0.0877025	0.121591	0.157841	0.154811	0.17624
a36	0.0438735	0.0726803	0.0851036	0.0816267	0.0892065	0.093946	0.11657	0.147514	0.128455	0.141024
a75	0.0616917	0.07581	0.0573151	0.0568551	0.0672627	0.0783123	0.092782	0.135154	0.154765	0.220052
a5	0.0283681	0.0339662	0.0311325	0.030045	0.0357801	0.0459825	0.0743484	0.140069	0.229744	0.350564
a61	0.0571633	0.0568956	0.0463221	0.0389331	0.0416775	0.0507374	0.0787649	0.146234	0.204851	0.278421
a21	0.0375476	0.0426604	0.0371196	0.0349814	0.0421451	0.0501694	0.0731933	0.147806	0.233024	0.301354
a37	0.0358349	0.0370892	0.0313565	0.0314997	0.0422811	0.0519455	0.0630628	0.121236	0.226206	0.359488
a75	0.0110166	0.011417	0.00973923	0.00987243	0.0146581	0.0232657	0.0414172	0.114936	0.271578	0.4921
a85	0.0227434	0.0214806	0.0175449	0.0183177	0.0289489	0.0359603	0.0458692	0.108567	0.240579	0.459988
a5	0.03748	0.0329622	0.0302264	0.0274258	0.03602	0.041257	0.0537432	0.109867	0.229897	0.401121
a61	0.0101301	0.00937231	0.00877991	0.00945608	0.0142079	0.0198469	0.0308252	0.0921602	0.262081	0.54314
a18	0.00514273	0.00503575	0.00491902	0.00568476	0.00944871	0.0146403	0.0234424	0.0791297	0.25089	0.601667
a25	0.00270196	0.00287461	0.00280145	0.00339823	0.00536519	0.00904403	0.0185147	0.0702415	0.239689	0.645369
a10	0.00655954	0.00441259	0.00396649	0.00457571	0.00656777	0.0131702	0.0247806	0.087238	0.226799	0.62193
a87	0.0527054	0.0418558	0.0260362	0.0258134	0.032811	0.0539445	0.0909358	0.134963	0.21668	0.324255
a23	0.0738987	0.0630612	0.0407943	0.039288	0.0482991	0.07018	0.110372	0.138126	0.187724	0.228257
a87	0.0309625	0.0291191	0.0207756	0.0209025	0.0296622	0.0483759	0.0789818	0.139617	0.25557	0.346034
</S>	0.0076951	0.0093567	0.0105811	0.0132834	0.0220114	0.0378192	0.0762682	0.145765	0.297126	0.380093
