 	son	enfant	a	grandi	</S>
a66	0.588764	0.208293	0.107934	0.0651271	0.0298813
a87	0.502095	0.197235	0.152818	0.102823	0.0450306
a23	0.641478	0.192167	0.0720454	0.056312	0.0379971
a87	0.479438	0.251132	0.126735	0.0898013	0.0528934
a99	0.579308	0.209271	0.097584	0.0646414	0.0491956
a44	0.506408	0.204837	0.11871	0.0927888	0.077257
a7	0.241203	0.241038	0.256365	0.173055	0.0883393
a44	0.167627	0.250921	0.307425	0.204858	0.06917
a4	0.104227	0.183566	0.266343	0.31836	0.127503
a20	0.100559	0.152583	0.224447	0.347048	0.175362
a44	0.172192	0.168685	0.227083	0.260505	0.171535
a4	0.0357791	0.0492821	0.133215	0.341076	0.440649
a70	0.0178228	0.031182	0.095619	0.30808	0.547296
a99	0.00797783	0.0165652	0.0589087	0.278758	0.63779
a44	0.00609424	0.0138811	0.0440796	0.200278	0.735667
a34	0.00452556	0.0131923	0.0364791	0.147149	0.798654
a54	0.00644102	0.0192408	0.043627	0.149961	0.78073
a7	0.00775553	0.0200169	0.0395766	0.110607	0.822044
a26	0.0103187	0.0209648	0.0415909	0.141137	0.785989
a82	0.236316	0.159645	0.118307	0.156361	0.329371
a87	0.390533	0.233788	0.132709	0.108845	0.134126
a23	0.31333	0.235178	0.162449	0.155327	0.133716
a87	0.303536	0.229448	0.154681	0.132353	0.179981
a23	0.190521	0.215177	0.197224	0.161476	0.235603
</S>	0.276765	0.247688	0.17385	0.127371	0.174326
