 	le	chef	coutumier	a	porté	un	tissu	de	raphia	</S>
a15	0.268725	0.223256	0.173376	0.109134	0.0646555	0.0593658	0.0436625	0.0299875	0.0168759	0.0109619
a66	0.308361	0.246327	0.172563	0.122323	0.0587813	0.0297387	0.0185977	0.0174124	0.0133899	0.0125054
a87	0.407996	0.362209	0.160471	0.0314572	0.0101738	0.00600302	0.00533117	0.00452598	0.00544552	0.00638676
a23	0.363311	0.345713	0.19127	0.0502408	0.0177608	0.00803823	0.00547089	0.0053715	0.00634724	0.00647742
a13	0.37292	0.342228	0.16047	0.0418635	0.0166005	0.00665888	0.00497985	0.00859487	0.0173898	0.0282947
a44	0.338361	0.26333	0.128054	0.0648441	0.0411301	0.0292197	0.0223853	0.0244234	0.0335169	0.0547353
a54	0.256095	0.182417	0.148211	0.17304	0.116395	0.0502104	0.0260949	0.0176678	0.0145139	0.0153541
a37	0.079939	0.0953669	0.143486	0.212292	0.194057	0.108383	0.0645599	0.0443864	0.0304324	0.027097
a5	0.103494	0.122327	0.172138	0.239854	0.205945	0.0847977	0.0358784	0.0166805	0.0105105	0.008375
a37	0.0617252	0.0721106	0.117941	0.230572	0.260341	0.128732	0.0633235	0.0326014	0.0185219	0.0141315
a61	0.0436128	0.0522565	0.0935556	0.22376	0.270314	0.146312	0.0811984	0.0455383	0.0247126	0.0187402
a21	0.043435	0.0480959	0.0750399	0.205605	0.295595	0.150439	0.0790098	0.0526091	0.0296964	0.0204743
a85	0.0182784	0.020227	0.0331696	0.0921382	0.206801	0.195768	0.169915	0.13002	0.0786903	0.0549922
a98	0.0098558	0.0120967	0.0240209	0.0729382	0.149813	0.163874	0.216533	0.140762	0.115555	0.094551
a15	0.00936877	0.00854564	0.0122179	0.0651894	0.184252	0.233464	0.197719	0.127137	0.0894283	0.0726789
a20	0.00866762	0.00655113	0.00604858	0.019239	0.062315	0.160266	0.230626	0.211515	0.166055	0.128717
a7	0.0128456	0.00980807	0.00890539	0.0214846	0.0488223	0.122476	0.249074	0.16545	0.167236	0.193897
a15	0.0077058	0.00552769	0.00324362	0.00457755	0.010281	0.0459919	0.176221	0.175809	0.264983	0.305659
a0	0.00229731	0.00151101	0.000885245	0.00127897	0.00259475	0.00949691	0.0735338	0.109869	0.339712	0.458822
a54	0.00351946	0.00219395	0.000764727	0.000586668	0.00109514	0.00498506	0.0591707	0.100153	0.315985	0.511546
a36	0.00054601	0.000298386	0.000168899	0.000359258	0.0010312	0.00431013	0.0449356	0.0813306	0.324137	0.542883
a27	0.00189216	0.00101578	0.000439401	0.000519806	0.00113474	0.00447551	0.0549747	0.0988954	0.324948	0.511705
a82	0.0294885	0.0248723	0.0194142	0.01652	0.0150819	0.0254143	0.0881306	0.11785	0.277601	0.385626
a87	0.271228	0.217485	0.0759886	0.029405	0.0232862	0.0289881	0.0553917	0.064114	0.106727	0.127386
a23	0.386855	0.300332	0.114541	0.0458729	0.0306215	0.0226326	0.031408	0.0230964	0.0226398	0.0220003
a87	0.164599	0.133966	0.0314718	0.0093734	0.00739898	0.0118158	0.0540745	0.10985	0.250335	0.227116
</S>	0.0326435	0.0270294	0.00778224	0.00358444	0.00443148	0.0106404	0.0625203	0.104082	0.347876	0.399411
