 	on	l'	a	fait	taire	pendant	les	palabres	car	il	bavardait	trop	</S>
a66	0.170432	0.132917	0.127775	0.107433	0.0892526	0.0746014	0.0610663	0.0544868	0.0725615	0.0353454	0.0308945	0.0211329	0.0221024
a87	0.129665	0.0996609	0.0951846	0.0760258	0.0704787	0.0606611	0.0531435	0.0608914	0.0909126	0.0620362	0.0681685	0.0593054	0.0738662
a10	0.263411	0.22009	0.149528	0.101241	0.0862008	0.0582917	0.0288169	0.0156351	0.0172872	0.00995315	0.0130983	0.0129166	0.0235304
a87	0.267339	0.2254	0.150601	0.111624	0.0802665	0.0590714	0.0263178	0.0146203	0.0162209	0.00943125	0.0109536	0.0103212	0.0178326
a23	0.273247	0.218248	0.146974	0.103049	0.0741501	0.0555741	0.0266186	0.016792	0.0206304	0.0127601	0.0154177	0.013773	0.0227655
a97	0.282427	0.184484	0.131527	0.0886382	0.0809955	0.0657134	0.0335324	0.0221444	0.0239845	0.0166002	0.0191825	0.0185653	0.0322061
a87	0.229235	0.168406	0.135007	0.0957182	0.075815	0.0622429	0.0374376	0.02449	0.0291426	0.0227115	0.0295049	0.0324435	0.0578466
a40	0.286955	0.183154	0.127154	0.0801662	0.0594411	0.0500465	0.0321596	0.0222011	0.0275292	0.0220692	0.0277883	0.029789	0.0515474
a41	0.351382	0.237656	0.16981	0.0763364	0.0410054	0.0266279	0.0130464	0.00666238	0.00930514	0.00820411	0.013489	0.0163731	0.0301014
a96	0.191644	0.167426	0.15945	0.122505	0.0989231	0.0888723	0.05108	0.0204098	0.0211977	0.0117746	0.0172113	0.0177153	0.0317904
a94	0.0916793	0.109156	0.120043	0.123416	0.113538	0.139133	0.103614	0.052243	0.0433551	0.0233632	0.0222744	0.021728	0.036456
a4	0.0541537	0.0734797	0.096831	0.123137	0.115467	0.142897	0.122459	0.0756039	0.05621	0.0315239	0.0308076	0.0301296	0.0473011
a50	0.0387591	0.0544785	0.0820317	0.120738	0.110644	0.142279	0.125752	0.0865108	0.0602396	0.0375404	0.0385373	0.0395152	0.0629743
a70	0.0302386	0.0431091	0.069958	0.117424	0.106713	0.14207	0.130427	0.0951852	0.0652946	0.0420441	0.0432495	0.0435895	0.0706973
a4	0.0293966	0.0397373	0.0656182	0.113043	0.103649	0.132858	0.128693	0.0961993	0.0708101	0.0431641	0.0480433	0.0491111	0.0796766
a93	0.0328544	0.0398314	0.0634226	0.100767	0.0892746	0.115783	0.116904	0.089353	0.0664197	0.0478952	0.0509202	0.0623048	0.12427
a13	0.0354751	0.0381801	0.0575042	0.0885438	0.0755553	0.101779	0.101522	0.0904012	0.0756645	0.0704826	0.0715355	0.0746649	0.118691
a83	0.0147755	0.0170524	0.0318885	0.0685179	0.0857687	0.120617	0.133133	0.108916	0.07946	0.0585141	0.0573879	0.0733026	0.150666
a41	0.0140263	0.0160108	0.0283192	0.06452	0.0798123	0.114149	0.123902	0.112994	0.0861837	0.0671066	0.0672919	0.0757412	0.149943
a18	0.0114762	0.012596	0.0205727	0.0459803	0.0670305	0.101539	0.118212	0.121825	0.0996082	0.084174	0.0820507	0.0854157	0.14952
a43	0.00652374	0.00696093	0.0114203	0.029722	0.0630185	0.106081	0.157035	0.138163	0.109373	0.0685702	0.0642641	0.0727773	0.166092
a75	0.00575465	0.00584675	0.00973691	0.026142	0.0619271	0.102064	0.1544	0.145594	0.118731	0.0742427	0.0685931	0.0693562	0.157612
a56	0.0182741	0.0167038	0.0217283	0.0362379	0.0531608	0.0828699	0.117124	0.116525	0.112772	0.103977	0.102352	0.0910581	0.127217
a96	0.0136257	0.012311	0.0165767	0.0302562	0.0510129	0.0860522	0.125013	0.133093	0.11788	0.106831	0.0978726	0.0884788	0.120997
a98	0.0110887	0.00963645	0.0123047	0.024274	0.0429324	0.0715004	0.114831	0.142439	0.131192	0.113186	0.10352	0.0894624	0.133634
a32	0.0110078	0.0111279	0.0157262	0.0283612	0.0432462	0.0677281	0.103861	0.134547	0.124114	0.116959	0.11833	0.10102	0.123971
a38	0.00705941	0.00659032	0.00856903	0.0181574	0.0330026	0.052251	0.0961807	0.150115	0.14154	0.126849	0.124691	0.0952226	0.139773
a0	0.00368405	0.00371233	0.00563383	0.0135326	0.0282813	0.0448776	0.088883	0.131123	0.125101	0.123763	0.138628	0.115715	0.177065
a62	0.00355351	0.00342319	0.00464673	0.0100222	0.0215879	0.0342217	0.0667539	0.108189	0.111499	0.125203	0.150931	0.133555	0.226415
a75	0.00447024	0.00416729	0.0052256	0.0106777	0.0203179	0.0322512	0.0618934	0.103741	0.102093	0.127261	0.153301	0.152916	0.221685
a90	0.00853779	0.00711341	0.00914316	0.0158867	0.0250124	0.0357262	0.0609895	0.101235	0.104138	0.132398	0.139822	0.147675	0.212322
a15	0.00543177	0.00484176	0.00646324	0.0117234	0.0189384	0.0268526	0.049475	0.0838397	0.0915824	0.135385	0.159971	0.16411	0.241386
a98	0.00621987	0.00623757	0.00780447	0.0126879	0.0172757	0.0229546	0.0391227	0.0743326	0.0811564	0.146381	0.173786	0.176155	0.235886
a44	0.0158276	0.015433	0.017066	0.0243428	0.0302011	0.0405659	0.0672561	0.101346	0.0985377	0.134823	0.151571	0.136052	0.166978
a11	0.0029384	0.0025163	0.00268164	0.00442757	0.00857866	0.0108804	0.0201653	0.041429	0.0488101	0.100393	0.172293	0.20825	0.376636
a34	0.00167024	0.00142269	0.00163265	0.00269331	0.00622313	0.00794323	0.0151941	0.032896	0.0406941	0.0722365	0.138693	0.207956	0.470745
a56	0.00128832	0.00121732	0.00159277	0.00289259	0.00656703	0.00895273	0.0162557	0.0326332	0.0417135	0.0782045	0.141918	0.21673	0.450034
a98	0.00126982	0.00111599	0.00142114	0.00258086	0.00567438	0.00799264	0.01437	0.0308488	0.0408578	0.0834397	0.152502	0.226187	0.43174
a14	0.00293854	0.00318561	0.00417943	0.00747218	0.0122674	0.0161767	0.0265193	0.0555995	0.0612311	0.134534	0.182714	0.205963	0.287219
a41	0.00195712	0.00157336	0.00149233	0.00209533	0.00292623	0.00372745	0.00657359	0.016704	0.0195917	0.060488	0.129066	0.252248	0.501556
a26	0.00483269	0.00376448	0.00356374	0.00477285	0.00625346	0.00746878	0.0122017	0.0254161	0.030554	0.0754508	0.147627	0.254412	0.423683
a0	0.00131406	0.00119915	0.00133428	0.00150225	0.00236962	0.00249851	0.00373625	0.00715272	0.00803375	0.029615	0.0874994	0.225881	0.627864
a75	0.000895677	0.00082631	0.000934139	0.00107402	0.00193291	0.00207652	0.00355039	0.00693182	0.0092158	0.031462	0.0997448	0.227972	0.613383
a79	0.00168317	0.00133383	0.00143874	0.00203123	0.00361274	0.00437831	0.00713145	0.0138379	0.0152866	0.0481293	0.108141	0.250937	0.542058
a37	0.000962176	0.000794319	0.000822851	0.00104829	0.00168569	0.00193036	0.00328584	0.00640684	0.0076205	0.0314319	0.0819886	0.215778	0.646244
a70	0.000566388	0.000472656	0.000496711	0.000571378	0.000999238	0.00098549	0.00164029	0.00327173	0.00414425	0.0178555	0.0606308	0.194862	0.713504
a93	0.000548615	0.000545646	0.000650593	0.000784283	0.00135733	0.00131874	0.00200713	0.00342676	0.00445025	0.0158018	0.0577419	0.185099	0.726268
a70	0.000470299	0.000443083	0.000488052	0.000599349	0.00105592	0.00111518	0.00184135	0.00328175	0.00428011	0.014695	0.0594877	0.183753	0.728489
a13	0.000415334	0.000351086	0.000380548	0.000431607	0.000827965	0.00087217	0.00143211	0.00285329	0.00399856	0.0151571	0.0602754	0.193744	0.719261
a57	0.000752407	0.00060889	0.000665234	0.000744445	0.00130215	0.00139121	0.00213886	0.00402719	0.00551094	0.0206128	0.0768518	0.207853	0.677541
a3	0.00615142	0.00356802	0.00305221	0.00247546	0.00335133	0.0032612	0.0040742	0.00670429	0.00959012	0.032947	0.104276	0.224637	0.595911
a9	0.0671612	0.0334923	0.0235364	0.0149198	0.0147513	0.0121125	0.0126605	0.021773	0.0283022	0.0717637	0.134009	0.198264	0.367253
a87	0.108701	0.0649404	0.0388224	0.0267784	0.0252338	0.0243413	0.0272367	0.0412486	0.0475781	0.0767791	0.123884	0.155609	0.238846
a23	0.107679	0.0624455	0.041911	0.0349179	0.038013	0.0430496	0.0545841	0.0747615	0.0715836	0.0710501	0.102213	0.114255	0.183537
a87	0.086794	0.0495532	0.0330464	0.0242426	0.0208225	0.0191397	0.0223144	0.0367111	0.0507566	0.0834199	0.133242	0.169976	0.269981
a23	0.0566252	0.0310931	0.0199828	0.0145257	0.0146793	0.0150782	0.0183343	0.0271351	0.0334671	0.0650869	0.116465	0.193913	0.393614
a87	0.0631758	0.0363296	0.0240813	0.0163102	0.0133009	0.0119619	0.0144518	0.0253159	0.0394102	0.0812608	0.141438	0.202317	0.330646
</S>	0.0725376	0.0402405	0.0257699	0.0169619	0.0154679	0.0142921	0.0165323	0.0213638	0.0287244	0.0619483	0.112061	0.18493	0.38917
