 	c'	est	l'	aîné	des	enfants	qui	est	venu	</S>
a23	0.18916	0.130689	0.108521	0.116065	0.114128	0.0957105	0.0885825	0.0624072	0.0521057	0.0426312
a87	0.202725	0.160951	0.169016	0.122419	0.104634	0.0749203	0.059171	0.0366421	0.0346224	0.0348985
a10	0.165609	0.14287	0.167578	0.135015	0.10269	0.0775205	0.0609518	0.0457302	0.0477661	0.0542681
a87	0.18251	0.181975	0.199026	0.120935	0.0825991	0.0583079	0.04272	0.0339757	0.0418896	0.0560614
a23	0.187691	0.167224	0.172943	0.113171	0.0768531	0.0563131	0.0448404	0.0427729	0.0567764	0.0814148
a41	0.267285	0.244021	0.198386	0.0820739	0.0522044	0.0351462	0.0249037	0.0208236	0.0304469	0.044709
a32	0.413985	0.284869	0.175568	0.055733	0.0292856	0.0128359	0.00839327	0.00564903	0.00615285	0.00752911
a26	0.349748	0.265352	0.193807	0.0911426	0.0471665	0.0193858	0.0127304	0.00721116	0.00634714	0.00710906
a35	0.267645	0.217141	0.194837	0.127519	0.0756218	0.0387707	0.0277278	0.0169934	0.0155303	0.018215
a20	0.187973	0.180926	0.197459	0.167218	0.116586	0.0639905	0.04227	0.018837	0.0127137	0.012026
a30	0.158654	0.170183	0.191414	0.172941	0.133918	0.0758191	0.050706	0.0211881	0.0133592	0.0118185
a35	0.0893737	0.102444	0.134734	0.154352	0.161857	0.137385	0.108084	0.0514716	0.032709	0.027589
a14	0.0745145	0.086715	0.127253	0.164902	0.176559	0.149562	0.11014	0.0490622	0.0318733	0.0294194
a44	0.096233	0.106668	0.143241	0.159746	0.162192	0.133346	0.0997411	0.0468013	0.028885	0.0231467
a38	0.0621655	0.0735702	0.119041	0.170096	0.179475	0.150164	0.118136	0.0590623	0.0378092	0.0304805
a90	0.0487712	0.0604116	0.0969035	0.144535	0.160291	0.160921	0.138668	0.078888	0.0587753	0.051836
a35	0.0470638	0.059083	0.102166	0.159718	0.169942	0.151893	0.125722	0.0756816	0.0583711	0.0503599
a32	0.0528467	0.0602439	0.0909179	0.127553	0.137273	0.143442	0.132173	0.0991985	0.0845475	0.0718047
a76	0.020383	0.0259783	0.0422668	0.0804505	0.0919612	0.125361	0.147101	0.150761	0.165369	0.150368
a94	0.0286979	0.0335091	0.0509527	0.0814611	0.10494	0.147255	0.1472	0.134863	0.134193	0.136928
a76	0.0177449	0.0199605	0.0303711	0.0524742	0.0708516	0.119166	0.144828	0.172464	0.191477	0.180663
a90	0.0208171	0.0243126	0.0368285	0.0509644	0.0693451	0.117071	0.134755	0.1661	0.188283	0.191523
a56	0.020313	0.0231927	0.0338196	0.0449416	0.0568786	0.0956247	0.118958	0.168124	0.21305	0.225097
a34	0.0182826	0.0195406	0.0276359	0.0346754	0.0406446	0.0685057	0.0952824	0.158495	0.238337	0.2986
a24	0.0122399	0.0134074	0.0188523	0.0251305	0.0294714	0.0499838	0.0751553	0.146902	0.255657	0.3732
a41	0.00586977	0.00566005	0.00720257	0.0110023	0.0153093	0.0333445	0.0564069	0.133758	0.270961	0.460486
a24	0.0104713	0.0100107	0.0115375	0.0141341	0.0191886	0.037176	0.0613606	0.139292	0.288621	0.408208
a62	0.0117241	0.0106059	0.0119979	0.0146497	0.0220155	0.0446443	0.0629777	0.120335	0.251936	0.449114
a24	0.0123111	0.0103656	0.0106079	0.0125947	0.0186229	0.0402694	0.0605518	0.119787	0.249038	0.465852
a41	0.0058243	0.00545842	0.00569251	0.00697087	0.0100836	0.0231033	0.0389822	0.102745	0.26234	0.5388
a12	0.00612555	0.0057386	0.00653958	0.00938506	0.0149519	0.0316834	0.0479763	0.108484	0.256964	0.512152
a98	0.00346411	0.00344027	0.00428478	0.00658508	0.0108118	0.0257176	0.0423645	0.10492	0.255208	0.543205
a25	0.00469314	0.00465839	0.00568519	0.00865028	0.0125569	0.0249434	0.0456349	0.123911	0.2875	0.481767
a87	0.00644694	0.00614907	0.00724837	0.0118964	0.0182722	0.0353751	0.0578318	0.12954	0.276997	0.450243
a23	0.0109406	0.00837238	0.00711814	0.0076886	0.0133386	0.0335418	0.0578074	0.137287	0.275598	0.448307
a87	0.0331729	0.0256773	0.020807	0.017901	0.0296462	0.0623216	0.0916015	0.159794	0.241304	0.317774
</S>	0.0370156	0.0313916	0.0252819	0.0213281	0.0305603	0.0643546	0.0926564	0.151272	0.22786	0.31828
