 	son	ami	lui	a	flanqué	un	bloc	de	terre	ferme	dans	la	figure	</S>
a66	0.292677	0.188461	0.129838	0.0993109	0.0678031	0.0474438	0.0357028	0.0287448	0.0278711	0.0186722	0.0158052	0.0159935	0.0166183	0.0150584
a87	0.216628	0.153183	0.113399	0.0867301	0.0616768	0.0503421	0.0380821	0.0376279	0.0405592	0.0386427	0.0373632	0.0410073	0.046506	0.038253
a23	0.363087	0.242275	0.134875	0.0657842	0.0285852	0.0205856	0.0221621	0.0174612	0.0191174	0.0140167	0.012403	0.0140015	0.0218256	0.0238198
a57	0.313791	0.186771	0.0962525	0.0449112	0.0226834	0.0235151	0.0349381	0.0338705	0.0411823	0.0387131	0.0320379	0.0369528	0.0490796	0.0453013
a50	0.202414	0.154881	0.105646	0.0654768	0.0381051	0.0451262	0.057754	0.0596086	0.0538292	0.0491086	0.040669	0.0422327	0.0449277	0.0402204
a75	0.138132	0.0806222	0.0514435	0.0381497	0.0331474	0.0413304	0.0643011	0.0687318	0.104831	0.0844056	0.0739824	0.0769585	0.066569	0.0773954
a79	0.164753	0.142754	0.0990431	0.0653772	0.0431807	0.0368717	0.0414584	0.0428716	0.070282	0.0643639	0.0616581	0.0586319	0.0458823	0.062872
a90	0.0749526	0.09231	0.0830461	0.0677725	0.0600506	0.0517693	0.0464459	0.0509172	0.0733356	0.0795487	0.0825671	0.0747471	0.0638556	0.0986817
a15	0.0550842	0.0739993	0.0834636	0.0844537	0.0883377	0.0689931	0.0539739	0.0547705	0.0548529	0.0573982	0.0669496	0.064945	0.0773809	0.115397
a92	0.043853	0.0535765	0.0634839	0.0703904	0.0871085	0.0719196	0.0559816	0.0598379	0.0546244	0.0571555	0.0750827	0.0759246	0.0960014	0.13506
a37	0.0475514	0.056814	0.0733639	0.0835733	0.0952674	0.0731583	0.049988	0.0519829	0.0457827	0.0531498	0.0690813	0.0744722	0.0961147	0.1297
a44	0.0487051	0.0539546	0.0774449	0.098264	0.121906	0.0964053	0.0648734	0.0671949	0.0508249	0.0498543	0.0597718	0.0595777	0.0683129	0.0829105
a4	0.0376842	0.0375818	0.0556831	0.0794045	0.117538	0.101586	0.0730001	0.0790631	0.0582618	0.0561111	0.0644379	0.0667365	0.0751825	0.097729
a13	0.0365522	0.0349568	0.0491353	0.0692588	0.102143	0.092546	0.0692349	0.0794058	0.062556	0.0627885	0.0716585	0.0784985	0.0856965	0.105569
a38	0.0223438	0.0191442	0.0227714	0.0312441	0.0637343	0.0807152	0.0687297	0.082661	0.066973	0.0667284	0.0784502	0.0932252	0.118229	0.18505
a70	0.0228131	0.0182714	0.0200952	0.0265435	0.0538138	0.0913029	0.0832426	0.101849	0.0768781	0.0737055	0.0796048	0.0913345	0.110733	0.149813
a83	0.0136611	0.0103259	0.0109825	0.0134417	0.0328371	0.0684798	0.072228	0.104592	0.0854462	0.0885788	0.0952653	0.102077	0.123698	0.178386
a70	0.0113746	0.00864206	0.00960683	0.0121784	0.0294918	0.0636601	0.0725333	0.108004	0.0852438	0.0905145	0.0950814	0.10571	0.130845	0.177115
a75	0.00655816	0.00508951	0.00564519	0.00658857	0.0157919	0.0387009	0.0480489	0.0857467	0.0780056	0.0992481	0.110843	0.118735	0.159477	0.221522
a79	0.00284167	0.00235354	0.00315794	0.00401282	0.00932265	0.0188467	0.0231376	0.0407659	0.0440451	0.0767778	0.116373	0.153249	0.224967	0.280149
a56	0.00173009	0.00134903	0.00177011	0.00229172	0.00795621	0.022224	0.0353903	0.0663014	0.0750289	0.109647	0.138163	0.152766	0.183146	0.202236
a43	0.00271168	0.00183378	0.00206674	0.00244044	0.00730651	0.0218685	0.0415979	0.0745977	0.0889964	0.118254	0.123086	0.137321	0.156045	0.221874
a96	0.00140502	0.000859636	0.00086985	0.000954305	0.00244407	0.00776256	0.0183645	0.0397984	0.0487312	0.0760949	0.0986877	0.147173	0.213418	0.343437
a61	0.00180979	0.00112089	0.00122195	0.00143335	0.00370233	0.0096028	0.0206487	0.041984	0.0557533	0.0884748	0.108615	0.168906	0.202017	0.294711
a62	0.000984322	0.000618901	0.000693936	0.000867144	0.00248998	0.00657894	0.0148775	0.0323252	0.0481478	0.0825382	0.11228	0.178978	0.225565	0.293055
a88	0.00138214	0.000877162	0.000979195	0.00123306	0.0039117	0.0103891	0.0253757	0.0486879	0.0584691	0.091166	0.126367	0.167678	0.199903	0.263581
a71	0.00101965	0.000626558	0.000664914	0.000829239	0.00282865	0.00901322	0.0233787	0.0459723	0.0631336	0.0953546	0.130849	0.166041	0.183873	0.276415
a9	0.00731182	0.0043141	0.00409342	0.00454001	0.0108113	0.0251828	0.0537391	0.0824596	0.0864193	0.0978616	0.120159	0.143585	0.154033	0.20549
a10	0.070673	0.0371433	0.0323858	0.0288318	0.035496	0.0471652	0.0742757	0.100357	0.0841	0.083948	0.0904725	0.0926872	0.0956151	0.126849
a87	0.158967	0.0741005	0.054399	0.0429554	0.0433668	0.0434346	0.0546535	0.0650156	0.0617831	0.0577182	0.0690331	0.0763598	0.0916332	0.106581
a23	0.108262	0.0547517	0.0414224	0.0348108	0.0491122	0.0645881	0.0826795	0.088047	0.0835988	0.0690715	0.0744728	0.0688148	0.0878272	0.0925417
a87	0.0871794	0.0416685	0.0259764	0.0141168	0.0116272	0.0162458	0.0268319	0.0417689	0.0733055	0.0838075	0.0926069	0.109238	0.174979	0.200648
</S>	0.0148554	0.00863869	0.00675476	0.00425099	0.00590063	0.00959921	0.0182396	0.0263683	0.0447983	0.0639195	0.0834247	0.117481	0.222689	0.37308
