 	j'	ai	succédé	à	cet	homme	comme	chef	du	village	</S>
a27	0.240844	0.100465	0.12296	0.123582	0.11424	0.100848	0.0785407	0.0573874	0.0286779	0.0172805	0.0151748
a82	0.211944	0.138327	0.142873	0.13575	0.107474	0.0867056	0.0611503	0.0423828	0.0266956	0.0222676	0.0244301
a10	0.481986	0.209848	0.0854548	0.0571328	0.0361954	0.0292218	0.019414	0.0170119	0.0165057	0.0203398	0.02689
a87	0.397581	0.242734	0.101473	0.0648813	0.0440313	0.0380183	0.0257743	0.0209732	0.0185826	0.0205343	0.0254165
a97	0.380599	0.230697	0.110287	0.0722079	0.0464478	0.0409932	0.0282177	0.0233613	0.0199763	0.0212879	0.0259244
a83	0.35829	0.239769	0.114842	0.0763601	0.048067	0.0371534	0.0267732	0.0239673	0.0223461	0.0235311	0.0289017
a54	0.299557	0.246263	0.117265	0.0778917	0.0467827	0.0376452	0.0331188	0.0388558	0.0353799	0.0326349	0.034606
a41	0.21611	0.275598	0.172688	0.090507	0.0421158	0.029953	0.0253436	0.0349512	0.0378945	0.0364246	0.0384144
a94	0.183881	0.313564	0.184508	0.0928388	0.044833	0.03064	0.0244539	0.031532	0.0332388	0.0301934	0.0303168
a70	0.134824	0.281781	0.20016	0.0987049	0.0563812	0.0418012	0.0310533	0.0350697	0.037398	0.0387783	0.044048
a56	0.11024	0.230767	0.210239	0.108992	0.0669027	0.0488137	0.0357385	0.0376519	0.0420719	0.0490609	0.0595231
a70	0.135551	0.233693	0.197649	0.104402	0.0656912	0.0476764	0.0340551	0.0355181	0.0401671	0.0477701	0.0578267
a83	0.0939383	0.130751	0.19954	0.124828	0.0877295	0.0673387	0.0489158	0.0481479	0.053101	0.0657528	0.0799567
a99	0.0729973	0.0869709	0.181329	0.126459	0.0963604	0.0791144	0.0579029	0.0573602	0.0623615	0.0799482	0.0991957
a54	0.0320616	0.0327093	0.118012	0.12851	0.125551	0.120746	0.0878502	0.0844762	0.0760883	0.0886204	0.105374
a41	0.017465	0.0159535	0.0453036	0.064685	0.0826315	0.089708	0.0962354	0.107726	0.11978	0.157413	0.203099
a37	0.00907789	0.0069994	0.0284409	0.0536886	0.0867186	0.0939833	0.109991	0.116341	0.121074	0.160733	0.212952
a94	0.0106925	0.00730401	0.0312575	0.059854	0.10002	0.11384	0.122417	0.129336	0.114194	0.136482	0.174602
a70	0.00619801	0.00419587	0.0166174	0.0359884	0.0757853	0.101826	0.124215	0.148733	0.134919	0.15497	0.196552
a94	0.0046652	0.0034644	0.0125868	0.0235281	0.0533378	0.0792762	0.105457	0.137385	0.157995	0.188991	0.233313
a4	0.00249216	0.00173157	0.00743532	0.0150926	0.0355069	0.0587301	0.0901278	0.1349	0.16979	0.211375	0.272819
a13	0.00237805	0.0016766	0.00611116	0.0109021	0.0236327	0.0374329	0.062105	0.100266	0.165091	0.249819	0.340585
a93	0.0006934	0.00049024	0.00206687	0.00393767	0.00937604	0.0158735	0.03062	0.0585477	0.147865	0.29944	0.43109
a70	0.000421968	0.000277385	0.00118321	0.00269605	0.00732223	0.012663	0.0253	0.0454512	0.133472	0.30902	0.462192
a11	0.000341929	0.00024663	0.000937	0.00164801	0.00385953	0.00757777	0.017474	0.0402458	0.130861	0.324055	0.472754
a75	0.000522954	0.000361902	0.0013984	0.00262218	0.00559685	0.00923427	0.020524	0.0461202	0.13908	0.312788	0.461751
a73	0.000265016	0.00020792	0.000722549	0.00196809	0.00535237	0.0102634	0.0222835	0.0461086	0.13193	0.323106	0.457793
a7	0.000108268	9.31695e-05	0.00026856	0.000652599	0.00187705	0.00362996	0.0098865	0.0267498	0.103183	0.317804	0.535748
a26	0.000442579	0.000351626	0.000766427	0.00152634	0.00338684	0.00634623	0.0182762	0.0397322	0.108892	0.290787	0.529492
a44	0.0192451	0.0102009	0.0137014	0.0180649	0.0236228	0.0294824	0.051567	0.0727658	0.123499	0.241564	0.396287
a13	0.00173739	0.00138339	0.00239831	0.0040055	0.00670047	0.00989427	0.0225278	0.04977	0.12691	0.296271	0.478402
a57	0.00289526	0.00199749	0.00302793	0.00462812	0.0071225	0.00956091	0.0207521	0.0444769	0.114854	0.289371	0.501313
a82	0.0304719	0.014267	0.0154271	0.0188586	0.0229232	0.0265352	0.0426384	0.063277	0.117689	0.246484	0.401429
a26	0.146345	0.0729668	0.0562946	0.0606321	0.0564356	0.0619151	0.0736735	0.0822876	0.099754	0.127922	0.161773
a82	0.125211	0.0713327	0.0497062	0.0541883	0.0526463	0.0549109	0.064916	0.0787894	0.107657	0.151957	0.188685
a97	0.0831745	0.0576162	0.0397453	0.0436736	0.0465948	0.0488829	0.0627737	0.0809626	0.123999	0.183885	0.228693
a82	0.0706004	0.0479812	0.0354825	0.0465627	0.065252	0.0741625	0.0912667	0.0985648	0.129293	0.157175	0.18366
a57	0.064601	0.0494364	0.0528294	0.07725	0.0993527	0.0944009	0.0911041	0.0829013	0.101921	0.124802	0.161401
</S>	0.0414267	0.0385196	0.0401287	0.0519626	0.0657396	0.0683291	0.0705577	0.0786266	0.123024	0.176698	0.244987
