 	j'	ai	un	rendez-vous	avec	le	chef	</S>
a66	0.311562	0.160166	0.137133	0.178382	0.077371	0.0545471	0.044797	0.0360427
a87	0.19408	0.157031	0.121246	0.112744	0.0776662	0.0928127	0.116114	0.128307
a97	0.324013	0.216086	0.138131	0.119856	0.0546556	0.0509389	0.0517596	0.0445606
a18	0.287233	0.217388	0.135215	0.108769	0.0623843	0.0658854	0.0678938	0.0552308
a50	0.355633	0.21397	0.130466	0.10089	0.0521611	0.0539583	0.0531453	0.0397762
a98	0.284309	0.19317	0.14761	0.116506	0.0652828	0.0678493	0.0709414	0.0543326
a83	0.271524	0.2183	0.192537	0.112555	0.0427498	0.0492074	0.0576302	0.0554973
a62	0.202712	0.211211	0.213558	0.12439	0.0548262	0.060272	0.0651362	0.0678935
a96	0.238887	0.310619	0.234943	0.100695	0.029555	0.026568	0.027589	0.0311438
a75	0.198632	0.285308	0.253902	0.119325	0.0368711	0.0326028	0.0340387	0.0393213
a56	0.220682	0.272046	0.228697	0.117211	0.043413	0.0351964	0.036398	0.046356
a70	0.152123	0.195571	0.220038	0.187656	0.0808678	0.055627	0.0539634	0.0541541
a75	0.107041	0.13581	0.185247	0.213106	0.135974	0.0845188	0.0736431	0.0646593
a41	0.0761414	0.0856089	0.132771	0.158413	0.14291	0.134018	0.135214	0.134925
a12	0.0294443	0.0297057	0.0735969	0.122398	0.175376	0.183324	0.195657	0.190498
a96	0.027276	0.0279491	0.0567002	0.104615	0.181788	0.167067	0.199419	0.235186
a93	0.0171598	0.0177841	0.0382189	0.0799667	0.194727	0.195168	0.225462	0.231514
a13	0.0109089	0.0109376	0.0257162	0.06165	0.184587	0.215303	0.250515	0.240382
a58	0.00387404	0.00408384	0.00974285	0.0298363	0.158786	0.213211	0.266941	0.313525
a93	0.00290992	0.00291461	0.00590501	0.0166553	0.107256	0.189247	0.277649	0.397464
a99	0.00119018	0.00126209	0.00286993	0.00795426	0.073747	0.179931	0.286239	0.446806
a9	0.00100498	0.00108548	0.00190273	0.00582383	0.0606166	0.167509	0.308595	0.453462
a3	0.0176196	0.012883	0.0153792	0.0279367	0.112399	0.193556	0.277335	0.342892
a99	0.0618253	0.031068	0.0242199	0.0373266	0.121515	0.204407	0.267061	0.252577
a97	0.0720281	0.0346581	0.0215131	0.0280724	0.093355	0.189197	0.264153	0.297024
a99	0.0499991	0.0285981	0.0211263	0.0392508	0.108258	0.199659	0.282256	0.270853
a97	0.024823	0.0147575	0.0131663	0.0208134	0.0665095	0.160696	0.289026	0.410208
a38	0.037729	0.0259249	0.0246019	0.0344399	0.0715933	0.146507	0.260199	0.399005
a97	0.0225413	0.0170748	0.0181721	0.0254027	0.0726258	0.154913	0.26465	0.424621
</S>	0.0330173	0.0200762	0.0217891	0.0293453	0.0660774	0.139402	0.242369	0.447924
