 	ces	habits	sont	démodés	</S>
a66	0.387594	0.253887	0.211962	0.103197	0.0433598
a87	0.188545	0.193986	0.349219	0.206769	0.0614807
a23	0.427271	0.333474	0.138147	0.053512	0.0475965
a87	0.420852	0.427722	0.110698	0.0231535	0.0175751
a97	0.414953	0.383404	0.139958	0.0354683	0.0262169
a83	0.440656	0.392584	0.108147	0.0365236	0.0220891
a9	0.349926	0.41302	0.132553	0.0522736	0.0522278
a75	0.289398	0.347765	0.208385	0.0730779	0.0813747
a5	0.174826	0.351678	0.274586	0.0975545	0.101355
a85	0.163164	0.364404	0.32347	0.086735	0.0622263
a6	0.12775	0.272286	0.351535	0.132839	0.11559
a37	0.129682	0.275298	0.316374	0.155699	0.122946
a12	0.111264	0.228982	0.307252	0.2186	0.133903
a62	0.0629029	0.139854	0.250675	0.331918	0.21465
a0	0.0259041	0.0621878	0.154224	0.433627	0.324057
a90	0.0112327	0.0260379	0.104201	0.482651	0.375877
a93	0.00647791	0.0135629	0.0606524	0.424427	0.49488
a4	0.00265091	0.00667143	0.0337179	0.326009	0.630951
a93	0.000904096	0.00156267	0.0100033	0.292096	0.695434
a54	0.000528751	0.00101183	0.00944097	0.232797	0.756221
a36	0.000144767	0.000238493	0.00201324	0.143827	0.853776
a2	0.00112833	0.00106874	0.00490794	0.13372	0.859175
a57	0.0813983	0.0441863	0.0581078	0.251746	0.564561
a87	0.198489	0.116278	0.101088	0.253983	0.330162
a97	0.122416	0.0823319	0.103278	0.338966	0.353009
a87	0.0268906	0.026745	0.0526474	0.365755	0.527961
a97	0.0249344	0.0244466	0.0398594	0.291735	0.619024
a87	0.0337075	0.0458129	0.102926	0.30145	0.516103
</S>	0.0668073	0.0867302	0.141475	0.249754	0.455233
