 	il	a	taillé	une	pagaie	dans	le	bois	</S>
a85	0.217375	0.162289	0.21053	0.139999	0.113875	0.0550342	0.038865	0.0340105	0.0280226
a87	0.22269	0.168964	0.213449	0.123095	0.0612865	0.0459522	0.045336	0.0513055	0.067922
a23	0.129568	0.152828	0.184513	0.174351	0.12633	0.0827992	0.0542905	0.0461524	0.0491674
a79	0.182364	0.151419	0.1421	0.111525	0.0687469	0.0740059	0.0799791	0.0933979	0.0964622
a20	0.537009	0.218204	0.116069	0.0364444	0.0102554	0.00830319	0.0132923	0.0238304	0.0365913
a58	0.380132	0.218239	0.155352	0.0921548	0.0493638	0.0317677	0.0251607	0.0247178	0.0231123
a84	0.290415	0.232672	0.169671	0.11468	0.0672824	0.0421006	0.0285757	0.0270932	0.0275102
a20	0.20284	0.182418	0.170314	0.136972	0.0848767	0.0561007	0.0422541	0.049104	0.0751209
a41	0.238955	0.220595	0.193347	0.14138	0.0750787	0.0471381	0.0285552	0.0247263	0.0302255
a18	0.26245	0.227912	0.182798	0.138535	0.0847494	0.0486189	0.02248	0.0163999	0.016057
a88	0.201978	0.213835	0.193764	0.156058	0.0961561	0.0512217	0.0288432	0.0268986	0.0312456
a13	0.167288	0.202085	0.197766	0.16683	0.105065	0.0558148	0.0318628	0.0320317	0.0412573
a38	0.126219	0.176422	0.196975	0.175609	0.112189	0.0645328	0.0396409	0.0451304	0.0632814
a53	0.112541	0.165773	0.204548	0.180885	0.110148	0.0625844	0.0407751	0.0489024	0.0738425
a76	0.102605	0.136405	0.174027	0.169768	0.112844	0.0816698	0.058652	0.0692496	0.0947788
a73	0.0890124	0.100033	0.123775	0.162212	0.14149	0.109619	0.0798088	0.0861278	0.107922
a84	0.0885421	0.112361	0.135968	0.170738	0.138121	0.104451	0.0755007	0.079432	0.094886
a57	0.0781663	0.104917	0.162388	0.192122	0.120551	0.0861033	0.0632173	0.0717802	0.120754
a87	0.0559251	0.0754528	0.136746	0.193145	0.149882	0.087072	0.0662537	0.0806845	0.154839
a23	0.0830447	0.0968704	0.120228	0.131009	0.0985341	0.0875062	0.114978	0.137521	0.130308
a99	0.0659795	0.069932	0.101628	0.136649	0.0946335	0.0926326	0.107126	0.141283	0.190137
a94	0.0556443	0.0652806	0.0802951	0.0776313	0.0461656	0.0782364	0.118666	0.181939	0.296142
a71	0.0741118	0.0724937	0.0859481	0.0905211	0.0615033	0.077858	0.105322	0.175774	0.256468
a53	0.0648321	0.0760068	0.103501	0.111683	0.0758244	0.0879365	0.107609	0.157789	0.214819
a20	0.0583184	0.064172	0.099441	0.129731	0.0949261	0.098774	0.106122	0.14159	0.206926
a94	0.0786837	0.0805555	0.107188	0.133735	0.103613	0.0809904	0.0825226	0.125268	0.207444
a53	0.0530192	0.0558754	0.0737465	0.104271	0.100946	0.100747	0.114309	0.160985	0.236102
a15	0.0561097	0.0555498	0.0713466	0.0982978	0.0946545	0.103591	0.118498	0.16351	0.238443
a69	0.0606728	0.0586377	0.0669287	0.0906052	0.0991362	0.10774	0.119695	0.158344	0.238241
a20	0.0521619	0.0518846	0.0621819	0.0774905	0.0915112	0.105449	0.132035	0.170128	0.257157
a73	0.0754671	0.0692514	0.0707595	0.0873148	0.0951644	0.0844302	0.0983638	0.147436	0.271812
a84	0.0410548	0.0453433	0.0556352	0.0846696	0.0944777	0.0882022	0.111184	0.167588	0.311845
a57	0.013542	0.015915	0.0243904	0.045262	0.0769585	0.0800205	0.130057	0.220855	0.393
a87	0.0131257	0.0109917	0.0147503	0.0321763	0.0693899	0.0601338	0.114047	0.228532	0.456853
a23	0.0145546	0.00997305	0.012052	0.0278545	0.0447654	0.0465333	0.123676	0.308405	0.412185
a13	0.0164205	0.0121216	0.0114161	0.0269759	0.04535	0.0776923	0.178204	0.273513	0.358306
a54	0.0174962	0.012376	0.0168599	0.0297205	0.030178	0.0572303	0.152361	0.271233	0.412545
a41	0.0440143	0.0343533	0.0437326	0.0615459	0.0683481	0.075605	0.141453	0.234067	0.296881
a18	0.0164831	0.0173122	0.0229973	0.0375869	0.0430997	0.0519758	0.11689	0.259647	0.434007
a25	0.00492399	0.00609769	0.010335	0.0202962	0.0329886	0.047666	0.104784	0.24385	0.529058
a38	0.00533675	0.00581384	0.00887236	0.0190948	0.0374799	0.0446162	0.10052	0.24155	0.536717
a41	0.00552514	0.00490389	0.00735757	0.0150593	0.0271947	0.0376257	0.104953	0.26048	0.5369
a12	0.00798646	0.00726841	0.0110722	0.02123	0.0324394	0.0395086	0.0972458	0.247655	0.535594
a88	0.0073989	0.00613772	0.00824523	0.0125125	0.0224137	0.0348218	0.0915707	0.246186	0.570714
a71	0.00762982	0.00761298	0.0120238	0.018591	0.0283257	0.0372125	0.0851048	0.213877	0.589623
a9	0.016133	0.0151513	0.0225954	0.0344939	0.0568971	0.0503304	0.093366	0.194154	0.516878
a87	0.0262301	0.0210528	0.0297104	0.0449283	0.0748268	0.0554981	0.102937	0.183012	0.461804
</S>	0.0224128	0.013819	0.0155967	0.0268723	0.0480876	0.043209	0.096012	0.201332	0.532659
