 	les	hameçons	sont	mis	en	place	dans	la	rivière	</S>
a66	0.518687	0.327389	0.0761969	0.029418	0.0157892	0.0101428	0.00702529	0.0049519	0.00509449	0.00530557
a87	0.70832	0.224741	0.025882	0.0106593	0.00583991	0.00447244	0.00497073	0.00419722	0.00581371	0.00510374
a23	0.530563	0.291686	0.0757267	0.0430554	0.0191885	0.0120915	0.00780597	0.00572301	0.0068249	0.0073353
a40	0.292975	0.262412	0.100868	0.0747386	0.034645	0.0297902	0.0335438	0.043888	0.0591728	0.0679665
a37	0.42814	0.226152	0.087913	0.0555285	0.0372685	0.0399553	0.0434192	0.0356687	0.0262262	0.0197276
a79	0.264792	0.341434	0.151929	0.0902903	0.0389232	0.0231475	0.0284904	0.0233712	0.0195808	0.0180416
a15	0.302171	0.424109	0.108888	0.0773317	0.0314375	0.0169243	0.0169458	0.0119086	0.00616176	0.00412163
a20	0.152761	0.328115	0.135941	0.170699	0.0971131	0.0548633	0.0361534	0.0163731	0.00472098	0.00326048
a15	0.0755705	0.166033	0.120177	0.211381	0.173756	0.108892	0.0852795	0.0380504	0.0116284	0.00923186
a47	0.0527505	0.0824362	0.0891897	0.212381	0.225377	0.135781	0.107616	0.0546041	0.022388	0.0174761
a85	0.0256168	0.0389863	0.0411413	0.13054	0.189699	0.146583	0.18002	0.110214	0.0678426	0.0693567
a47	0.0162915	0.0303822	0.0372412	0.132428	0.190256	0.232357	0.194382	0.10462	0.0343997	0.0276424
a0	0.0134162	0.023652	0.0240254	0.0759458	0.127154	0.180964	0.249373	0.161899	0.0766707	0.066899
a54	0.0116507	0.0190209	0.0138166	0.0578581	0.0971175	0.154317	0.22022	0.187682	0.109171	0.129146
a47	0.00930363	0.0176418	0.0135444	0.0425649	0.0777481	0.151678	0.220091	0.209159	0.142124	0.116146
a6	0.00186366	0.00450712	0.00520124	0.0201205	0.0469429	0.11825	0.200962	0.24092	0.183808	0.177423
a0	0.00256748	0.00487724	0.00772709	0.0213919	0.0428388	0.0986176	0.169965	0.245183	0.22612	0.180712
a75	0.00221935	0.00558649	0.00819223	0.0244959	0.043615	0.112156	0.173805	0.210453	0.183909	0.235568
a56	0.000572585	0.0015309	0.00263801	0.0082563	0.0172091	0.051547	0.112098	0.182513	0.253058	0.370577
a0	0.00094521	0.00205042	0.00338661	0.00961427	0.0174284	0.0426719	0.106851	0.183287	0.248731	0.385034
a25	0.00099275	0.00233521	0.00285063	0.00818177	0.0176831	0.0455889	0.0935444	0.181474	0.242649	0.4047
a69	0.000308057	0.00077578	0.000747771	0.0021794	0.00663718	0.0243906	0.0567724	0.123704	0.240655	0.54383
a32	0.000409352	0.00134843	0.00180372	0.00506322	0.0111097	0.0326016	0.0685624	0.140955	0.242472	0.495674
a62	0.000326697	0.000672055	0.000745999	0.00221156	0.00682768	0.0269825	0.0413655	0.0944201	0.236594	0.589854
a31	0.000265931	0.000623293	0.000602862	0.00190901	0.00603932	0.0208702	0.040458	0.0912761	0.25525	0.582706
a0	0.000448932	0.00077468	0.000836682	0.00203238	0.00498815	0.0164322	0.0398149	0.0890566	0.234478	0.611137
a24	0.000891504	0.00218574	0.00149208	0.00304405	0.00935186	0.034378	0.0547661	0.0891319	0.1904	0.614359
a9	0.00272056	0.00590667	0.00371615	0.00549139	0.014367	0.0522548	0.0781077	0.121524	0.209514	0.506397
a87	0.0217338	0.0331529	0.021872	0.0358239	0.0569229	0.095994	0.104002	0.141552	0.190313	0.298634
a23	0.170697	0.109461	0.07811	0.100754	0.09839	0.0983679	0.0877177	0.0893992	0.0886707	0.0784328
a87	0.131443	0.104606	0.0489744	0.0810488	0.0827082	0.101183	0.091792	0.102558	0.115442	0.140244
</S>	0.0161745	0.0198375	0.0151906	0.0377971	0.0521705	0.077634	0.105067	0.137943	0.186263	0.351922
