 	le	sac	qu'	il	a	en	main	est	bleu	foncé	</S>
a10	0.283051	0.10782	0.0640028	0.0758614	0.093421	0.0985771	0.0979612	0.076577	0.0512657	0.0294212	0.0220413
a82	0.218875	0.0617237	0.0462943	0.0477021	0.0489323	0.05567	0.0628951	0.0972086	0.100509	0.108414	0.151775
a75	0.23269	0.131376	0.0813472	0.066478	0.0681532	0.0719673	0.0701516	0.0677122	0.0621843	0.0523799	0.095561
a12	0.288467	0.188996	0.0936834	0.0654364	0.0543811	0.0429234	0.0450108	0.044241	0.0450236	0.0415786	0.0902583
a62	0.330908	0.217029	0.107953	0.0770658	0.0679336	0.0493475	0.0432096	0.0353413	0.0261419	0.0211707	0.0238992
a21	0.224675	0.310186	0.177422	0.11254	0.0722772	0.0371074	0.0270891	0.0167205	0.00943827	0.00719288	0.00535076
a47	0.180933	0.328784	0.192195	0.109203	0.0718761	0.0440152	0.0349122	0.0191149	0.00956978	0.00562308	0.0037734
a21	0.119387	0.229699	0.206864	0.145852	0.114339	0.0744902	0.0544484	0.026955	0.0142125	0.007933	0.00582112
a62	0.238035	0.261156	0.185574	0.11494	0.0779608	0.0498498	0.0364159	0.018944	0.0096726	0.00442621	0.00302518
a31	0.133875	0.177115	0.169046	0.142863	0.12932	0.0977171	0.0734528	0.0400162	0.0201789	0.00961146	0.00680441
a21	0.130856	0.152629	0.152189	0.137667	0.124837	0.101559	0.0840661	0.0581702	0.0340708	0.0155542	0.00840094
a85	0.0772598	0.0883284	0.12028	0.141057	0.147137	0.123838	0.108509	0.0830398	0.0608661	0.0336856	0.0159985
a15	0.0755698	0.0822214	0.118029	0.150823	0.1546	0.116806	0.100295	0.0753746	0.0612429	0.0418033	0.0232347
a37	0.0650508	0.0480097	0.0665105	0.110672	0.15451	0.159423	0.143977	0.111722	0.0761574	0.0403964	0.0235706
a85	0.0687835	0.0442703	0.0501974	0.0786661	0.119172	0.155132	0.156969	0.137723	0.0991006	0.0537553	0.0362311
a37	0.0251566	0.0198314	0.0261163	0.0507107	0.0906041	0.126203	0.140545	0.154337	0.179143	0.126292	0.0610616
a90	0.0417764	0.0266008	0.026561	0.0390357	0.0682091	0.118151	0.14374	0.166599	0.185302	0.116844	0.0671807
a15	0.0179304	0.015486	0.0158361	0.0228577	0.0385494	0.0728487	0.103239	0.153489	0.262674	0.194689	0.102401
a69	0.0144446	0.0130378	0.0141609	0.0189019	0.0275948	0.0520388	0.0780475	0.130258	0.271097	0.216412	0.164007
a58	0.0161625	0.0117501	0.0131561	0.0176441	0.0259516	0.0408856	0.0573622	0.105796	0.286419	0.248742	0.176131
a82	0.0146135	0.00784237	0.00978923	0.0132393	0.0208897	0.0351356	0.0501532	0.0865649	0.190223	0.198483	0.373066
a3	0.0201942	0.0104799	0.0125626	0.0174573	0.0274222	0.0406338	0.0520315	0.0790979	0.143333	0.175742	0.421046
a38	0.0161262	0.00761218	0.00763429	0.0120439	0.0187776	0.031616	0.0466856	0.0732139	0.12596	0.189222	0.471108
a12	0.00940074	0.00372136	0.0042301	0.00670204	0.0116002	0.0203431	0.0328253	0.0641052	0.146551	0.267914	0.432607
a47	0.00376297	0.00260942	0.00319545	0.00564451	0.0108828	0.0215804	0.0354742	0.065963	0.142306	0.254714	0.453867
a88	0.00400909	0.00302659	0.00397894	0.00710755	0.0139453	0.0276043	0.0443505	0.0801525	0.164988	0.254583	0.396254
a62	0.000979819	0.000765799	0.00119691	0.0024777	0.00526192	0.0107252	0.0189925	0.0410048	0.110924	0.237639	0.570033
a31	0.00116689	0.000915018	0.00156348	0.00319032	0.00636518	0.0116704	0.0193946	0.0408005	0.112341	0.228215	0.574378
a24	0.000556865	0.000419903	0.000774469	0.00167057	0.00370422	0.0072553	0.0120515	0.0281601	0.094546	0.222635	0.628227
a31	0.000417745	0.000299691	0.000522543	0.00112493	0.00273012	0.00603946	0.0107547	0.0261541	0.0919828	0.201077	0.658897
a24	0.000494431	0.000332416	0.000640868	0.00148334	0.0038271	0.00935698	0.0164232	0.0338612	0.10148	0.208954	0.623146
a9	0.000381442	0.000208875	0.000302974	0.000660235	0.00142853	0.00326656	0.00674957	0.0190839	0.0749692	0.235108	0.657841
a82	0.0042632	0.00159154	0.00195444	0.00358582	0.00569867	0.0100571	0.0157985	0.0354715	0.114921	0.2832	0.523458
a9	0.0263166	0.00843683	0.00853152	0.0127583	0.0159428	0.0245635	0.0348373	0.0646882	0.125853	0.222098	0.455974
a10	0.050498	0.0182023	0.0133688	0.015721	0.017696	0.0313467	0.0459443	0.0772317	0.138556	0.182702	0.408734
a9	0.0498936	0.0257566	0.0187201	0.0212512	0.0242981	0.0453611	0.0644928	0.0936357	0.157746	0.194488	0.304358
a10	0.0564235	0.0267769	0.0192359	0.0221874	0.0256101	0.0405265	0.0532079	0.0786523	0.155399	0.199386	0.322595
</S>	0.0517102	0.0247466	0.0167837	0.0184807	0.0214244	0.0365079	0.0506724	0.0773132	0.157059	0.1988	0.346502
