 	j'	ai	adhéré	à	l'	association	okwengele	</S>
a66	0.195887	0.232849	0.303178	0.120327	0.0692961	0.0498277	0.0217641	0.00687101
a87	0.560292	0.297488	0.052657	0.015751	0.0165642	0.0229242	0.0206447	0.0136794
a23	0.437083	0.312526	0.0989861	0.0477034	0.0346236	0.0290098	0.0214069	0.0186614
a99	0.406976	0.300601	0.0780285	0.0616159	0.0549017	0.0433276	0.0246395	0.0299105
a13	0.33103	0.245545	0.170032	0.0934279	0.0648129	0.043407	0.0250985	0.0266468
a11	0.30731	0.230279	0.230158	0.0876671	0.0663604	0.0419844	0.0203004	0.0159411
a24	0.231008	0.214101	0.213923	0.104778	0.100548	0.0779695	0.0347687	0.0229045
a47	0.148545	0.165701	0.166586	0.103596	0.125408	0.137479	0.0937011	0.0589838
a12	0.117314	0.129186	0.165216	0.122259	0.131415	0.129603	0.11267	0.0923365
a47	0.109675	0.123979	0.210094	0.150934	0.171383	0.137159	0.0665748	0.0302018
a96	0.0743448	0.0887219	0.183487	0.167129	0.181356	0.146973	0.094342	0.0636462
a18	0.040945	0.054023	0.174761	0.184526	0.204482	0.166783	0.102338	0.0721421
a93	0.0190072	0.0253918	0.0866005	0.181337	0.241271	0.23427	0.132075	0.0800476
a56	0.0244948	0.036139	0.158331	0.190224	0.195521	0.177404	0.131393	0.0864928
a44	0.0127748	0.0165748	0.106029	0.190309	0.201659	0.19107	0.166609	0.114974
a93	0.00697397	0.00897741	0.0613208	0.145351	0.185475	0.197153	0.218602	0.176147
a56	0.00959675	0.0102349	0.0553819	0.122398	0.155648	0.170275	0.230822	0.245643
a75	0.00631236	0.006156	0.0300066	0.0781634	0.11872	0.145346	0.257126	0.35817
a25	0.00109015	0.000995889	0.006813	0.038858	0.0800386	0.119642	0.277782	0.47478
a69	0.000481868	0.000454868	0.00460873	0.0279139	0.0597195	0.086548	0.24841	0.571863
a90	0.00146051	0.00120674	0.00361615	0.01556	0.0363151	0.0596233	0.2372	0.645018
a56	0.0029525	0.0020908	0.00921093	0.0417827	0.0822264	0.111399	0.2615	0.488838
a96	0.000928974	0.00065206	0.00210868	0.00904123	0.0242165	0.0463323	0.208633	0.708087
a61	0.000206883	0.000143941	0.000419434	0.00184593	0.00572996	0.0141503	0.148067	0.829437
a21	0.000137053	9.87585e-05	0.000217378	0.00107851	0.00372298	0.0095826	0.14783	0.837333
a12	0.000440165	0.000420369	0.000771469	0.00248958	0.00713377	0.0164356	0.173992	0.798317
a18	0.0001949	0.000186951	0.000466191	0.00196871	0.00543408	0.0120707	0.144505	0.835173
a71	0.000330745	0.000262138	0.000746555	0.00280532	0.00827139	0.0179926	0.155079	0.814512
a3	0.0134149	0.0112222	0.0177433	0.0389547	0.0659233	0.0841503	0.242865	0.525727
a97	0.182662	0.137128	0.0842396	0.107173	0.112167	0.109724	0.127269	0.139637
a87	0.144947	0.123319	0.0877287	0.101132	0.114114	0.115655	0.12698	0.186124
a23	0.0981653	0.0843745	0.0796371	0.107335	0.13364	0.14372	0.148774	0.204355
a99	0.0381102	0.032667	0.035798	0.0490811	0.0703109	0.0957514	0.175471	0.502811
a97	0.0152797	0.0164985	0.0238567	0.0270966	0.0432554	0.0689303	0.202364	0.602719
a99	0.0268466	0.0332801	0.02904	0.0244094	0.0270552	0.0313415	0.0847555	0.743272
a3	0.0176586	0.0246993	0.0296948	0.0280936	0.0351575	0.0478661	0.114982	0.701848
</S>	0.104431	0.11575	0.0616916	0.0484435	0.0465467	0.0466303	0.0733649	0.503143
