 	elle	fait	rôtir	la	viande	sur	la	braise	</S>
a23	0.415821	0.2482	0.096871	0.0644725	0.0359007	0.0269494	0.0262388	0.0361099	0.0494373
a85	0.442403	0.180289	0.0622823	0.0462736	0.0264029	0.0285732	0.0414812	0.0708178	0.101478
a87	0.136228	0.0804854	0.0512634	0.0496738	0.0571335	0.0634372	0.0848553	0.170813	0.30611
a23	0.329179	0.186701	0.0907903	0.0685795	0.0398771	0.0322261	0.0414551	0.0758288	0.135363
a79	0.193845	0.129465	0.0834238	0.0504147	0.0382289	0.0349055	0.0550128	0.151856	0.262848
a20	0.170656	0.107594	0.0922678	0.0717245	0.0577994	0.0494127	0.0637772	0.154779	0.231989
a73	0.331791	0.215905	0.149802	0.104899	0.0657622	0.040031	0.0269218	0.0314889	0.0333982
a30	0.22674	0.180989	0.202722	0.173581	0.101358	0.0485698	0.0252028	0.0213915	0.0194467
a2	0.201266	0.165856	0.171276	0.174793	0.113836	0.0624284	0.0392478	0.0370562	0.0342407
a30	0.0932154	0.0823572	0.133209	0.183241	0.156147	0.102887	0.076124	0.0824299	0.0903894
a14	0.10814	0.0948711	0.141115	0.188561	0.119557	0.075306	0.0670086	0.0886393	0.116802
a35	0.150775	0.132887	0.162574	0.184592	0.149094	0.0899018	0.0492568	0.0410778	0.0398417
a41	0.127755	0.116142	0.151026	0.17635	0.153498	0.10778	0.0642302	0.0528145	0.0504046
a14	0.0772036	0.0736461	0.111762	0.147377	0.16449	0.155771	0.110441	0.0837724	0.0755364
a35	0.035171	0.0336174	0.0626743	0.105437	0.163771	0.196542	0.15047	0.128776	0.123541
a30	0.0228179	0.0218481	0.0424075	0.0736615	0.129469	0.186099	0.182323	0.170539	0.170835
a57	0.0389996	0.038715	0.0613168	0.082269	0.115485	0.163076	0.173991	0.167034	0.159114
a87	0.00406567	0.00441458	0.00909846	0.0152494	0.033284	0.08301	0.169573	0.294939	0.386366
</S>	0.002442	0.00273163	0.00623574	0.0100598	0.0225656	0.0528992	0.124957	0.317308	0.460802
