 	les	fils	de	raphia	se	sont	défaits	</S>
a66	0.227101	0.181433	0.132419	0.12147	0.150791	0.109187	0.0548471	0.0227511
a87	0.162801	0.105309	0.145447	0.197451	0.161324	0.0977184	0.0627335	0.0672169
a10	0.234966	0.132565	0.129247	0.145625	0.102358	0.0902315	0.09989	0.0651176
a97	0.287172	0.170431	0.163716	0.166617	0.0836914	0.0532295	0.0411263	0.0340164
a99	0.275869	0.159483	0.151699	0.162729	0.0881409	0.0610775	0.0503061	0.0506957
a83	0.304718	0.181781	0.143898	0.148192	0.0801645	0.0558098	0.0447488	0.0406881
a24	0.239235	0.226814	0.178154	0.131308	0.0831866	0.06063	0.0482403	0.0324318
a62	0.260535	0.279958	0.20147	0.129979	0.0664656	0.0347931	0.0183144	0.00848542
a96	0.285384	0.307565	0.193147	0.11591	0.0534321	0.0246334	0.0128146	0.00711321
a25	0.245027	0.304096	0.190129	0.11998	0.0660297	0.0388113	0.0227286	0.0131985
a92	0.228276	0.28409	0.192078	0.150378	0.0798699	0.0375326	0.0162984	0.0114774
a25	0.205818	0.256359	0.20374	0.175635	0.0937196	0.0389791	0.0143776	0.0113715
a69	0.113526	0.178843	0.174132	0.196281	0.148063	0.0854196	0.0500626	0.0536723
a44	0.0998885	0.149815	0.155927	0.195063	0.156534	0.100224	0.067448	0.0751009
a98	0.079668	0.101245	0.129531	0.190761	0.196022	0.135377	0.0837005	0.0836963
a85	0.0504209	0.0677702	0.0859549	0.14708	0.170289	0.157179	0.134339	0.186967
a41	0.0477258	0.0588376	0.0777366	0.141468	0.173577	0.165648	0.151	0.184007
a21	0.0546345	0.058267	0.0782831	0.130398	0.171356	0.167	0.158474	0.181587
a61	0.0430171	0.0421351	0.0561059	0.104492	0.173892	0.207548	0.179752	0.193058
a62	0.0266928	0.0217276	0.0262849	0.0495675	0.102562	0.184771	0.301263	0.287132
a61	0.0258147	0.0193805	0.0206818	0.0352614	0.0689739	0.126396	0.367973	0.335519
a43	0.0158337	0.012043	0.0135619	0.022377	0.0441609	0.091325	0.344209	0.456489
a96	0.00504863	0.00417199	0.0050224	0.0100095	0.0273351	0.054827	0.286662	0.606924
a43	0.00249873	0.00228776	0.00305694	0.00671786	0.0202867	0.0425129	0.243484	0.679156
a0	0.00246924	0.0023337	0.00312303	0.00634399	0.0195971	0.0414859	0.209001	0.715646
a75	0.00299068	0.00268645	0.00354957	0.00599506	0.0210245	0.0499072	0.237618	0.676228
a6	0.00315764	0.00283268	0.00358475	0.00850842	0.0245527	0.0411071	0.156205	0.760051
a36	0.001412	0.00116638	0.00146817	0.0036954	0.0124138	0.0270997	0.131038	0.821706
a26	0.00406997	0.00332227	0.0043908	0.0075716	0.021193	0.0436469	0.180865	0.734941
a30	0.0598791	0.0386678	0.0361782	0.0441617	0.062396	0.0890943	0.196593	0.47303
a97	0.116971	0.0567183	0.0470051	0.0529628	0.0561094	0.0733239	0.189958	0.406952
a3	0.169205	0.083966	0.0651858	0.06481	0.0740001	0.0865288	0.17724	0.279064
a97	0.128357	0.081798	0.0648579	0.0588152	0.0853227	0.120939	0.200723	0.259187
</S>	0.109862	0.0683627	0.0601286	0.0812705	0.115409	0.131558	0.171165	0.262246
