 	son	travail	est	achevé	il	peut	partir	</S>
a87	0.293875	0.162176	0.0891818	0.0939459	0.0664986	0.0852315	0.103838	0.105253
a23	0.148575	0.0937981	0.0843264	0.107264	0.114098	0.13918	0.139362	0.173397
a24	0.264439	0.177086	0.142788	0.113284	0.0616685	0.0647983	0.0693058	0.106632
a43	0.461471	0.253958	0.165443	0.0798744	0.0212835	0.0075578	0.00484833	0.00556358
a75	0.533824	0.27095	0.113967	0.042752	0.0161827	0.00838897	0.00631337	0.00762134
a35	0.485845	0.275545	0.120431	0.056598	0.0273813	0.0133991	0.00983574	0.0109639
a14	0.383411	0.273344	0.163889	0.0892967	0.0420087	0.0192962	0.0139413	0.0148129
a35	0.267265	0.253948	0.214603	0.137844	0.0634358	0.0278162	0.017948	0.0171398
a30	0.212045	0.256879	0.231776	0.157109	0.071508	0.0305533	0.019839	0.0202905
a73	0.119247	0.191083	0.224953	0.205024	0.119307	0.0601712	0.0394597	0.0407562
a76	0.105191	0.175165	0.210895	0.214293	0.130821	0.0692692	0.0449814	0.0493846
a14	0.10197	0.158157	0.217037	0.239714	0.126225	0.0720855	0.0451219	0.0396887
a30	0.128813	0.177125	0.195069	0.203233	0.124825	0.0776223	0.0490988	0.0442147
a2	0.0822497	0.122938	0.133842	0.183237	0.17875	0.13391	0.078541	0.0865311
a57	0.068029	0.0837483	0.100664	0.125995	0.128476	0.158371	0.135923	0.198794
a38	0.063823	0.0839138	0.0985499	0.139433	0.15318	0.163615	0.132872	0.164613
a24	0.0834951	0.119567	0.135984	0.182606	0.159432	0.131138	0.090983	0.0967941
a98	0.0482774	0.0635073	0.0787864	0.135987	0.149217	0.191192	0.170537	0.162496
a62	0.0370411	0.0470215	0.0531217	0.0845496	0.124372	0.224456	0.191522	0.237916
a43	0.0274201	0.0278478	0.0314845	0.0411921	0.0549539	0.168782	0.267488	0.380832
a0	0.0202844	0.0188177	0.0194033	0.0292306	0.0453845	0.173962	0.288011	0.404907
a21	0.0178298	0.0171712	0.018588	0.0310541	0.0495851	0.176696	0.276476	0.412599
a14	0.0159893	0.0186287	0.0220573	0.0323762	0.0571672	0.167688	0.285085	0.401007
a30	0.0176657	0.0246273	0.0259975	0.0411967	0.0603693	0.173455	0.26882	0.387869
a14	0.0114777	0.0127828	0.0113788	0.0182444	0.0310279	0.139512	0.301188	0.474389
a92	0.00927121	0.0103936	0.0107384	0.0172414	0.0322131	0.136601	0.29621	0.487331
a34	0.0116391	0.0163091	0.0201576	0.0309075	0.0450169	0.13758	0.274326	0.464063
a47	0.0059081	0.00896864	0.0121728	0.0218941	0.0314506	0.102591	0.253479	0.563536
a35	0.00512978	0.00796518	0.0120326	0.0227883	0.0317871	0.105878	0.262707	0.551713
a14	0.00724553	0.00933889	0.0123344	0.0199599	0.0267384	0.092091	0.250638	0.581654
a35	0.00428251	0.00593984	0.00847549	0.0153401	0.0214437	0.0888065	0.259977	0.595734
a75	0.00581654	0.00703526	0.00907077	0.0168033	0.0233654	0.0891147	0.257861	0.590933
a35	0.00670214	0.00709759	0.00820458	0.0138564	0.0233317	0.0943894	0.268123	0.578295
a94	0.00443408	0.00515798	0.00650477	0.0125161	0.0185447	0.0788381	0.243817	0.630188
a76	0.00642581	0.00714965	0.0080622	0.0155271	0.0250335	0.0982693	0.264714	0.574819
a90	0.00466549	0.00547058	0.00641275	0.0119861	0.0224009	0.100254	0.292243	0.556567
a38	0.0025624	0.00417419	0.00746207	0.0158495	0.0202503	0.0839865	0.247855	0.61786
a90	0.00636649	0.00772924	0.00962728	0.0188206	0.0266763	0.0963853	0.248176	0.586218
a20	0.00575451	0.00639844	0.00681038	0.0127268	0.0211261	0.0923801	0.276509	0.578294
a84	0.00828919	0.0101756	0.0105071	0.0205481	0.0328829	0.127019	0.278837	0.511741
a57	0.0198918	0.0237121	0.0175794	0.0331292	0.0523269	0.152257	0.291444	0.40966
a87	0.0204001	0.0325232	0.0257163	0.044607	0.0664734	0.154738	0.28421	0.371333
</S>	0.0461583	0.0566922	0.0376793	0.0410709	0.0615358	0.159808	0.271092	0.325964
