 	parmi	tes	dix	femmes	laquelle	sera	baisée	aujourd'	hui	</S>
a66	0.230188	0.141355	0.17405	0.150647	0.15849	0.0815466	0.0314705	0.0128525	0.00907053	0.0103301
a87	0.296845	0.235884	0.114663	0.0833389	0.103841	0.0696175	0.0283954	0.0200582	0.019893	0.027464
a23	0.542947	0.236574	0.0805715	0.0333958	0.0248427	0.0212701	0.0127244	0.010997	0.0141647	0.0225125
a10	0.581058	0.24022	0.0654053	0.0231908	0.0224394	0.020402	0.00911984	0.00768907	0.0110191	0.0194566
a54	0.465057	0.240721	0.10886	0.0400216	0.0418735	0.0353429	0.0183255	0.0147856	0.0154181	0.019595
a36	0.345978	0.235517	0.121002	0.0719136	0.0455255	0.0322602	0.0210288	0.0306748	0.0395977	0.0565031
a7	0.254356	0.285678	0.192507	0.0810827	0.0681794	0.0458727	0.0207355	0.0135819	0.0146851	0.0233216
a54	0.170772	0.231553	0.214985	0.115543	0.0980212	0.0640801	0.0362261	0.0230345	0.019586	0.0261997
a47	0.0641879	0.120503	0.173898	0.147602	0.134851	0.0917383	0.0640578	0.056555	0.0618197	0.0847865
a0	0.0644726	0.129117	0.212947	0.16603	0.156856	0.081294	0.0435224	0.0350276	0.0437883	0.0669437
a54	0.0724367	0.129778	0.213072	0.17266	0.155566	0.0798134	0.0416146	0.0334634	0.0410183	0.060577
a47	0.0303375	0.081267	0.183118	0.203387	0.198452	0.0940478	0.0409474	0.0371446	0.052709	0.0785884
a37	0.0436819	0.0873947	0.174195	0.203618	0.205857	0.0973669	0.0344474	0.0289405	0.0472054	0.0772932
a56	0.0316574	0.0579465	0.152089	0.219346	0.216669	0.11118	0.0409995	0.034141	0.0520227	0.0839489
a44	0.0269712	0.0480788	0.121955	0.220782	0.241612	0.141777	0.0570208	0.0393341	0.0450887	0.0573806
a43	0.0118708	0.020106	0.0577809	0.17142	0.244412	0.197863	0.0873045	0.057978	0.0651586	0.0861072
a34	0.00683681	0.0109841	0.0322993	0.114795	0.211392	0.25129	0.123437	0.0710344	0.0753468	0.102585
a56	0.0068221	0.00989189	0.0253135	0.100691	0.196206	0.259157	0.14001	0.0805548	0.0782296	0.103124
a61	0.00647369	0.00867476	0.0198207	0.0726737	0.150968	0.240675	0.170004	0.110632	0.0998909	0.120188
a83	0.00437562	0.00578712	0.0133157	0.0489667	0.118113	0.253054	0.207049	0.121135	0.101001	0.127202
a9	0.00394629	0.00503235	0.0115357	0.0325477	0.079208	0.237965	0.226026	0.140833	0.117528	0.145378
a99	0.00678919	0.00799534	0.0157386	0.0391874	0.0854394	0.259557	0.228683	0.127214	0.0993883	0.130007
a97	0.0146267	0.0127649	0.0174797	0.0339991	0.0591154	0.193761	0.224909	0.13825	0.126746	0.178348
a30	0.0331926	0.0202719	0.0198077	0.0460443	0.0842124	0.193077	0.192885	0.131161	0.12342	0.155928
a13	0.06822	0.0251708	0.0155154	0.0368171	0.0642936	0.146256	0.165602	0.136406	0.145531	0.196189
a38	0.0352889	0.0140433	0.00916365	0.023626	0.0464258	0.111255	0.1562	0.16743	0.192497	0.24407
a93	0.00396254	0.00237609	0.00234023	0.00857533	0.0234224	0.0559085	0.095653	0.158927	0.274444	0.374391
a56	0.00128359	0.00135808	0.00231968	0.0112453	0.0285832	0.0457242	0.0901573	0.158567	0.278228	0.382534
a75	0.0013949	0.00152901	0.00265617	0.0100968	0.0276019	0.0437653	0.0867231	0.15825	0.284432	0.383551
a96	0.000673695	0.00112097	0.00291085	0.0148307	0.0285128	0.0596041	0.109649	0.168298	0.262244	0.352156
a62	0.000520847	0.000617667	0.00127516	0.00501542	0.0159592	0.0391351	0.0873212	0.151296	0.290819	0.40804
a83	0.000969996	0.00101142	0.00158678	0.00605343	0.0185966	0.059956	0.133664	0.190436	0.265113	0.322613
a98	0.000432167	0.000408016	0.000730937	0.00255842	0.00666367	0.0309216	0.0851648	0.153661	0.291147	0.428312
a47	9.93003e-05	0.000139124	0.000289618	0.0013052	0.00298026	0.0151696	0.04011	0.100962	0.301853	0.537092
a79	0.000134589	0.000152696	0.000253493	0.00126779	0.00307088	0.0140988	0.0361389	0.101961	0.323669	0.519253
a6	0.000261453	0.000256011	0.0004208	0.00158148	0.00343448	0.0154665	0.0331008	0.0811869	0.304778	0.559513
a37	0.000434871	0.000346653	0.000382927	0.00108002	0.00163561	0.009864	0.0260329	0.0740964	0.312079	0.574048
a96	0.000250411	0.00020737	0.000264805	0.000697762	0.000949142	0.00562707	0.0183669	0.0593574	0.289906	0.624373
a83	0.000274464	0.000214808	0.000282639	0.00075816	0.00113691	0.00698817	0.0256116	0.0705616	0.285383	0.608788
a75	0.000340231	0.000284275	0.00037672	0.00116552	0.0019504	0.0088747	0.0332312	0.0885823	0.298287	0.566908
a18	9.15983e-05	8.56212e-05	0.000114388	0.000359357	0.000495229	0.00325177	0.0170282	0.0649263	0.281759	0.631889
a27	0.00209931	0.00148188	0.00144091	0.00408033	0.00602155	0.0142006	0.044949	0.113725	0.314238	0.497764
a9	0.0165633	0.00951125	0.00786072	0.0164086	0.0218562	0.0284397	0.0707422	0.155846	0.294881	0.377891
a87	0.121513	0.0462857	0.0294007	0.0392014	0.0410671	0.0454421	0.0880914	0.143507	0.20559	0.239901
a23	0.217365	0.0845431	0.0451842	0.0527399	0.0560631	0.0709611	0.0998452	0.104326	0.127116	0.141856
a87	0.0964295	0.039372	0.0112184	0.0106273	0.00878635	0.0157155	0.0372843	0.0933774	0.266877	0.420313
a23	0.0337726	0.015991	0.00555983	0.00732325	0.00872258	0.0164431	0.0270059	0.0656261	0.249471	0.570085
a3	0.0919308	0.0452393	0.0150511	0.0151522	0.016004	0.0259226	0.0423085	0.0847017	0.239315	0.424375
a97	0.0405859	0.0239158	0.0100128	0.0144392	0.0154651	0.0217642	0.0347603	0.0756507	0.242791	0.520615
a3	0.0991044	0.0589788	0.029932	0.0386776	0.0369035	0.038094	0.0448569	0.0745469	0.19604	0.382865
a87	0.152731	0.0988001	0.0476637	0.0556612	0.0593314	0.0508283	0.0451048	0.0586417	0.144346	0.286892
a23	0.226085	0.126769	0.0697194	0.0763839	0.0752973	0.0564963	0.041627	0.0442829	0.0960634	0.187275
a87	0.0618545	0.0466723	0.0190406	0.0243118	0.0239725	0.0207393	0.0299553	0.0784533	0.241919	0.453082
a97	0.0565309	0.0311325	0.0137542	0.0158867	0.0155856	0.0168592	0.0259863	0.0681187	0.240297	0.515849
a87	0.149458	0.0790306	0.0469156	0.0504371	0.0438609	0.0374969	0.0365697	0.0587657	0.161082	0.336383
a23	0.235329	0.122169	0.0635914	0.0624288	0.0526256	0.0392609	0.0342935	0.0470215	0.114883	0.228397
a10	0.0735267	0.0399172	0.0197348	0.0274759	0.0278828	0.0246164	0.0337072	0.086757	0.245055	0.421327
a99	0.0446434	0.026632	0.0262818	0.0369123	0.0321895	0.0262525	0.0350736	0.0885492	0.241033	0.442433
a82	0.0676827	0.0367585	0.0333355	0.0456007	0.0400499	0.0315042	0.0384295	0.0873367	0.220983	0.39832
</S>	0.11158	0.054903	0.0493096	0.0613783	0.0495214	0.0417528	0.0411002	0.0745012	0.180628	0.335326
