 	le	bateau	remonte	le	fleuve	</S>
a23	0.639328	0.0923995	0.0314338	0.0506672	0.0748076	0.111364
a40	0.699083	0.114296	0.0287889	0.0359166	0.0447278	0.0771879
a73	0.452788	0.215307	0.0992919	0.0682222	0.0690263	0.0953651
a0	0.507504	0.314389	0.103361	0.0362248	0.0203862	0.0181351
a11	0.332559	0.289493	0.155909	0.0903511	0.0682256	0.0634621
a90	0.149701	0.170085	0.195085	0.168019	0.163451	0.15366
a15	0.0802189	0.108073	0.191989	0.20433	0.215336	0.200053
a94	0.0479425	0.0729639	0.168676	0.215902	0.248495	0.24602
a15	0.0222068	0.0329372	0.104391	0.208016	0.292182	0.340266
a47	0.0116365	0.0196392	0.0911011	0.212477	0.301298	0.363848
a37	0.0072922	0.0139237	0.0784483	0.197557	0.311814	0.390964
a6	0.00477849	0.00954364	0.0503368	0.142915	0.280454	0.511972
a37	0.00247247	0.00640141	0.0525382	0.156247	0.307939	0.474402
a7	0.0016941	0.00486795	0.0492595	0.164241	0.313326	0.466611
a26	0.00129182	0.0044895	0.0443254	0.133646	0.273059	0.543189
a57	0.0107832	0.0113305	0.0442415	0.141779	0.285765	0.5061
a87	0.089686	0.0652822	0.0842814	0.142555	0.245368	0.372827
a23	0.140424	0.114845	0.135427	0.166428	0.207921	0.234955
a87	0.0572343	0.0775482	0.13993	0.201642	0.252583	0.271062
</S>	0.0152712	0.0264027	0.0664138	0.187139	0.329156	0.375617
