 	il	a	adopté	le	fils	de	son	frère	</S>
a23	0.335279	0.190972	0.117102	0.0541797	0.0430708	0.0447537	0.0526756	0.0715471	0.090419
a10	0.190623	0.112243	0.104413	0.0853044	0.077212	0.0730533	0.0892089	0.117292	0.150651
a87	0.107391	0.0979985	0.107746	0.0793541	0.0667135	0.0667983	0.100357	0.155807	0.217835
a23	0.101542	0.0774833	0.0958191	0.106727	0.101624	0.09908	0.123606	0.13459	0.159529
a10	0.124652	0.110084	0.11912	0.0968388	0.0742319	0.0782656	0.102017	0.128662	0.166129
a57	0.254781	0.254363	0.183311	0.0775107	0.0432456	0.0385104	0.0407917	0.0466844	0.0608023
a87	0.209428	0.22183	0.16776	0.0779945	0.0408237	0.0385863	0.0559614	0.0777257	0.10989
a23	0.196143	0.168278	0.145391	0.0943152	0.0585054	0.0501203	0.0659516	0.0927096	0.128585
a79	0.220125	0.238351	0.190049	0.0755149	0.0376649	0.0351167	0.0449067	0.0658972	0.0923747
a20	0.333753	0.273311	0.187986	0.0832508	0.0392578	0.0230807	0.0191299	0.0183149	0.0219154
a30	0.332775	0.251509	0.192738	0.107898	0.054254	0.0264694	0.014448	0.0099408	0.00996808
a44	0.247722	0.204736	0.198711	0.147605	0.0915023	0.0511718	0.0272897	0.0165562	0.0147072
a38	0.234545	0.196826	0.212216	0.166014	0.100097	0.0471189	0.0209838	0.011973	0.0102264
a41	0.203297	0.179846	0.211234	0.180482	0.115641	0.0560745	0.0253861	0.0149767	0.0130637
a32	0.177447	0.179965	0.219378	0.189588	0.128024	0.0577532	0.0231993	0.0132498	0.0113954
a88	0.139597	0.166479	0.223992	0.205501	0.142924	0.0654002	0.025627	0.0159384	0.0145405
a24	0.0936373	0.118748	0.182381	0.214492	0.188043	0.108522	0.0432103	0.0268396	0.0241257
a25	0.0683742	0.094389	0.158733	0.191773	0.186513	0.143429	0.0721022	0.0448755	0.0398108
a87	0.0497983	0.0653647	0.0907035	0.140039	0.187596	0.155008	0.0983055	0.0987581	0.114427
a23	0.0753679	0.109947	0.119578	0.140964	0.125164	0.11822	0.102854	0.0928898	0.115014
a24	0.0578466	0.085318	0.102948	0.153546	0.144746	0.129376	0.103294	0.0981831	0.124743
a32	0.113926	0.121157	0.155756	0.184772	0.154995	0.111187	0.0700363	0.0464254	0.0417447
a24	0.0799621	0.0863591	0.111527	0.161669	0.169848	0.146764	0.0999343	0.0744693	0.0694682
a76	0.0655828	0.078733	0.113784	0.166057	0.172055	0.146795	0.0977579	0.0803192	0.0789161
a20	0.0751921	0.0819421	0.109257	0.15897	0.180223	0.127177	0.0843528	0.0898762	0.0930101
a84	0.0529986	0.0628043	0.0892332	0.118836	0.142018	0.132114	0.108375	0.134802	0.158819
a87	0.0194311	0.0258052	0.038062	0.0679284	0.102583	0.142227	0.161924	0.19672	0.245319
a23	0.0239033	0.0387488	0.0442793	0.0716456	0.0864977	0.109021	0.137023	0.194339	0.294542
a35	0.0131327	0.0189957	0.0239508	0.0497607	0.0712432	0.104428	0.147003	0.225394	0.346092
a14	0.0660781	0.0698524	0.0851424	0.10627	0.106971	0.100615	0.109899	0.151898	0.203275
a35	0.0396391	0.0423107	0.0521948	0.06736	0.0927534	0.116757	0.13322	0.187502	0.268262
a76	0.0181668	0.0226701	0.0303022	0.0400398	0.0529674	0.0884617	0.141642	0.248533	0.357217
a14	0.016246	0.0195615	0.0246918	0.0328721	0.0476997	0.09248	0.157151	0.252157	0.357142
a35	0.0106821	0.0133312	0.0170687	0.0226378	0.0369494	0.0784497	0.149178	0.280796	0.390907
a41	0.00705782	0.00916239	0.0126379	0.0185666	0.0277533	0.0577322	0.140686	0.289308	0.437097
a47	0.0040428	0.00541842	0.00736399	0.0121838	0.0211033	0.0507108	0.13614	0.302248	0.460789
a24	0.00413724	0.00589876	0.00881159	0.0136719	0.020372	0.0395061	0.111261	0.30309	0.493251
a75	0.00255173	0.00350548	0.0056815	0.0111021	0.0186745	0.034667	0.0945763	0.29222	0.537022
a56	0.00668556	0.00979802	0.0138435	0.0206754	0.0272541	0.0494782	0.128852	0.296752	0.446662
a66	0.00816855	0.0104719	0.0143916	0.0244066	0.034009	0.0518873	0.111208	0.279191	0.466266
a11	0.00470931	0.00508715	0.00703593	0.0143706	0.0238063	0.0451094	0.108977	0.29709	0.493814
a24	0.0055025	0.00591318	0.00777561	0.0143505	0.0232556	0.0453614	0.111837	0.295696	0.490308
a62	0.00622392	0.00625519	0.00798347	0.0142373	0.0251055	0.0487931	0.110275	0.289979	0.491148
a96	0.00482673	0.00550342	0.00716513	0.0112037	0.0177358	0.0372064	0.096362	0.288709	0.531288
a41	0.00393414	0.00456849	0.00601087	0.0107147	0.0189906	0.0399431	0.100831	0.297914	0.517093
a14	0.00300998	0.00321633	0.00445884	0.00915621	0.0169043	0.0360775	0.0984998	0.304011	0.524666
a73	0.00358983	0.00491716	0.0073074	0.0143987	0.0222998	0.0407408	0.104758	0.287526	0.514462
a76	0.00795629	0.0103375	0.0135446	0.0235	0.0350518	0.0571066	0.11576	0.281715	0.455028
a20	0.00614966	0.00756848	0.0112203	0.0209246	0.031796	0.05799	0.130738	0.292233	0.44138
a84	0.00543727	0.00612654	0.00939914	0.0196877	0.0325842	0.0580542	0.125217	0.284537	0.458957
a87	0.00125295	0.00152427	0.00174344	0.00460935	0.0124944	0.0372863	0.125486	0.31354	0.502063
a57	0.0443276	0.026297	0.0176886	0.0262006	0.0391136	0.0738979	0.149742	0.261356	0.361376
a87	0.0723711	0.0403422	0.0248524	0.0319962	0.046004	0.0882505	0.169833	0.238383	0.287968
