 	mon	mari	est	parti	à	la	pêche	</S>
a66	0.419168	0.201419	0.117132	0.0878432	0.0811046	0.0507273	0.0241516	0.0184544
a87	0.317359	0.193632	0.139785	0.114093	0.0901313	0.0634201	0.0413907	0.0401887
a23	0.439283	0.274237	0.118468	0.0564459	0.0350851	0.0249142	0.0225308	0.0290368
a93	0.390523	0.249769	0.120086	0.0597775	0.0410537	0.0338515	0.0413581	0.0635815
a34	0.398341	0.261945	0.139044	0.0650108	0.0501917	0.0333503	0.0254229	0.0266944
a79	0.300964	0.283842	0.212054	0.0970812	0.0554832	0.0264153	0.0132511	0.0109093
a85	0.159201	0.218527	0.248112	0.169365	0.112793	0.0508046	0.0226217	0.0185746
a6	0.112833	0.167957	0.239689	0.205497	0.150268	0.0689973	0.0308833	0.0238768
a5	0.0849437	0.123652	0.205839	0.216842	0.172868	0.0869083	0.0557001	0.0532468
a47	0.0827226	0.101146	0.162044	0.213015	0.203691	0.111441	0.0670663	0.0588738
a75	0.0741778	0.0834992	0.118282	0.181521	0.207889	0.145256	0.0975812	0.0917937
a25	0.0301288	0.0422234	0.081316	0.174731	0.224843	0.186374	0.14015	0.120232
a79	0.0122967	0.0196087	0.0382927	0.107378	0.182801	0.242467	0.197896	0.19926
a69	0.00519953	0.00663082	0.0120675	0.0373595	0.0860593	0.185453	0.296789	0.370441
a58	0.00498185	0.00531491	0.00739818	0.0203964	0.0501039	0.1413	0.302339	0.468166
a82	0.00110742	0.001237	0.00174961	0.0054824	0.0157553	0.060045	0.273025	0.641598
a87	0.00324706	0.00340742	0.00436554	0.00842578	0.0166017	0.0389012	0.20003	0.725021
a23	0.152962	0.0820424	0.0540385	0.0572799	0.0678978	0.0871951	0.185412	0.313172
a97	0.0592951	0.0321934	0.0198263	0.0262264	0.0380911	0.0862494	0.284144	0.453974
</S>	0.00795487	0.00559205	0.00562692	0.0130281	0.0261881	0.0895663	0.313217	0.538826
