 	celle-ci	est	la	chemise	de	mon	père	celle-là	à	leur	oncle	quelle	est	la	votre	</S>
a66	0.272526	0.167581	0.0966975	0.0645271	0.0397471	0.033723	0.0336763	0.0324663	0.0318318	0.0303181	0.0340508	0.0313991	0.0293206	0.030315	0.0349017	0.0369194
a87	0.364004	0.232331	0.104873	0.0372339	0.021063	0.0130251	0.0101591	0.0114764	0.0150367	0.0165652	0.0220248	0.0245282	0.0251962	0.0301813	0.0365343	0.0357681
a23	0.364856	0.220591	0.132294	0.0541668	0.0230477	0.0118465	0.00927655	0.00945175	0.0125873	0.0147867	0.0203793	0.0220145	0.0230771	0.0256426	0.0285904	0.0273924
a38	0.240534	0.15613	0.09217	0.0381078	0.0271761	0.0213317	0.0200023	0.023652	0.0361144	0.0395042	0.046905	0.0452348	0.0475083	0.0556148	0.0523478	0.0576674
a94	0.144001	0.100953	0.0705146	0.0386383	0.0311523	0.0243568	0.0223654	0.0243183	0.038201	0.0403826	0.0538909	0.0643207	0.0645837	0.0862962	0.0835748	0.11245
a4	0.250196	0.181193	0.127614	0.08069	0.0591275	0.0395695	0.0277342	0.0186228	0.0205167	0.0183827	0.0177069	0.0188339	0.0202907	0.0273983	0.0349531	0.0571706
a58	0.186343	0.173596	0.149877	0.129882	0.0867467	0.0472757	0.0284345	0.0204022	0.0226856	0.0219552	0.020035	0.0166616	0.016085	0.0181921	0.0239516	0.0378771
a54	0.12092	0.132947	0.13765	0.136045	0.0978606	0.0584675	0.0383904	0.0299459	0.0333574	0.0322488	0.0284847	0.0258681	0.0242004	0.0260036	0.0304992	0.0471117
a6	0.064954	0.0784148	0.0870931	0.124183	0.115202	0.0858603	0.0633884	0.0507155	0.0491599	0.0441708	0.0366989	0.0308571	0.0286326	0.0312567	0.0432123	0.0662004
a37	0.0412283	0.0566564	0.0727613	0.11597	0.114048	0.0980245	0.0711905	0.0563585	0.0474981	0.0432985	0.0374005	0.0318801	0.0298379	0.0341093	0.0516209	0.0981169
a98	0.0515339	0.0695828	0.0951094	0.137597	0.107121	0.0831478	0.0670155	0.0493946	0.0435156	0.0408791	0.0368447	0.0340896	0.0325165	0.0343242	0.0418416	0.0754866
a47	0.0194525	0.0308327	0.0520563	0.142165	0.175137	0.148251	0.0911946	0.0567125	0.0438854	0.0376338	0.031095	0.0242952	0.022607	0.0232016	0.0351463	0.0663348
a36	0.0109223	0.0161538	0.0307337	0.0945844	0.125418	0.129029	0.110673	0.0836985	0.0626632	0.0542418	0.0420574	0.0317764	0.0297938	0.0319604	0.0520315	0.094263
a85	0.0100598	0.0112986	0.0189092	0.0612173	0.0811004	0.090832	0.0965086	0.0794584	0.0677793	0.0702092	0.0604611	0.0474622	0.0441238	0.0462046	0.0718138	0.142562
a47	0.00378436	0.00477978	0.00989475	0.0454154	0.0811893	0.108355	0.107095	0.0931871	0.0769227	0.0713142	0.0632265	0.0532813	0.0510922	0.0503503	0.0701571	0.109955
a6	0.00377536	0.00463232	0.00846494	0.0312752	0.0549949	0.0825031	0.113495	0.100531	0.086865	0.0813138	0.0716686	0.059196	0.0548728	0.053713	0.0714184	0.12128
a37	0.00212505	0.00214244	0.00344613	0.0150127	0.0366883	0.0719328	0.108512	0.112482	0.0966919	0.0915641	0.0787368	0.0636187	0.0589373	0.0542686	0.0761742	0.127667
a54	0.00284786	0.00286861	0.00411012	0.0150344	0.0313773	0.0627527	0.10414	0.111225	0.0975474	0.0957786	0.0903698	0.0814187	0.0758747	0.061227	0.0629797	0.100448
a36	0.00187497	0.00170323	0.00234412	0.00742614	0.0165762	0.0339909	0.0594583	0.0883692	0.0933574	0.117642	0.109483	0.0930101	0.0877273	0.0736809	0.0851343	0.128222
a2	0.00372939	0.00334644	0.00383771	0.00891046	0.0167119	0.0328938	0.0607625	0.0919826	0.0901039	0.115966	0.11446	0.0892976	0.0746051	0.0611562	0.0807149	0.151522
a57	0.0279537	0.0269195	0.0256293	0.0414622	0.0476977	0.0553557	0.0866106	0.109325	0.0916842	0.103366	0.0938499	0.070168	0.0583089	0.0401676	0.0481583	0.0733442
a87	0.0636035	0.0491724	0.0421343	0.0588027	0.0580329	0.0621526	0.0810449	0.0992371	0.0901092	0.0895732	0.0817667	0.0602734	0.0469888	0.0300615	0.0321037	0.054943
a23	0.0589587	0.0363747	0.0317759	0.0490886	0.0651154	0.0907526	0.0927013	0.0926235	0.0918876	0.0903288	0.0758731	0.054335	0.0433686	0.0288259	0.0345613	0.0634289
a87	0.0218221	0.012547	0.0114338	0.0198946	0.0402841	0.0791868	0.0939366	0.109519	0.102265	0.103601	0.0833523	0.0571547	0.0482116	0.0389933	0.060897	0.116901
a97	0.00863168	0.00576011	0.00670182	0.015578	0.0364743	0.0805731	0.100724	0.116085	0.100629	0.0987491	0.0782298	0.056872	0.0492282	0.0411219	0.0691565	0.135485
a99	0.0131566	0.00904808	0.0102754	0.0197646	0.0385299	0.0706247	0.0796632	0.100643	0.0968761	0.0962648	0.0866658	0.0706589	0.0601184	0.0575016	0.0889173	0.101292
a97	0.00731538	0.00543345	0.00683133	0.0148033	0.0318815	0.0592747	0.0652471	0.085984	0.0839755	0.0787819	0.07265	0.0725775	0.0667023	0.0890018	0.130879	0.128661
a87	0.00913683	0.00712851	0.00831264	0.0156358	0.0282694	0.0471372	0.0566519	0.0776716	0.0891821	0.0957004	0.0918651	0.0994833	0.0888934	0.0983792	0.100464	0.0860889
a23	0.0291757	0.0191498	0.0205226	0.0382426	0.0673595	0.104455	0.0990391	0.098585	0.0904148	0.0817806	0.0734615	0.0701016	0.0639196	0.0567569	0.0478954	0.039141
a83	0.0129451	0.00841199	0.00976156	0.0238481	0.0524295	0.0866359	0.0745424	0.0722892	0.0656576	0.0585513	0.0604592	0.0713512	0.069756	0.0911967	0.122687	0.119477
a35	0.0022888	0.00253652	0.00405098	0.0128295	0.0284847	0.0506293	0.0539261	0.0625392	0.0662693	0.0622409	0.0726739	0.0919462	0.0819691	0.110618	0.139899	0.157098
a76	0.00124496	0.00181975	0.00345371	0.0139524	0.0333523	0.0547193	0.0436176	0.0428053	0.0411701	0.037128	0.0449515	0.0680947	0.073976	0.122237	0.182797	0.23468
a41	0.00306979	0.00414234	0.00718643	0.0304116	0.0553565	0.0663224	0.0514653	0.0551702	0.0500363	0.0466298	0.0494826	0.0608074	0.0638403	0.0875075	0.141692	0.226879
a76	0.000813586	0.00094104	0.00146291	0.00652299	0.014693	0.0253924	0.0252116	0.0313821	0.0314616	0.0344786	0.0407194	0.0536508	0.0563878	0.0865647	0.164565	0.425752
a92	0.00312272	0.00346217	0.0051622	0.0205025	0.0371895	0.0530852	0.0534176	0.0572585	0.0518451	0.0516532	0.0548729	0.0650406	0.0672956	0.0773526	0.12469	0.274049
a75	0.00196298	0.0020641	0.00303619	0.0119442	0.0247171	0.0443872	0.0495493	0.0586477	0.0535512	0.0549193	0.0577771	0.0667133	0.0700444	0.0823094	0.13021	0.288167
a25	0.00300373	0.00309043	0.00440099	0.0155002	0.0299503	0.0524384	0.0591206	0.0684101	0.061014	0.0610781	0.061903	0.0670619	0.0698409	0.0771196	0.117374	0.248694
a92	0.00232052	0.00274927	0.00423846	0.0191891	0.0399346	0.0659664	0.0792199	0.0853794	0.0743403	0.0777517	0.075439	0.0781626	0.0816851	0.0791049	0.091869	0.14265
a25	0.00132436	0.00126359	0.00167161	0.00668379	0.0168462	0.0430685	0.0577262	0.0783934	0.0682619	0.0753849	0.0761144	0.0828308	0.0895417	0.0896012	0.109994	0.201293
a79	0.000864965	0.00083992	0.00106746	0.00389493	0.0108219	0.0301985	0.0537412	0.0858317	0.073421	0.0871138	0.08447	0.0905675	0.0996694	0.0950551	0.110309	0.172133
a98	0.000475973	0.000504921	0.000660532	0.00258534	0.00753218	0.0235507	0.0463592	0.0813196	0.0772706	0.100178	0.0977541	0.101465	0.105267	0.0985751	0.108096	0.148405
a47	0.000476066	0.00047186	0.000566997	0.00182375	0.00494503	0.0142494	0.0297694	0.0611968	0.0628644	0.0920179	0.09077	0.0987853	0.107342	0.105931	0.133205	0.195585
a36	0.000422106	0.00042745	0.000501637	0.00148757	0.00401666	0.01153	0.0248483	0.0575392	0.0603001	0.0887442	0.0856336	0.0937198	0.102458	0.110583	0.148016	0.209772
a2	0.00167542	0.00178407	0.00171532	0.00353224	0.00717152	0.0137833	0.0188675	0.0360264	0.0453224	0.0853643	0.100989	0.107362	0.103467	0.109831	0.141415	0.221694
a57	0.0280808	0.023813	0.0191334	0.0219737	0.0260096	0.0328374	0.0405241	0.0652227	0.0681962	0.0947692	0.0954461	0.0838848	0.078883	0.0731865	0.08846	0.159579
a87	0.0663721	0.0385254	0.0278955	0.0302615	0.0296157	0.031215	0.0379457	0.0574492	0.0578953	0.0726751	0.0718013	0.0663514	0.0658399	0.071509	0.101221	0.173427
