 	les	poissons	se	nourrissent	de	vers	de	terre	</S>
a66	0.463966	0.308196	0.1201	0.0414048	0.0183482	0.0161221	0.0100749	0.0103397	0.0114488
a87	0.321463	0.244557	0.15396	0.116367	0.0475724	0.0358143	0.0217054	0.0260086	0.0325516
a23	0.501699	0.234342	0.0935007	0.0430836	0.0184516	0.0176959	0.0184979	0.0327281	0.0400007
a40	0.397386	0.216277	0.0885663	0.0563062	0.032774	0.034703	0.0393702	0.0564898	0.0781277
a36	0.332708	0.282254	0.174772	0.0807539	0.0377175	0.0227581	0.021988	0.0225088	0.02454
a0	0.226924	0.342891	0.249369	0.114557	0.02876	0.0132709	0.00983467	0.00679496	0.0075978
a75	0.212327	0.323299	0.23202	0.149309	0.044716	0.0140516	0.00955921	0.00688575	0.00783265
a37	0.155758	0.292177	0.269121	0.187363	0.0586871	0.0136276	0.00851775	0.00685522	0.00789271
a98	0.152994	0.218241	0.192417	0.214616	0.112091	0.0393185	0.0246017	0.0208276	0.024893
a47	0.0737789	0.178236	0.24183	0.261012	0.14074	0.0437769	0.0238809	0.0177647	0.01898
a36	0.0329229	0.0636147	0.110146	0.196115	0.190384	0.116673	0.0904133	0.0893168	0.110415
a75	0.0174294	0.0221388	0.0318825	0.070959	0.133287	0.158488	0.164946	0.1889	0.211969
a85	0.01793	0.0200041	0.0343407	0.0815982	0.160487	0.209394	0.167018	0.154571	0.154657
a47	0.0060899	0.0090534	0.0221171	0.0708028	0.137176	0.199325	0.161468	0.185733	0.208234
a36	0.000737048	0.000963488	0.00256769	0.0118381	0.0357836	0.131552	0.17422	0.285259	0.35708
a15	0.000724945	0.000395887	0.000514937	0.00181721	0.00727964	0.0370246	0.100291	0.333749	0.518203
a7	0.000431851	0.000229617	0.000304626	0.00116299	0.00358591	0.0203882	0.0710011	0.312998	0.589898
a26	0.000568041	0.000326325	0.000451566	0.00179749	0.00457393	0.0203716	0.0658437	0.316202	0.589866
a3	0.0082741	0.00617183	0.00698069	0.0116103	0.0138141	0.0353442	0.0884512	0.296089	0.533264
a87	0.228379	0.150671	0.0822534	0.0553205	0.0522907	0.0628761	0.0684948	0.120978	0.178737
a23	0.281237	0.206841	0.149487	0.0910495	0.0547251	0.054841	0.0424139	0.0526742	0.0667311
a87	0.0679924	0.0430056	0.0289048	0.0263764	0.0304601	0.0819512	0.120736	0.267801	0.332772
</S>	0.012493	0.0077863	0.00775823	0.0132986	0.0219075	0.0690621	0.147136	0.331181	0.389377
