 	notre	association	est	dénommée	tsalakoso	</S>
a66	0.525779	0.216977	0.14377	0.0739502	0.0253241	0.0141997
a87	0.452262	0.173156	0.167542	0.111813	0.0549501	0.040277
a23	0.43053	0.303994	0.139922	0.0579998	0.0310863	0.0364684
a62	0.308669	0.367092	0.173074	0.0815004	0.036658	0.0330068
a12	0.463306	0.29729	0.125361	0.0590261	0.02891	0.026107
a96	0.357353	0.415331	0.139331	0.0532679	0.0197459	0.0149716
a18	0.295983	0.461062	0.139724	0.0586828	0.0229813	0.0215663
a90	0.235289	0.411504	0.159983	0.100398	0.0465865	0.0462401
a98	0.238459	0.412656	0.183318	0.0900975	0.0372012	0.0382682
a85	0.239731	0.406265	0.191419	0.084869	0.037736	0.0399799
a92	0.233993	0.292372	0.166439	0.119975	0.0881618	0.0990592
a6	0.22559	0.257536	0.176148	0.143019	0.0961886	0.101519
a5	0.165173	0.23425	0.208645	0.178694	0.111103	0.102135
a56	0.14126	0.191759	0.212434	0.196152	0.127082	0.131313
a12	0.0704633	0.104333	0.187091	0.268151	0.191548	0.178413
a18	0.0425602	0.064774	0.139627	0.265508	0.254302	0.233228
a20	0.0238002	0.0287301	0.0621443	0.196716	0.32366	0.364949
a90	0.0058811	0.00937027	0.0326663	0.153566	0.369146	0.429371
a94	0.00408911	0.00670518	0.0273497	0.137678	0.387789	0.436389
a90	0.00119327	0.0015039	0.00625658	0.0520247	0.326067	0.612954
a79	0.000702983	0.00091367	0.00335688	0.0278806	0.26341	0.703736
a37	0.00060407	0.000713507	0.00281067	0.0223793	0.251769	0.721724
a56	0.000613331	0.000616105	0.00242232	0.019964	0.226768	0.749616
a75	0.000430581	0.000539952	0.00316295	0.0215628	0.241957	0.732347
a85	0.000141581	0.000206885	0.00129568	0.0120541	0.18885	0.797452
a47	0.000188727	0.000301429	0.00169871	0.0140676	0.18875	0.794994
a36	0.000370672	0.000490315	0.00249935	0.0202732	0.236373	0.739994
a44	0.0115798	0.00910074	0.0227207	0.0787643	0.269215	0.608619
a37	0.0149111	0.0123391	0.0237305	0.072115	0.252723	0.624182
a11	0.00645282	0.0071211	0.0177312	0.0680133	0.269726	0.630955
a27	0.0668003	0.0504721	0.0674699	0.114817	0.241275	0.459165
a10	0.18709	0.0890984	0.0930035	0.117288	0.214661	0.298859
a87	0.286792	0.125953	0.106061	0.110004	0.158339	0.212851
a23	0.203438	0.105208	0.106834	0.128788	0.202847	0.252884
a99	0.0266597	0.015644	0.0336559	0.0814198	0.277976	0.564644
a3	0.0162712	0.010578	0.023462	0.0689237	0.251628	0.629137
</S>	0.0111051	0.00976002	0.0275892	0.083502	0.277972	0.590072
