 	il	y	a	un	bloc	de	pierre	sur	la	route	</S>
a85	0.235338	0.152168	0.104418	0.0872858	0.0847396	0.0971904	0.0776065	0.0494029	0.037306	0.0381161	0.0364279
a87	0.269442	0.13692	0.0896889	0.0725513	0.0924364	0.100612	0.0693828	0.0474267	0.0416909	0.0413728	0.038476
a23	0.166924	0.102268	0.0740212	0.0562458	0.0690031	0.0928061	0.0829523	0.0665155	0.0744859	0.0971374	0.117641
a94	0.200001	0.134107	0.0972895	0.0815127	0.0818538	0.0803598	0.0690603	0.0545283	0.0554223	0.0687925	0.0770728
a66	0.413814	0.233707	0.126037	0.0658986	0.0334918	0.0311065	0.0228376	0.0151205	0.0147579	0.0185781	0.0246512
a61	0.402223	0.229514	0.137873	0.0612572	0.0313236	0.0339739	0.0227333	0.0167604	0.0167327	0.0211453	0.0264634
a66	0.207615	0.16197	0.130033	0.0923333	0.0634404	0.0609946	0.0478974	0.0443934	0.0497765	0.0656469	0.0758998
a76	0.144735	0.125056	0.11662	0.0940162	0.0679932	0.0651303	0.0599094	0.0581482	0.0646627	0.0909323	0.112796
a90	0.14677	0.154002	0.166192	0.13102	0.0811939	0.072003	0.0598539	0.0480203	0.0423327	0.0460454	0.0525668
a4	0.137944	0.153877	0.163608	0.128251	0.0902687	0.078295	0.0607966	0.0477916	0.040676	0.0463324	0.0521593
a57	0.0836464	0.0964072	0.135286	0.129365	0.103602	0.0940668	0.0774149	0.0613337	0.0547279	0.0730135	0.0911367
a38	0.06324	0.0618633	0.0955454	0.100488	0.0936516	0.101144	0.0970689	0.0788316	0.0717979	0.103776	0.132594
a94	0.0302394	0.0272253	0.0595237	0.0945972	0.115443	0.127248	0.122055	0.0935132	0.0788093	0.112434	0.138912
a54	0.0319996	0.0317377	0.0653809	0.099558	0.120486	0.133217	0.126147	0.0943037	0.0740497	0.101929	0.121191
a14	0.0264304	0.0265499	0.054094	0.0931242	0.124132	0.130383	0.139012	0.120451	0.0961739	0.09877	0.0908787
a73	0.0458928	0.0467569	0.0671363	0.0949844	0.123303	0.133709	0.135159	0.107896	0.0822754	0.0837198	0.079167
a94	0.0400281	0.0361373	0.0549681	0.0867179	0.125384	0.132118	0.133295	0.115886	0.0948582	0.0950649	0.0855421
a24	0.0359221	0.0346689	0.0506709	0.0731635	0.126439	0.145336	0.143174	0.116876	0.0860647	0.0955326	0.0921532
a94	0.0229472	0.0209377	0.030314	0.0503456	0.1038	0.134981	0.169643	0.153269	0.110423	0.109636	0.0937039
a71	0.0276143	0.0258775	0.0336501	0.0448764	0.0863545	0.117779	0.155675	0.151564	0.118939	0.129693	0.107977
a38	0.0216161	0.0144065	0.0228967	0.0438285	0.120257	0.152584	0.166516	0.148706	0.110339	0.10739	0.0914602
a75	0.0250725	0.0155014	0.0232047	0.0442917	0.112992	0.13003	0.155609	0.144036	0.114041	0.11705	0.118172
a90	0.0114441	0.00921714	0.016606	0.0299115	0.0803367	0.109201	0.15838	0.161053	0.14484	0.146862	0.132149
a69	0.0134276	0.0132095	0.0228747	0.0361901	0.0821702	0.108794	0.158327	0.161119	0.138579	0.140266	0.125042
a4	0.0103536	0.00910774	0.0186811	0.0382541	0.101152	0.106078	0.14159	0.158189	0.144813	0.142336	0.129445
a57	0.0106743	0.00751851	0.0143397	0.0313999	0.0880698	0.086668	0.10982	0.15145	0.166656	0.175907	0.157497
a82	0.00700693	0.00462565	0.00746519	0.0161936	0.0523967	0.0533357	0.0819172	0.127305	0.167607	0.216732	0.265416
a58	0.00548906	0.0037868	0.00486406	0.00873133	0.0338418	0.0354335	0.0624193	0.106986	0.16144	0.248811	0.328197
a53	0.00551704	0.00365921	0.00443503	0.00720644	0.0272093	0.0314737	0.0581334	0.107122	0.165252	0.258633	0.331358
a4	0.00404887	0.00252337	0.00455983	0.0106216	0.0385742	0.0418464	0.0626358	0.11451	0.170942	0.246866	0.302871
a57	0.00452305	0.00296658	0.00510393	0.0100954	0.0342314	0.041875	0.0637895	0.114877	0.170995	0.257349	0.294195
a3	0.00413455	0.00280353	0.00447895	0.0086454	0.0276742	0.0303497	0.0470905	0.0845262	0.141365	0.263926	0.385006
a87	0.00548881	0.00377249	0.00422353	0.00588012	0.0200308	0.0215091	0.0521862	0.0986752	0.171208	0.293783	0.323242
</S>	0.0211348	0.0140232	0.0119979	0.0142206	0.0412247	0.041054	0.0801942	0.130897	0.179348	0.218511	0.247394
