 	sa	manière	de	réchauffer	le	repas	risque	de	tout	calciner	</S>
a66	0.162449	0.0859296	0.125584	0.141139	0.124816	0.123411	0.113934	0.0624391	0.0301347	0.0172416	0.0129215
a87	0.263844	0.151688	0.120861	0.055983	0.0720543	0.076703	0.0721785	0.0480671	0.036255	0.0428241	0.0595414
a23	0.478347	0.203402	0.097967	0.0349979	0.0349045	0.0281136	0.0282662	0.0173875	0.0150737	0.0197607	0.0417797
a50	0.40655	0.26465	0.140942	0.0368414	0.0357723	0.0213111	0.017977	0.0123526	0.0127718	0.0172831	0.0335487
a83	0.334697	0.210185	0.0950458	0.0264851	0.0282313	0.0197329	0.024208	0.025387	0.0381435	0.0772052	0.120679
a71	0.440491	0.226067	0.075004	0.0191988	0.0230651	0.0198262	0.0205581	0.0278128	0.0378787	0.0530579	0.05704
a83	0.371041	0.27964	0.117275	0.034168	0.0309041	0.0243723	0.0221773	0.0226762	0.0230938	0.0306231	0.0440296
a34	0.216023	0.253298	0.156035	0.0652003	0.0647057	0.0501714	0.0396184	0.0348616	0.0320578	0.0363483	0.0516812
a47	0.18077	0.234557	0.191083	0.106433	0.0929576	0.0630502	0.0437054	0.0270125	0.0192786	0.0170126	0.0241404
a34	0.136464	0.17266	0.177309	0.130733	0.131741	0.0825376	0.0563768	0.0303823	0.0236669	0.0235703	0.0345599
a96	0.109802	0.146384	0.159614	0.137636	0.139511	0.103128	0.0742852	0.0404541	0.0269078	0.0255976	0.0366794
a83	0.0736416	0.111727	0.15704	0.160774	0.16989	0.128814	0.0912312	0.039338	0.0215645	0.0196475	0.0263332
a34	0.0513448	0.0815606	0.138926	0.16884	0.186174	0.143302	0.103359	0.0459178	0.0239036	0.0226147	0.0340574
a98	0.0343266	0.057625	0.126952	0.189925	0.200197	0.164906	0.117947	0.05099	0.0205558	0.0160039	0.0205729
a79	0.0162217	0.027371	0.0759299	0.127366	0.173961	0.214584	0.169304	0.0831332	0.0410221	0.0322118	0.0388951
a98	0.0124912	0.019371	0.0589877	0.137305	0.169811	0.205197	0.172568	0.0798065	0.0405903	0.0434013	0.0604712
a47	0.0089898	0.0144571	0.0509171	0.135595	0.165141	0.20395	0.165223	0.0822244	0.0447223	0.0512631	0.0775175
a7	0.0116503	0.0157532	0.0505871	0.158667	0.163514	0.195844	0.124563	0.057989	0.0331244	0.0560747	0.132233
a37	0.0145317	0.0172475	0.042743	0.171402	0.166726	0.181906	0.121932	0.0554761	0.0317066	0.0555835	0.140747
a70	0.0130318	0.0144114	0.0288329	0.125605	0.140569	0.179617	0.136107	0.077042	0.0461032	0.0717424	0.166938
a62	0.0128373	0.0130514	0.0248031	0.130901	0.13867	0.15744	0.123507	0.0854864	0.0643158	0.0807203	0.168269
a47	0.0124261	0.0135364	0.0269377	0.127804	0.140717	0.155856	0.113558	0.0836431	0.0793673	0.0882961	0.157858
a88	0.0163639	0.0168855	0.0296499	0.115678	0.12303	0.130906	0.103933	0.0749908	0.0748344	0.103203	0.210527
a71	0.00929515	0.00927811	0.0159086	0.0700963	0.0769162	0.08546	0.0758938	0.0603675	0.0827932	0.155686	0.358305
a9	0.019064	0.0196024	0.0280352	0.0790348	0.073036	0.0725084	0.0723887	0.0565632	0.0763349	0.142624	0.360808
a99	0.0301995	0.0249975	0.0361408	0.0862276	0.0793597	0.0896631	0.0908277	0.0801284	0.0951973	0.126293	0.260966
a97	0.0223552	0.0181505	0.0276254	0.0658121	0.066752	0.0799847	0.0816252	0.0841522	0.123452	0.160225	0.269865
a23	0.0343207	0.0229723	0.0343466	0.0808073	0.084398	0.0910426	0.0928547	0.117027	0.135706	0.120995	0.18553
a90	0.0042947	0.00270116	0.00352944	0.00876824	0.014276	0.020009	0.0198893	0.0579951	0.141115	0.290678	0.436744
a92	0.0010216	0.0011157	0.00218153	0.00868678	0.0103885	0.0126327	0.0116683	0.0317025	0.0840814	0.28276	0.553761
a61	0.000755332	0.000960326	0.00275039	0.0147081	0.0174171	0.023625	0.0199744	0.0380004	0.0953763	0.301311	0.485121
a21	0.000553924	0.00066272	0.00236211	0.015824	0.0165772	0.0199943	0.018324	0.0384901	0.0963228	0.255231	0.535657
a85	0.000629695	0.000706887	0.00221456	0.0134928	0.0171591	0.0266255	0.0218982	0.0475516	0.129024	0.289901	0.450797
a47	0.000799241	0.00082032	0.00193137	0.0107293	0.012222	0.0201717	0.0152904	0.0293696	0.0849198	0.272158	0.551588
a7	0.00037816	0.000390183	0.000833373	0.00553151	0.00744586	0.0135968	0.00970556	0.0197192	0.0602611	0.236236	0.645902
a44	0.0019461	0.00146194	0.00176328	0.00663724	0.00667017	0.0108546	0.00856438	0.0154495	0.0479071	0.195534	0.703212
a70	0.00213091	0.00170207	0.00199829	0.00576481	0.00651552	0.010794	0.00967068	0.018852	0.0630797	0.218892	0.6606
a83	0.00150514	0.00133312	0.00220269	0.00773638	0.00796337	0.0113775	0.0110962	0.0205829	0.0730139	0.227449	0.63574
a9	0.00301913	0.00277342	0.00381797	0.00850344	0.00895608	0.0109299	0.0122728	0.0261098	0.0839404	0.243902	0.595775
a10	0.0814797	0.0404919	0.0418584	0.0540362	0.0492127	0.0612611	0.0453666	0.0606543	0.100583	0.163521	0.301535
a87	0.203433	0.0793174	0.0740489	0.0669261	0.05575	0.0650116	0.0506311	0.0520538	0.0725323	0.105118	0.175178
a23	0.168103	0.0838071	0.0786942	0.079812	0.0665851	0.0720704	0.0651786	0.0618587	0.0682223	0.095607	0.160062
a87	0.0711504	0.0328726	0.01732	0.0176137	0.0186138	0.0279458	0.0226314	0.0378691	0.0601894	0.167453	0.52634
</S>	0.0295136	0.0149006	0.0149449	0.027352	0.0310472	0.0485929	0.0342088	0.0410586	0.0587043	0.156537	0.54314
