 	les	hommes	chantonnent	</S>
a66	0.522915	0.294546	0.140312	0.0422278
a87	0.437792	0.300639	0.18957	0.071999
a23	0.668944	0.217919	0.0782643	0.0348727
a87	0.662931	0.207888	0.0771064	0.0520747
a23	0.647027	0.2022	0.0810235	0.0697502
a40	0.515083	0.191459	0.141678	0.151779
a7	0.464575	0.309029	0.162531	0.0638652
a54	0.192733	0.272573	0.348273	0.18642
a47	0.154283	0.271483	0.344544	0.22969
a15	0.10428	0.186572	0.299522	0.409626
a7	0.172659	0.259555	0.243905	0.323882
a69	0.150828	0.175342	0.194654	0.479176
a15	0.110996	0.140296	0.187172	0.561536
a40	0.0751851	0.10123	0.19288	0.630705
a47	0.0785064	0.121231	0.264889	0.535374
a6	0.0245414	0.0556945	0.197655	0.722109
a37	0.0289387	0.0466134	0.18977	0.734678
a92	0.0519644	0.056753	0.175799	0.715483
a56	0.0209563	0.0282476	0.119514	0.831282
a44	0.0199914	0.0311995	0.128499	0.82031
a11	0.0253136	0.0356953	0.12643	0.812561
a62	0.0180336	0.0325017	0.155656	0.793808
a34	0.0153061	0.0337236	0.164058	0.786912
a54	0.0150036	0.0322735	0.156945	0.795778
a7	0.00559916	0.017064	0.122637	0.8547
a84	0.014928	0.0296611	0.154975	0.800436
a10	0.249001	0.147712	0.200979	0.402309
a87	0.41503	0.161441	0.163395	0.260134
a23	0.470615	0.189821	0.148589	0.190975
a87	0.368431	0.163458	0.148514	0.319597
</S>	0.0600712	0.0389688	0.108962	0.791998
