 	l'	éléphant	barrit	</S>
a23	0.763228	0.161966	0.0414083	0.0333983
a13	0.751561	0.172767	0.0391984	0.036474
a38	0.484236	0.278958	0.119757	0.117049
a90	0.592865	0.27995	0.0822345	0.0449512
a15	0.358621	0.372749	0.172241	0.096389
a92	0.392198	0.309738	0.175813	0.12225
a12	0.285582	0.284133	0.224433	0.205851
a24	0.211268	0.223933	0.241399	0.3234
a35	0.0803142	0.110177	0.243423	0.566086
a20	0.0493139	0.0752883	0.202087	0.673311
a73	0.0364486	0.0649381	0.204901	0.693712
a94	0.0168002	0.03943	0.20716	0.736609
a76	0.0130247	0.0288439	0.145474	0.812657
a20	0.0231181	0.0616378	0.22148	0.693764
a58	0.0225548	0.056865	0.227921	0.692659
a84	0.0210626	0.0427994	0.151122	0.785016
a87	0.0310417	0.0631524	0.174646	0.731159
</S>	0.127563	0.172822	0.225683	0.473932
