 	l'	un	de	nos	parents	maternels	est	décédé	à	brazaville	</S>
a66	0.118653	0.123754	0.159776	0.2123	0.163827	0.0996915	0.055714	0.0274562	0.0189217	0.0115834	0.0083221
a87	0.397917	0.292051	0.162405	0.0332582	0.02571	0.0248201	0.0204398	0.0143978	0.0127777	0.00956325	0.00666043
a23	0.388308	0.275	0.145266	0.0410785	0.0382108	0.0344795	0.0246008	0.0193667	0.0132787	0.0105537	0.00985753
a50	0.393519	0.211717	0.0875984	0.0316057	0.0281144	0.0387059	0.030393	0.0405387	0.0485475	0.0407263	0.0485348
a83	0.359664	0.206811	0.11056	0.0625744	0.0833538	0.0597113	0.0338829	0.0255782	0.0239208	0.0157773	0.018166
a53	0.319467	0.220085	0.145067	0.112892	0.110972	0.0435954	0.0183937	0.0112056	0.00785781	0.0053925	0.00507117
a90	0.13408	0.134867	0.150603	0.19575	0.203899	0.0920876	0.0422093	0.023782	0.0126249	0.00593871	0.00415804
a92	0.0792422	0.0873048	0.10905	0.187166	0.244731	0.15789	0.0690089	0.0377864	0.0156535	0.00753619	0.00463151
a37	0.06514	0.0790928	0.101074	0.153259	0.170624	0.138108	0.10399	0.097816	0.0455876	0.0277128	0.0175941
a12	0.0834389	0.0837924	0.0897085	0.125484	0.155032	0.182075	0.0883146	0.1019	0.0428393	0.0279574	0.019458
a43	0.0872958	0.0913777	0.104293	0.15284	0.152622	0.149008	0.0748834	0.0898275	0.0444044	0.031692	0.0217566
a0	0.0371632	0.041992	0.0561276	0.143531	0.163751	0.187726	0.0916895	0.115186	0.065428	0.0556198	0.0417873
a31	0.0178371	0.0192493	0.0260707	0.0749835	0.1132	0.177984	0.148983	0.177769	0.0995907	0.0852538	0.0590787
a62	0.00986181	0.0110699	0.0151397	0.0522569	0.0608156	0.113332	0.120573	0.191646	0.163074	0.154416	0.107817
a96	0.00650098	0.00684539	0.00841766	0.0278225	0.0325866	0.0804035	0.12172	0.206298	0.193719	0.185797	0.129889
a93	0.00491548	0.00513395	0.0060363	0.0163909	0.018721	0.0440248	0.0888751	0.198308	0.229682	0.227945	0.159968
a56	0.00852178	0.00869155	0.00981978	0.0205146	0.0219369	0.0373767	0.0733162	0.161719	0.218068	0.249187	0.190849
a93	0.00225472	0.00223239	0.00234832	0.00440238	0.00388659	0.0097701	0.0310674	0.113787	0.222027	0.297277	0.310947
a56	0.00120426	0.00115458	0.00118693	0.00218677	0.00200833	0.00555053	0.0199774	0.0781638	0.182446	0.295541	0.41058
a44	0.000726039	0.000685976	0.000692026	0.00110467	0.000987142	0.00313649	0.0112189	0.0492103	0.162301	0.287581	0.482357
a94	0.000507995	0.000460321	0.000466004	0.000722028	0.000819691	0.00232963	0.00722153	0.0339444	0.141044	0.288503	0.523982
a12	0.000237598	0.000216576	0.000251883	0.000405788	0.000496147	0.00140171	0.00573949	0.0274795	0.113861	0.269659	0.580252
a96	0.000157249	0.00013996	0.000157908	0.000325403	0.000418831	0.00164012	0.00555797	0.0209884	0.0923519	0.253562	0.624701
a18	0.00024184	0.00021025	0.000229279	0.000491285	0.000589496	0.00172504	0.00517781	0.0185381	0.0884352	0.254562	0.629799
a71	0.00102072	0.00106733	0.00157619	0.00217832	0.00297422	0.00393817	0.00839812	0.0189955	0.0674765	0.240439	0.651936
a82	0.00434629	0.00481161	0.00749591	0.0113662	0.0109717	0.00863647	0.0128166	0.0232188	0.0666597	0.232805	0.616872
a87	0.0778094	0.0551559	0.0482296	0.0508117	0.0375183	0.0246184	0.0303807	0.0424413	0.0699171	0.165278	0.39784
a23	0.266428	0.190684	0.111535	0.0537326	0.0351798	0.0230294	0.0224099	0.0281914	0.0424866	0.0884641	0.13786
a97	0.0429023	0.021912	0.0103571	0.00393235	0.00275386	0.00394138	0.00694338	0.0267963	0.114293	0.285122	0.481046
</S>	0.0168607	0.00962597	0.00546836	0.00330536	0.00264891	0.00383841	0.00898271	0.0433939	0.130419	0.269417	0.50604
