 	il	bégaie	je	le	comprends	difficilement	</S>
a85	0.39642	0.225233	0.160974	0.119785	0.0532243	0.0225413	0.0218228
a87	0.337562	0.134061	0.129141	0.126829	0.116702	0.0586885	0.0970164
a23	0.288624	0.185672	0.200594	0.147143	0.0834364	0.0418599	0.0526706
a79	0.203731	0.114509	0.101745	0.0915304	0.118758	0.107185	0.262541
a20	0.456349	0.163546	0.0851577	0.0632498	0.0546351	0.0697561	0.107307
a44	0.316707	0.201117	0.155444	0.147693	0.104519	0.0389549	0.0355646
a26	0.320027	0.206552	0.173951	0.140378	0.0831175	0.0410755	0.0348995
a61	0.227811	0.217388	0.206214	0.142018	0.0879984	0.0632306	0.0553389
a43	0.218188	0.193995	0.205308	0.146896	0.0921986	0.0757883	0.0676254
a54	0.175044	0.177416	0.24853	0.189268	0.0926107	0.0601771	0.0569544
a73	0.125198	0.145554	0.217826	0.191428	0.13268	0.0961336	0.0911802
a94	0.130571	0.179615	0.25135	0.207625	0.0986619	0.0630511	0.069126
a12	0.106543	0.195522	0.271472	0.217266	0.0866221	0.0555527	0.067023
a18	0.0681705	0.123539	0.24687	0.233961	0.147238	0.0904935	0.0897279
a38	0.103665	0.135686	0.264462	0.237615	0.129061	0.061715	0.0677953
a47	0.0973097	0.126921	0.241102	0.236284	0.132314	0.0723418	0.0937281
a88	0.0514976	0.0956397	0.224089	0.229572	0.158018	0.105251	0.135933
a12	0.0657808	0.0920675	0.178982	0.194141	0.181296	0.133438	0.154296
a18	0.0442756	0.063726	0.144108	0.168869	0.203989	0.201178	0.173853
a88	0.0743702	0.0737829	0.109931	0.128904	0.19999	0.228396	0.184626
a13	0.08135	0.0793152	0.101594	0.11563	0.197859	0.241136	0.183117
a54	0.0751618	0.0838556	0.0920665	0.106381	0.180214	0.254175	0.208145
a73	0.0285339	0.0356289	0.0542494	0.067104	0.141519	0.292461	0.380505
a94	0.0122197	0.0170597	0.0324267	0.0462964	0.106389	0.280837	0.504771
a31	0.0137205	0.0170846	0.0265238	0.0347473	0.0895779	0.315695	0.502651
a88	0.0189295	0.0201245	0.0326909	0.0419366	0.102229	0.340173	0.443917
a71	0.0290738	0.0274142	0.037186	0.0434045	0.0961061	0.360939	0.405876
a53	0.0220526	0.0225696	0.0284494	0.0354684	0.0742065	0.317189	0.500065
a90	0.0277822	0.0232221	0.0304569	0.037474	0.0888347	0.339076	0.453154
a38	0.0134546	0.0189199	0.0311676	0.0416525	0.112277	0.339523	0.443006
a73	0.00532608	0.00803167	0.0137851	0.0189273	0.0575084	0.312686	0.583736
a76	0.0036821	0.00715953	0.0127028	0.017695	0.0503446	0.296977	0.611439
a94	0.0114479	0.0237427	0.0360989	0.0406933	0.078051	0.260672	0.549294
a53	0.00565861	0.00897176	0.0150272	0.0182886	0.0460908	0.243298	0.662665
a4	0.00932806	0.0125094	0.0188383	0.0219895	0.0529521	0.22789	0.656492
a57	0.0119286	0.0125926	0.0165275	0.0196875	0.0485022	0.221859	0.668903
a53	0.00773772	0.00917722	0.0131187	0.0165027	0.0383888	0.230114	0.684961
a15	0.0227814	0.0231928	0.0285853	0.0330779	0.06603	0.255917	0.570416
a73	0.00684574	0.00877266	0.0160431	0.0189581	0.0426642	0.188599	0.718117
a32	0.00135613	0.00142889	0.00348362	0.00513217	0.0163881	0.145711	0.8265
a75	0.00271254	0.00164868	0.00341219	0.00477125	0.0142847	0.133644	0.839526
a96	0.00175554	0.00210296	0.00593096	0.00845956	0.0263238	0.193602	0.761825
a98	0.0030456	0.00369711	0.0072699	0.00880851	0.0199914	0.154972	0.802216
a73	0.00139709	0.00195646	0.0048522	0.00717015	0.0230604	0.21035	0.751214
a84	0.000508152	0.000834809	0.00268267	0.00401967	0.0145221	0.17708	0.800353
a20	0.00170596	0.00129314	0.00278655	0.00430705	0.0135697	0.137137	0.8392
a73	0.00132851	0.000979717	0.00316512	0.00521441	0.0232106	0.171049	0.795053
a32	0.00097829	0.000801997	0.00219605	0.00356445	0.0159053	0.142682	0.833872
a11	0.00289425	0.00153842	0.00240061	0.00321543	0.0100847	0.121599	0.858267
a10	0.00153411	0.00101978	0.0021067	0.00331028	0.0121873	0.115789	0.864053
a87	0.00257903	0.00173837	0.00352949	0.00534765	0.0153086	0.110787	0.86071
</S>	0.00133431	0.000734804	0.00149366	0.00224342	0.00864983	0.113336	0.872207
