 	il	y	a	un	morceau	de	bois	sur	la	route	</S>
a15	0.315433	0.21686	0.129409	0.0812802	0.0518048	0.0458173	0.0427548	0.0399612	0.030703	0.0241163	0.021861
a66	0.355274	0.209417	0.144393	0.117153	0.0569578	0.0339723	0.021305	0.0187324	0.0142704	0.0136991	0.014826
a87	0.382057	0.218847	0.150594	0.0829978	0.0462058	0.0286825	0.0210224	0.0169119	0.014313	0.016373	0.0219951
a23	0.320286	0.227579	0.174812	0.108901	0.059338	0.0300924	0.0183611	0.0144794	0.0121242	0.0142218	0.019805
a50	0.24898	0.179567	0.14131	0.115089	0.0799349	0.0498519	0.0325395	0.0308919	0.0293179	0.0362305	0.0562867
a88	0.24783	0.206832	0.155427	0.128796	0.0745505	0.0405406	0.0286861	0.0261368	0.0262816	0.0285853	0.0363343
a62	0.167128	0.179377	0.170008	0.163541	0.126068	0.0640862	0.0369223	0.0279718	0.0220773	0.0198592	0.0229604
a47	0.1079	0.13681	0.172043	0.166176	0.155223	0.0875229	0.0531072	0.0373841	0.0294751	0.0261112	0.0282483
a12	0.0866978	0.102923	0.136273	0.164495	0.186598	0.108532	0.0667562	0.047077	0.0363237	0.0313374	0.032987
a31	0.0639119	0.0839864	0.122979	0.160444	0.183653	0.140509	0.0916432	0.0583871	0.0375668	0.0288592	0.0280596
a96	0.0468855	0.0600269	0.0917459	0.142952	0.180419	0.159094	0.115411	0.0755432	0.0492426	0.0392462	0.0394323
a94	0.0402226	0.0485236	0.0733727	0.13493	0.178995	0.17302	0.125552	0.0830652	0.052616	0.0432667	0.0464364
a56	0.0331337	0.0400913	0.0588313	0.111408	0.152534	0.170606	0.150149	0.113891	0.0700788	0.0514612	0.0478152
a21	0.0407393	0.0399919	0.0433434	0.0689771	0.0969898	0.145393	0.161041	0.147161	0.101608	0.0797442	0.0750108
a47	0.0193293	0.0171583	0.0168255	0.0259218	0.0380933	0.0720892	0.117109	0.175053	0.176945	0.175455	0.166021
a24	0.0211278	0.020908	0.0198128	0.0309222	0.0457864	0.0872032	0.129419	0.171763	0.17053	0.149937	0.15259
a88	0.00868702	0.00869442	0.0082717	0.0139397	0.0224326	0.0490926	0.0869806	0.170832	0.220113	0.21343	0.197528
a93	0.00521909	0.0044138	0.00402842	0.00531879	0.00823585	0.0173406	0.0320084	0.0842293	0.165543	0.278295	0.395367
a13	0.00315035	0.00286434	0.00256985	0.00369863	0.00572704	0.0120919	0.0238021	0.0656704	0.148352	0.285217	0.446857
a4	0.00230175	0.00169649	0.00170223	0.00190175	0.00282887	0.00541379	0.0122276	0.0371071	0.114709	0.307129	0.512982
a13	0.000513977	0.000441929	0.000444616	0.000592441	0.0010076	0.00258825	0.00693752	0.0239533	0.0869527	0.298545	0.578023
a57	0.0031669	0.00222446	0.00258566	0.00306827	0.00472616	0.00910508	0.0202535	0.0496694	0.131325	0.326928	0.446948
a3	0.0183294	0.0148208	0.0172726	0.0188941	0.0224515	0.0310212	0.0458584	0.0687301	0.124763	0.262653	0.375206
a87	0.192657	0.133224	0.105538	0.0825904	0.0559528	0.0494747	0.051688	0.0570607	0.0695144	0.0932117	0.109088
a23	0.198624	0.152469	0.144095	0.117233	0.0788128	0.0582333	0.0488937	0.0460335	0.0488476	0.0544058	0.0523525
a97	0.0551292	0.036969	0.0358783	0.0319629	0.034265	0.038538	0.0570897	0.0928173	0.153718	0.231285	0.232347
</S>	0.0122935	0.00907075	0.0098648	0.0105476	0.0134237	0.0187388	0.0394925	0.0849217	0.156716	0.280982	0.363949
