 	il	a	reconstruit	son	ancienne	case	</S>
a10	0.160704	0.158136	0.139744	0.142315	0.101234	0.132866	0.165
a87	0.123036	0.101672	0.126902	0.136732	0.15429	0.184076	0.173292
a23	0.178824	0.116739	0.113466	0.109281	0.124499	0.178401	0.178789
a79	0.222129	0.176606	0.125189	0.121171	0.109931	0.134691	0.110283
a20	0.338651	0.282696	0.151751	0.10661	0.0538262	0.0384442	0.0280214
a30	0.479633	0.338974	0.0896146	0.0492239	0.0197457	0.014071	0.00873697
a35	0.419713	0.369941	0.124345	0.0497374	0.0171551	0.0116836	0.00742478
a24	0.375215	0.325147	0.157917	0.0774506	0.0301404	0.0222368	0.0118922
a71	0.376434	0.308363	0.157769	0.0841739	0.0363984	0.0232281	0.0136339
a38	0.283936	0.277826	0.202277	0.124705	0.0526154	0.0360044	0.0226355
a94	0.205118	0.223793	0.249143	0.176413	0.0701291	0.0473195	0.0280845
a90	0.145755	0.17361	0.246263	0.212286	0.101627	0.0750963	0.0453622
a76	0.126694	0.147581	0.225708	0.197647	0.124156	0.110226	0.0679878
a44	0.0996471	0.106366	0.160751	0.181264	0.163271	0.16522	0.123481
a57	0.0509158	0.0582609	0.0990406	0.188669	0.201848	0.229118	0.172149
a38	0.0305774	0.0360886	0.0842289	0.230723	0.223526	0.229794	0.165062
a76	0.0205882	0.0240189	0.0757918	0.241083	0.24499	0.23392	0.159609
a94	0.0213333	0.0279173	0.0666433	0.165014	0.219515	0.256868	0.242709
a35	0.00894282	0.0121572	0.0365793	0.126228	0.204811	0.303722	0.30756
a30	0.0101453	0.0137952	0.0396434	0.130276	0.198835	0.290703	0.316602
a14	0.00689839	0.00831322	0.0222852	0.119738	0.188107	0.285106	0.369553
a35	0.00621059	0.00837554	0.0267106	0.105894	0.173765	0.265698	0.413346
a38	0.00364373	0.00481901	0.0149155	0.0599647	0.124514	0.266472	0.525671
a41	0.00189241	0.0024	0.00753652	0.0409308	0.107262	0.266809	0.573169
a14	0.00250124	0.00340612	0.0110921	0.0489828	0.108596	0.250668	0.574754
a73	0.00451216	0.00555402	0.0150305	0.0570521	0.114465	0.246697	0.55669
a76	0.00230572	0.00273091	0.00854991	0.0386707	0.0918038	0.249637	0.606302
a14	0.00356563	0.00454898	0.0187266	0.0651181	0.128402	0.250971	0.528668
a27	0.00465368	0.00583649	0.0182507	0.0633399	0.129801	0.255551	0.522567
a30	0.00127113	0.00151895	0.00547833	0.0298634	0.104232	0.280436	0.5772
a40	0.00305505	0.0030463	0.00830619	0.0386609	0.1307	0.291028	0.525203
a75	0.00278023	0.00318124	0.00995324	0.0375357	0.0893572	0.246658	0.610535
a14	0.0013301	0.00151773	0.0056465	0.0228498	0.0694694	0.247117	0.65207
a35	0.002162	0.00216074	0.00565086	0.0237193	0.0803774	0.264626	0.621304
a73	0.0025006	0.00294362	0.00735095	0.0243802	0.0847405	0.254616	0.623468
a57	0.00201333	0.00234811	0.0072559	0.0333993	0.117848	0.285651	0.551484
a87	0.00664797	0.00697712	0.0167183	0.0590843	0.163452	0.279599	0.467521
</S>	0.00874042	0.00832639	0.0232117	0.0813808	0.171079	0.276409	0.430852
