 	mon	vélo	avait	disparu	pendant	la	guerre	</S>
a87	0.257425	0.255113	0.172237	0.130501	0.0983229	0.047183	0.0225275	0.0166911
a23	0.326599	0.234035	0.123331	0.0997803	0.0633573	0.0542446	0.0472314	0.0514214
a99	0.258291	0.241078	0.18064	0.16097	0.063101	0.0335215	0.02665	0.0357497
a62	0.300589	0.243487	0.159819	0.116828	0.0562137	0.0336596	0.0350122	0.0543909
a83	0.435963	0.253276	0.154115	0.0904519	0.0316653	0.0130387	0.0105502	0.0109395
a18	0.403331	0.254331	0.169978	0.0977198	0.032957	0.0151061	0.0131872	0.0133905
a75	0.240088	0.200372	0.169892	0.145296	0.0912007	0.0534918	0.048653	0.0510069
a85	0.233697	0.213377	0.206185	0.160801	0.0795392	0.0331665	0.0320684	0.0411646
a61	0.271222	0.257393	0.198187	0.126878	0.0596263	0.0316696	0.0255075	0.0295154
a75	0.197062	0.204432	0.231967	0.178323	0.0955002	0.0358309	0.0273779	0.0295071
a85	0.162413	0.170616	0.163081	0.1533	0.110935	0.0807265	0.0729821	0.0859458
a37	0.13487	0.154697	0.167333	0.172962	0.134687	0.0860504	0.0698259	0.0795747
a96	0.138387	0.148005	0.166475	0.198128	0.183814	0.0765824	0.0426118	0.0459976
a75	0.0881263	0.0963099	0.116648	0.177285	0.254432	0.126881	0.0691134	0.0712046
a85	0.0635413	0.0545719	0.0563761	0.103692	0.173527	0.163947	0.169297	0.215047
a18	0.0533983	0.0458377	0.0520126	0.0948927	0.156303	0.176216	0.186172	0.235168
a75	0.0372492	0.0312554	0.0308069	0.0479894	0.122612	0.170982	0.220329	0.338775
a37	0.0279335	0.0216383	0.0190701	0.0302913	0.0739226	0.14098	0.248483	0.437681
a85	0.0101486	0.00976812	0.0112171	0.0189582	0.0482548	0.118508	0.273244	0.5099
a43	0.0061645	0.00489468	0.0047138	0.00754536	0.0196071	0.0758056	0.274538	0.606731
a75	0.00186677	0.00201308	0.00216712	0.00457765	0.0178797	0.067156	0.237471	0.666868
a85	0.00261296	0.00314944	0.00324845	0.00570035	0.0159865	0.0737204	0.273084	0.622498
a66	0.00425378	0.00447877	0.00465777	0.00848343	0.0180952	0.0753098	0.263646	0.621075
a62	0.00612854	0.00785723	0.00854461	0.0134947	0.0365692	0.117773	0.26624	0.543393
a75	0.00683714	0.00791083	0.0070181	0.0115871	0.0256694	0.100586	0.26838	0.572011
a6	0.00420676	0.00517911	0.00497927	0.00952854	0.0197816	0.0795108	0.269316	0.607498
a36	0.00149945	0.00231837	0.00273581	0.00537065	0.0157351	0.0758736	0.260803	0.635664
a26	0.0126726	0.0164761	0.0181073	0.0331652	0.0413025	0.097142	0.232651	0.548483
a57	0.0796853	0.0805543	0.0626624	0.0756793	0.0719318	0.109592	0.198272	0.321622
a87	0.119406	0.12515	0.104798	0.113368	0.164826	0.141875	0.113672	0.116904
a23	0.135292	0.153711	0.128202	0.150402	0.176887	0.114041	0.0754387	0.0660266
a87	0.111548	0.111007	0.10449	0.124341	0.110963	0.141568	0.148851	0.147231
a23	0.024199	0.0384517	0.0402668	0.0634077	0.0835113	0.161466	0.240903	0.347795
a99	0.0189588	0.0303404	0.0358873	0.0524004	0.0710181	0.155557	0.264772	0.371066
a97	0.0503619	0.0505003	0.0440761	0.0526681	0.0593962	0.12306	0.239735	0.380202
a30	0.0479793	0.0370162	0.0244067	0.0280542	0.0351201	0.0923956	0.245946	0.489082
</S>	0.0917357	0.0808965	0.0538276	0.0445982	0.0432533	0.0825302	0.188984	0.414174
