 	ils	ont	acheté	la	viande	au	marché	</S>
a66	0.268247	0.249072	0.207011	0.150101	0.0778052	0.0253161	0.0122083	0.0102391
a87	0.280139	0.20336	0.172197	0.149777	0.084978	0.0467852	0.0297519	0.0330121
a23	0.38518	0.221569	0.145511	0.0779275	0.0490734	0.0408853	0.0358851	0.0439685
a54	0.346917	0.223992	0.142095	0.0769002	0.059316	0.0543128	0.044653	0.0518144
a98	0.213931	0.238284	0.263585	0.15493	0.0678537	0.0253837	0.0175411	0.0184914
a92	0.142678	0.221362	0.318588	0.193264	0.080025	0.0240706	0.0118168	0.00819531
a37	0.142819	0.195884	0.231533	0.178774	0.107414	0.0641722	0.0445473	0.0348561
a43	0.169859	0.216033	0.303486	0.154429	0.0697564	0.0351614	0.0261648	0.02511
a75	0.125388	0.16616	0.237828	0.140459	0.0828366	0.0705039	0.0811506	0.0956736
a56	0.116828	0.159124	0.176801	0.129228	0.100686	0.0892078	0.100116	0.12801
a98	0.14365	0.160089	0.160489	0.118887	0.0863643	0.0843714	0.10572	0.14043
a85	0.0604609	0.0756392	0.0764921	0.0876399	0.0930772	0.122133	0.187059	0.297499
a92	0.0409215	0.0446853	0.0438506	0.0608946	0.0784955	0.128052	0.23577	0.36733
a37	0.0181881	0.0176383	0.0179449	0.035735	0.062851	0.135156	0.26587	0.446617
a75	0.0202313	0.0162016	0.0137923	0.0330516	0.0832504	0.172833	0.274765	0.385875
a92	0.00285883	0.00246043	0.0026997	0.00911943	0.0399102	0.143322	0.290252	0.509377
a79	0.00130727	0.0010706	0.001124	0.00388387	0.0229104	0.138101	0.308412	0.523191
a75	0.00112576	0.000914728	0.000899223	0.00293886	0.0178618	0.130496	0.328107	0.517656
a5	0.000557425	0.00051183	0.000651988	0.00245055	0.0127766	0.0952627	0.301612	0.586177
a37	0.000992027	0.00088525	0.00108912	0.00308411	0.0116296	0.0830828	0.291661	0.607576
a27	0.00269354	0.00250548	0.00310291	0.00719889	0.0193824	0.0817945	0.267349	0.615974
a38	0.0152518	0.0166846	0.0213748	0.0271071	0.0475847	0.105848	0.246858	0.519291
a82	0.0353223	0.0355478	0.0355484	0.0402109	0.0596147	0.104869	0.215696	0.473191
a87	0.263861	0.144786	0.0739915	0.0486306	0.0487166	0.0666172	0.1145	0.238897
a23	0.37462	0.216786	0.117704	0.065413	0.0513239	0.0497762	0.0501122	0.0742652
a87	0.164206	0.0677398	0.0352429	0.029072	0.0419293	0.120297	0.21271	0.328802
</S>	0.0242164	0.0118236	0.00734363	0.00824379	0.0205558	0.113553	0.289186	0.525078
