 	la	femme	a	vait	porté	son	pagne	autour	de	la	poitrine	lorsqu'	elle	était	dans	la	maison	</S>
a87	0.169085	0.0855341	0.0503727	0.0244332	0.0181198	0.0166251	0.0284085	0.0685346	0.0794542	0.084188	0.0884441	0.0633314	0.0763645	0.0516555	0.0340855	0.0251481	0.0201994	0.0160159
a23	0.16364	0.138416	0.100582	0.0269828	0.0275442	0.0377028	0.0422633	0.0305409	0.0249093	0.0386694	0.0761307	0.0720208	0.0590931	0.0390865	0.0264472	0.0269547	0.0323988	0.0366176
a93	0.119196	0.105837	0.11199	0.0337739	0.0471449	0.0497446	0.0525592	0.0367427	0.0290491	0.0345273	0.0519919	0.0614678	0.0710889	0.0511883	0.0362236	0.0331522	0.0351272	0.0391953
a62	0.296229	0.196576	0.172233	0.0822908	0.0440489	0.025832	0.0222415	0.0211165	0.017287	0.0130348	0.0128538	0.0121039	0.0136175	0.01259	0.0143019	0.0152971	0.0142585	0.0140882
a12	0.249581	0.210621	0.227603	0.144438	0.0431695	0.023061	0.0198453	0.0159116	0.0102768	0.00673147	0.00615298	0.00475329	0.00612379	0.00490334	0.00493617	0.00650044	0.00770908	0.00768183
a98	0.214016	0.196839	0.244398	0.189001	0.0466408	0.0202187	0.0155555	0.0132417	0.00828586	0.00576966	0.00580917	0.00495939	0.00695378	0.00571993	0.00535616	0.00584899	0.0060487	0.00533714
a5	0.122693	0.10295	0.157217	0.159365	0.0988452	0.0618913	0.0513196	0.0531295	0.036734	0.0259227	0.0223885	0.0157028	0.0187396	0.0161066	0.0142026	0.0141032	0.0144711	0.0142192
a75	0.104049	0.0661154	0.0940496	0.101177	0.127709	0.0909625	0.07943	0.084453	0.0537734	0.0379925	0.0324118	0.0252967	0.0229684	0.0167137	0.013946	0.0148399	0.0166174	0.0174946
a85	0.0629262	0.0366758	0.0543714	0.0771815	0.106659	0.109302	0.112334	0.115348	0.0746543	0.0537349	0.0427179	0.0293987	0.0250899	0.0172266	0.0144374	0.017326	0.0219458	0.0286707
a21	0.0349237	0.0220349	0.0309596	0.0447809	0.091709	0.153973	0.148969	0.136471	0.0784297	0.0529205	0.0401715	0.0278182	0.0257963	0.0185445	0.0158919	0.0198781	0.0250188	0.0317094
a18	0.0616682	0.0391896	0.053028	0.0741632	0.0731246	0.0853214	0.115433	0.144195	0.082184	0.0604986	0.0503792	0.0352239	0.0347158	0.0200065	0.0143686	0.015087	0.0177208	0.023693
a24	0.0245042	0.01953	0.0260393	0.0511023	0.0655942	0.111423	0.112477	0.148795	0.0894461	0.0654267	0.0560336	0.0377777	0.0414351	0.0289211	0.0231004	0.0254801	0.0304468	0.0424683
a31	0.0147536	0.0109953	0.0136377	0.0313724	0.0408326	0.0809203	0.101035	0.151424	0.116767	0.0931563	0.0790596	0.0555422	0.0552392	0.0367094	0.0253106	0.0251832	0.0289983	0.0390632
a47	0.0138271	0.0103428	0.0125567	0.0247657	0.0328079	0.0746043	0.0921243	0.139231	0.11729	0.10031	0.0875221	0.064137	0.0657093	0.0424976	0.0276497	0.0264235	0.0299605	0.038241
a88	0.0138191	0.00973148	0.0107088	0.018226	0.0232073	0.054579	0.0686762	0.108967	0.108606	0.111552	0.107644	0.0911741	0.0963399	0.0574802	0.0306829	0.0263114	0.027946	0.0343478
a61	0.00669414	0.0050946	0.00520088	0.00915814	0.01402	0.0394368	0.0517855	0.0839646	0.0915362	0.103831	0.106383	0.106453	0.112264	0.0859536	0.0520192	0.0419041	0.0402071	0.0440946
a75	0.00538124	0.00397281	0.00403578	0.00779614	0.0127699	0.039235	0.0565712	0.0938549	0.101456	0.115333	0.114275	0.11312	0.105615	0.076039	0.0436565	0.0337355	0.0326344	0.0405191
a90	0.0065904	0.00455784	0.00472068	0.00749925	0.0156277	0.03774	0.0570281	0.0928116	0.0945492	0.113615	0.117627	0.106599	0.107718	0.0692476	0.0419714	0.0352831	0.0348938	0.0519207
a25	0.00260909	0.00198622	0.00232145	0.00559707	0.0150101	0.0369968	0.0457121	0.0594796	0.0661458	0.0937722	0.106788	0.120824	0.125147	0.0907352	0.0616771	0.0510058	0.0457721	0.0684202
a37	0.00288947	0.00236869	0.00254805	0.00774938	0.0197836	0.047611	0.0434779	0.0428919	0.0454856	0.06653	0.0841322	0.113466	0.136093	0.102421	0.0669085	0.0560091	0.0551708	0.104465
a11	0.00211581	0.00178225	0.00196348	0.00504238	0.0165753	0.0491307	0.0448432	0.0365025	0.0349981	0.0518873	0.0693228	0.101696	0.132461	0.108563	0.0789431	0.0692726	0.0669424	0.127959
a75	0.00118432	0.00101481	0.00110759	0.00240409	0.00627377	0.0202337	0.0229568	0.0217735	0.0258225	0.0439785	0.0634317	0.0927734	0.105108	0.0987737	0.0797856	0.0875939	0.109473	0.21631
a5	0.00279435	0.00236074	0.00284989	0.00550374	0.0140325	0.0323835	0.0378361	0.0375733	0.0378065	0.0500287	0.0588259	0.0722768	0.0953978	0.0870622	0.0818817	0.0954471	0.109061	0.176878
a96	0.0074195	0.00545047	0.00424245	0.00508707	0.00739484	0.0145072	0.0216334	0.0256679	0.0283941	0.0413496	0.0554508	0.060832	0.0890509	0.0929056	0.0974058	0.120386	0.133311	0.189511
a88	0.0013111	0.00135766	0.0014099	0.00230831	0.00518529	0.0156256	0.0209948	0.0213607	0.0238172	0.0355591	0.0456591	0.0514828	0.0528739	0.0603091	0.0799997	0.131308	0.18001	0.269427
a47	0.000752889	0.000706588	0.000695181	0.00161912	0.0038675	0.0122139	0.0150608	0.0128252	0.0153975	0.0278218	0.0395095	0.0596604	0.0532314	0.0575122	0.0750919	0.124511	0.184336	0.315187
a88	0.00101479	0.000964654	0.00101544	0.00213251	0.00354633	0.00990732	0.0128879	0.0110258	0.0135623	0.0258963	0.0372172	0.0603242	0.0579056	0.0621794	0.0845929	0.139784	0.198489	0.277555
a9	0.000874552	0.000866494	0.000860287	0.00172881	0.00409972	0.0102722	0.0109695	0.00689891	0.00780798	0.017134	0.029409	0.0602379	0.0612393	0.0631874	0.0774038	0.118393	0.179376	0.349241
a87	0.00964495	0.00857724	0.00928717	0.0127621	0.0232368	0.0300496	0.0306975	0.0151243	0.0119276	0.0169036	0.026816	0.0552567	0.068001	0.0692256	0.0873107	0.109373	0.139451	0.276356
a23	0.0362369	0.0389819	0.0486644	0.0386218	0.0383429	0.0278457	0.022576	0.0165647	0.0162422	0.0255073	0.0523719	0.0900264	0.109669	0.119802	0.108402	0.0810503	0.0664491	0.0626464
