 	les	hommes	aiment	boire	le	vin	</S>
a66	0.413458	0.313566	0.149635	0.0615195	0.027456	0.0188913	0.0154749
a87	0.385517	0.292233	0.129796	0.0620958	0.042042	0.0401876	0.0481282
a10	0.395597	0.264166	0.130109	0.0641274	0.0494997	0.0400215	0.0564796
a87	0.405826	0.25296	0.123556	0.071233	0.0471746	0.041305	0.0579447
a97	0.362956	0.250273	0.136821	0.0869463	0.0543121	0.0472311	0.0614605
a40	0.263231	0.223077	0.182036	0.139263	0.0748204	0.0566701	0.0609026
a7	0.387432	0.223183	0.0793687	0.0730971	0.0713404	0.0784201	0.0871583
a98	0.406769	0.287006	0.103889	0.0520619	0.0449513	0.0478729	0.0574508
a47	0.297157	0.242982	0.129641	0.0887624	0.0755219	0.0785551	0.0873809
a6	0.296053	0.250663	0.138248	0.0726	0.0662923	0.0781002	0.0980428
a37	0.274626	0.24921	0.178698	0.0884806	0.0686382	0.066475	0.0738716
a75	0.262365	0.208725	0.174895	0.0970834	0.0821102	0.0807827	0.0940394
a6	0.165521	0.156811	0.164003	0.123152	0.12809	0.124543	0.13788
a7	0.160046	0.161498	0.154458	0.101829	0.114652	0.134325	0.173191
a79	0.0832907	0.107267	0.142491	0.110955	0.139522	0.178328	0.238146
a56	0.065452	0.0860994	0.12371	0.121418	0.154618	0.196302	0.2524
a90	0.0494438	0.0621323	0.112949	0.115203	0.158536	0.21356	0.288176
a92	0.0241669	0.0328005	0.0869368	0.116393	0.185743	0.243565	0.310395
a98	0.00838771	0.0119286	0.0414464	0.0759158	0.165146	0.281794	0.415382
a92	0.00556941	0.0102203	0.0387831	0.0723415	0.14679	0.277147	0.449149
a79	0.00134189	0.00243576	0.00948305	0.0337232	0.116871	0.303366	0.532779
a37	0.000787608	0.00147881	0.00592327	0.0240651	0.101913	0.298533	0.567299
a66	0.00062463	0.00133817	0.00390042	0.0182123	0.0952995	0.287536	0.593089
a3	0.000664363	0.001407	0.00421387	0.0214956	0.0807328	0.249957	0.641529
a97	0.0317015	0.0218783	0.0311278	0.0751819	0.135576	0.218962	0.485572
a23	0.128696	0.0893003	0.0924663	0.11587	0.140483	0.167095	0.26609
a97	0.0446704	0.0309698	0.0340504	0.0678099	0.148944	0.25105	0.422505
a87	0.00997647	0.00746601	0.0157545	0.0470532	0.134554	0.280519	0.504676
</S>	0.00999939	0.00784307	0.0199143	0.0530588	0.138668	0.280177	0.490339
