 	mon	voyage	pour	le	village	est	annulé	</S>
a66	0.229824	0.189878	0.130514	0.109953	0.109163	0.107497	0.0826645	0.0405075
a87	0.270982	0.236939	0.137788	0.104453	0.0810537	0.0770448	0.0667227	0.0250162
a97	0.385268	0.255808	0.153276	0.087415	0.0481412	0.0354782	0.0209699	0.013643
a99	0.335687	0.278137	0.160708	0.0924331	0.0522236	0.0376355	0.0241528	0.019023
a13	0.367907	0.270734	0.130198	0.0797087	0.0514029	0.0488183	0.0333819	0.0178489
a53	0.378441	0.210998	0.0903477	0.0667687	0.0545266	0.08751	0.0765082	0.0348998
a93	0.304518	0.213326	0.124152	0.101776	0.0866167	0.0841189	0.0652391	0.0202524
a43	0.149251	0.155821	0.154086	0.155532	0.125155	0.104725	0.110399	0.0450311
a31	0.107821	0.147445	0.171242	0.175609	0.133148	0.0995847	0.108227	0.0569226
a75	0.0816139	0.126031	0.180716	0.197012	0.155225	0.0970717	0.107686	0.0546451
a79	0.0542607	0.0895808	0.133739	0.155581	0.160902	0.142179	0.172715	0.0910416
a7	0.0395567	0.077727	0.144869	0.175662	0.185648	0.137117	0.153236	0.0861837
a93	0.0290622	0.0477071	0.112285	0.151335	0.195742	0.164774	0.171114	0.127982
a96	0.0392228	0.0489304	0.108934	0.148353	0.194973	0.162446	0.167904	0.129236
a66	0.0204807	0.0229375	0.0591973	0.100544	0.180576	0.193608	0.224365	0.198291
a71	0.0048162	0.00494603	0.0135757	0.0303504	0.0989299	0.193432	0.290804	0.363145
a11	0.00266735	0.0020617	0.00467645	0.0101672	0.0473915	0.142939	0.230549	0.559548
a96	0.00131635	0.0011017	0.00276409	0.00624447	0.0310096	0.106829	0.199288	0.651447
a94	0.00040951	0.000375146	0.00130619	0.00359224	0.0241416	0.0877149	0.181134	0.701326
a7	0.00025372	0.000258059	0.00116209	0.00325513	0.0219986	0.0712775	0.141423	0.760372
a26	0.000323892	0.000303837	0.0011057	0.00265446	0.0146683	0.0503687	0.112662	0.817913
a82	0.00641315	0.00410877	0.00594633	0.00800471	0.0189087	0.042618	0.0978995	0.816101
a97	0.105772	0.0618809	0.0455843	0.0390009	0.051102	0.0755499	0.125042	0.496068
a87	0.176942	0.121433	0.0943474	0.0721638	0.0790223	0.100034	0.123839	0.232219
a97	0.0841231	0.0675718	0.0798204	0.0796611	0.128341	0.160514	0.17679	0.223178
a87	0.0509637	0.0477042	0.0807393	0.0976263	0.16882	0.178782	0.180355	0.19501
a97	0.0489523	0.0525781	0.0773748	0.0889405	0.144565	0.168284	0.184509	0.234796
a87	0.0518636	0.0600095	0.101796	0.119155	0.160797	0.167171	0.165547	0.17366
a97	0.0455944	0.0530416	0.0883845	0.105465	0.14792	0.161538	0.183755	0.214302
a87	0.0562682	0.0633242	0.0993705	0.110784	0.143438	0.158076	0.171174	0.197564
a97	0.0670641	0.076841	0.108469	0.110826	0.130105	0.141952	0.169126	0.195616
</S>	0.0702638	0.0868191	0.133321	0.124709	0.131042	0.137584	0.150171	0.166089
