 	il	m'	a	demandé	de	le	dédommager	pour	son	assiette	que	j'	ai	cassée	</S>
a66	0.205722	0.160571	0.0852865	0.0345318	0.0161214	0.0199727	0.037481	0.06033	0.0736428	0.0809959	0.0845343	0.0666806	0.0379993	0.020264	0.015867
a87	0.393967	0.21362	0.0768316	0.0223491	0.00965833	0.00987269	0.0335721	0.0611395	0.0482539	0.048157	0.034684	0.024001	0.0130071	0.00553405	0.00535242
a23	0.334613	0.195757	0.0856502	0.0339854	0.0136573	0.0123917	0.043342	0.0900603	0.0617693	0.0601259	0.0313648	0.0158828	0.0087924	0.00566676	0.00694161
a79	0.271451	0.155529	0.0762062	0.0478441	0.0250629	0.027434	0.0559362	0.0872033	0.0621967	0.0845954	0.0497379	0.0262875	0.0145869	0.00809042	0.00783881
a58	0.187422	0.125676	0.090921	0.0882347	0.0489026	0.0444941	0.035555	0.0641184	0.0571698	0.0635563	0.0537863	0.0420172	0.0365943	0.0341177	0.0274341
a4	0.0648836	0.067709	0.0683382	0.0846008	0.0740504	0.0760113	0.0602106	0.0671635	0.052609	0.0507808	0.0580665	0.0717728	0.0771253	0.0732073	0.0534708
a50	0.0521642	0.0778994	0.0999172	0.133477	0.10324	0.0979732	0.083584	0.0717435	0.0547134	0.0534435	0.0431057	0.0415888	0.0359713	0.0282164	0.022962
a98	0.0119833	0.0179749	0.0258841	0.0831308	0.104605	0.112503	0.0954363	0.0665421	0.0511297	0.0517396	0.0531693	0.0597267	0.0769557	0.0955321	0.0936868
a50	0.0187364	0.0327035	0.048477	0.122426	0.140475	0.135625	0.110991	0.076503	0.0598073	0.0588946	0.0476411	0.0430284	0.040311	0.0348266	0.0295545
a70	0.013415	0.0186428	0.0238833	0.0666551	0.0887587	0.10163	0.0966486	0.0643937	0.0493889	0.0468135	0.0465635	0.0518684	0.0730254	0.113821	0.144493
a54	0.0150299	0.0232785	0.0309601	0.100674	0.128755	0.125085	0.109517	0.0705646	0.0504453	0.0460672	0.0407745	0.0402916	0.0523078	0.0790448	0.0872048
a73	0.0159884	0.0257318	0.0317204	0.0949804	0.123513	0.11563	0.113047	0.0789298	0.0596128	0.0522846	0.0416926	0.0381224	0.0473946	0.0743966	0.0869563
a32	0.0102172	0.0167302	0.0213798	0.0790427	0.107757	0.111965	0.110661	0.0764304	0.0584597	0.0495253	0.0395323	0.0360683	0.0493548	0.0961035	0.136772
a54	0.00483661	0.00775626	0.0104464	0.0458289	0.0694264	0.097512	0.0992939	0.0712873	0.0594568	0.0534719	0.0480993	0.0438602	0.0598066	0.129208	0.199709
a73	0.00732263	0.0108972	0.0139835	0.0428578	0.0592197	0.0943544	0.0947906	0.0792222	0.0766912	0.0690577	0.0622674	0.0594325	0.0707417	0.11478	0.144381
