 	je	l'	ai	succédé	comme	chef	du	village	</S>
a66	0.37527	0.150826	0.130274	0.0990534	0.0780536	0.0617396	0.0439284	0.0311044	0.0297509
a87	0.183878	0.104288	0.0645711	0.0988909	0.0505534	0.0714006	0.0877238	0.133839	0.204855
a23	0.557113	0.157465	0.0581834	0.0422641	0.0230678	0.032405	0.0352377	0.03936	0.0549034
a13	0.459454	0.211874	0.082474	0.0431963	0.0258787	0.0294081	0.0364725	0.0448385	0.066403
a11	0.508567	0.177483	0.0677742	0.0504689	0.0326965	0.0330794	0.0348951	0.0403471	0.0546891
a24	0.446436	0.242499	0.0991079	0.0419224	0.026549	0.0262795	0.0277514	0.0366148	0.0528392
a47	0.415576	0.272966	0.121283	0.043477	0.0254664	0.0237769	0.0241166	0.0292567	0.0440817
a31	0.302251	0.285182	0.157198	0.08012	0.0389739	0.0310028	0.0259508	0.0303973	0.048923
a88	0.245299	0.261658	0.188343	0.0997967	0.0481387	0.0368238	0.0308006	0.036139	0.053002
a62	0.16788	0.225357	0.205798	0.137353	0.0566497	0.0461008	0.0401554	0.0491522	0.0715545
a31	0.13104	0.176968	0.192237	0.164585	0.075215	0.0620758	0.0555734	0.0627213	0.0795851
a0	0.14416	0.202089	0.216944	0.170859	0.0721921	0.0533138	0.0408759	0.0442697	0.0552961
a93	0.0881021	0.155111	0.259742	0.213005	0.0880902	0.0595298	0.0418984	0.0417611	0.0527595
a90	0.0616964	0.102276	0.186813	0.18892	0.126174	0.101896	0.0753383	0.071241	0.0856455
a25	0.0443426	0.0679371	0.169855	0.210718	0.149082	0.119529	0.0825038	0.0724544	0.0835792
a90	0.0216636	0.0303682	0.0918353	0.223053	0.171869	0.133384	0.088341	0.0988294	0.140656
a98	0.0213565	0.0249227	0.072043	0.194004	0.173774	0.151619	0.112282	0.112815	0.137183
a85	0.0133761	0.0185884	0.0593618	0.167544	0.164665	0.151988	0.124233	0.13441	0.165834
a92	0.0109047	0.0129244	0.0391035	0.118836	0.127877	0.13197	0.124927	0.18048	0.252978
a56	0.00683129	0.00729284	0.0206722	0.0854077	0.119894	0.130606	0.123392	0.20019	0.305713
a44	0.00548729	0.0051258	0.0143063	0.0714507	0.125231	0.143374	0.140615	0.205576	0.288834
a93	0.00367957	0.00302299	0.00587533	0.0343834	0.082995	0.120283	0.146785	0.246321	0.356654
a70	0.00230817	0.00198784	0.00450804	0.0268725	0.0698841	0.107942	0.149013	0.267998	0.369486
a75	0.00204226	0.00175124	0.00277973	0.0114931	0.0357828	0.0723409	0.133985	0.30421	0.435615
a79	0.000706551	0.000812884	0.00196013	0.0143566	0.0489435	0.0846948	0.141647	0.299092	0.407787
a7	0.000604929	0.000733589	0.00185346	0.0148389	0.042078	0.0730225	0.121783	0.295003	0.450083
a44	0.00173141	0.00158418	0.00206402	0.00728203	0.022434	0.0627062	0.123441	0.303879	0.474879
a4	0.00167385	0.00162437	0.00207669	0.00664645	0.0223885	0.0586215	0.124621	0.304895	0.477452
a57	0.00202621	0.00183942	0.00272299	0.00686642	0.021693	0.0492857	0.117222	0.316793	0.481551
a3	0.00409179	0.00386894	0.00392573	0.00921438	0.027595	0.0603228	0.130351	0.310654	0.449977
a87	0.0369684	0.0262398	0.0302391	0.0506759	0.0563055	0.0937112	0.132562	0.259535	0.313763
a23	0.378592	0.122541	0.0780488	0.0704338	0.0579722	0.072656	0.0729817	0.0724126	0.0743618
a87	0.190165	0.0810525	0.0567378	0.0507557	0.063332	0.0958246	0.118014	0.165172	0.178947
</S>	0.0659237	0.0384423	0.0320045	0.0476512	0.0641371	0.0923346	0.119934	0.220577	0.318995
