 	ils	sont	devenus	vieux	</S>
a66	0.372555	0.266144	0.175951	0.112907	0.0724428
a82	0.189038	0.232166	0.295038	0.163011	0.120747
a10	0.315228	0.224209	0.271599	0.115416	0.0735484
a97	0.322827	0.222271	0.249036	0.122289	0.0835757
a38	0.292977	0.217042	0.252158	0.135128	0.102695
a47	0.361837	0.244092	0.259278	0.0827378	0.0520545
a85	0.321408	0.234443	0.165339	0.129228	0.149582
a6	0.3232	0.294154	0.205886	0.0994106	0.077349
a5	0.37845	0.297652	0.157226	0.0903374	0.0763339
a24	0.251944	0.240787	0.23116	0.156051	0.120058
a31	0.117768	0.143902	0.252387	0.255946	0.229997
a88	0.100116	0.117954	0.230846	0.29552	0.255564
a66	0.0297834	0.0498807	0.174647	0.346523	0.399166
a61	0.0204616	0.0395989	0.117661	0.347971	0.474307
a83	0.0136179	0.0252846	0.111779	0.321816	0.527502
a66	0.0073711	0.0167167	0.0802592	0.339446	0.556207
a61	0.00675143	0.0148743	0.0555031	0.287263	0.635608
a70	0.00381541	0.0102797	0.0444006	0.271264	0.67024
a66	0.00454781	0.0102556	0.052818	0.290203	0.642175
a9	0.0141724	0.0216971	0.0592554	0.256665	0.64821
a99	0.068206	0.0622647	0.113856	0.241006	0.514668
a97	0.0986388	0.081181	0.162932	0.225645	0.431603
a99	0.12531	0.0889049	0.170561	0.250522	0.364702
a97	0.09741	0.0725134	0.174564	0.294451	0.361062
a99	0.0701866	0.0639031	0.227664	0.287395	0.350851
a97	0.0665515	0.0530075	0.172339	0.289811	0.418292
a87	0.115794	0.0863513	0.227731	0.24106	0.329064
</S>	0.094721	0.076602	0.216326	0.257829	0.354522
