 	l'	oncle	m'	a	promis	de	l'	argent	</S>
a66	0.243882	0.180994	0.181054	0.166601	0.115323	0.0438417	0.0296472	0.0213215	0.0173353
a87	0.227951	0.152369	0.156479	0.172489	0.14093	0.0577121	0.0410464	0.0282094	0.0228146
a23	0.290264	0.242695	0.208669	0.147523	0.0688061	0.0146529	0.00933972	0.00790964	0.0101414
a53	0.277068	0.295452	0.209785	0.112767	0.045703	0.0145925	0.0132068	0.0136548	0.0177704
a93	0.235949	0.177643	0.184367	0.189628	0.119209	0.0262336	0.0245162	0.0209857	0.0214686
a90	0.215339	0.178765	0.207438	0.209211	0.1216	0.0329724	0.0171658	0.0092054	0.00830295
a92	0.134969	0.124438	0.175683	0.236772	0.168034	0.0834614	0.0414062	0.0196494	0.0155863
a56	0.0783208	0.0785188	0.13898	0.217548	0.179096	0.141212	0.0811985	0.0464247	0.0387009
a43	0.106535	0.0985731	0.146181	0.190073	0.141254	0.126792	0.0819336	0.0554141	0.0532452
a21	0.0842113	0.0948104	0.129313	0.159633	0.14385	0.144087	0.0949807	0.0711819	0.0779329
a56	0.0570504	0.0806861	0.119168	0.142893	0.129127	0.145893	0.112613	0.103166	0.109403
a90	0.0436515	0.0662596	0.0982516	0.117299	0.115373	0.154463	0.136227	0.135281	0.133194
a79	0.0291065	0.0430475	0.0646612	0.0914216	0.137758	0.203908	0.158343	0.14433	0.127424
a44	0.0139464	0.0190541	0.030696	0.0506875	0.0981852	0.207963	0.194099	0.194724	0.190645
a21	0.0110995	0.0110871	0.0118429	0.0144948	0.0281916	0.138173	0.193271	0.259754	0.332085
a92	0.00552262	0.00417227	0.00376911	0.0039257	0.00685397	0.0695669	0.172933	0.305548	0.427708
a37	0.00272701	0.00211371	0.00156334	0.00147833	0.00281138	0.044362	0.156707	0.315224	0.473013
a44	0.00126898	0.000972739	0.000586258	0.000483839	0.000903596	0.0179974	0.11054	0.337415	0.529832
a13	0.000603993	0.00042684	0.000268405	0.000243834	0.000537142	0.012639	0.0908112	0.334072	0.560398
a57	0.000642841	0.00047316	0.000341111	0.000338185	0.00077363	0.0120836	0.0836926	0.323884	0.577771
a13	0.00955027	0.00653349	0.00579049	0.00784404	0.0114008	0.0456428	0.120553	0.301852	0.490834
a99	0.012589	0.00890819	0.00858646	0.0130001	0.0221267	0.0596879	0.121832	0.276945	0.476325
a87	0.0551344	0.0373894	0.043852	0.0606884	0.0659735	0.0965077	0.132939	0.205002	0.302514
a23	0.177236	0.139185	0.137637	0.120934	0.0799915	0.0645702	0.0745047	0.097578	0.108363
a38	0.023577	0.0141232	0.0122087	0.0129974	0.0147333	0.0418727	0.116668	0.289932	0.473888
a97	0.0177585	0.0128729	0.0144895	0.0182787	0.0240953	0.0664814	0.132704	0.263398	0.449922
</S>	0.0068382	0.0055804	0.00507969	0.00540615	0.00803145	0.0476116	0.131058	0.290749	0.499646
