 	cette	plaine	a	des	sauterelles	</S>
a66	0.56178	0.285183	0.101535	0.0356611	0.0121786	0.0036625
a87	0.453668	0.256144	0.172756	0.0689544	0.0323206	0.0161571
a23	0.50971	0.238632	0.156452	0.0467374	0.0294719	0.0189973
a79	0.467783	0.224739	0.13942	0.049586	0.0565343	0.0619383
a44	0.350733	0.243046	0.159957	0.0998091	0.0794728	0.0669822
a79	0.327769	0.313133	0.191587	0.077039	0.0574117	0.0330603
a44	0.237401	0.305349	0.242963	0.11425	0.0640771	0.0359596
a69	0.163129	0.246231	0.270792	0.155534	0.0992376	0.0650772
a56	0.144228	0.163028	0.173658	0.18533	0.210959	0.122797
a75	0.122687	0.0820924	0.100617	0.179931	0.269825	0.244848
a85	0.0647391	0.0366048	0.0662356	0.189321	0.293216	0.349883
a47	0.00890807	0.00577637	0.0212683	0.0957955	0.319372	0.548879
a37	0.00233509	0.0020152	0.00878224	0.0610859	0.299258	0.626523
a85	0.00289082	0.00311547	0.009078	0.0348382	0.210619	0.739459
a0	0.00141296	0.00192744	0.00716366	0.0346543	0.234876	0.719965
a11	0.00944657	0.0136113	0.0229717	0.0768271	0.27274	0.604403
a10	0.0427887	0.0317363	0.0314164	0.0716308	0.257729	0.564699
a87	0.329847	0.0937959	0.0623035	0.0758936	0.165956	0.272204
a23	0.555045	0.220117	0.101524	0.0433997	0.043344	0.0365696
a87	0.306076	0.142595	0.118482	0.0941846	0.14441	0.194254
</S>	0.0141382	0.00848674	0.0176469	0.0483194	0.32256	0.588849
