 	les	blancs	n'	aiment	pas	vivre	en	brousse	</S>
a23	0.301628	0.162311	0.116091	0.139095	0.133801	0.0513726	0.0354626	0.0299415	0.0302982
a87	0.415027	0.207546	0.129744	0.0599259	0.0511408	0.0350522	0.0327948	0.0305546	0.0382145
a23	0.166848	0.150432	0.149431	0.09223	0.0664959	0.0572544	0.0729875	0.110506	0.133815
a24	0.249334	0.171798	0.137833	0.0473832	0.0397322	0.0502863	0.077163	0.0957443	0.130726
a38	0.448416	0.263698	0.161054	0.047929	0.0261205	0.0150178	0.0140285	0.0107745	0.0129612
a9	0.385897	0.240093	0.180138	0.0691853	0.0471971	0.0258983	0.0197566	0.0154248	0.0164105
a38	0.173677	0.133458	0.151275	0.140376	0.115019	0.0759701	0.0657408	0.0695601	0.0749229
a41	0.110325	0.103021	0.132214	0.158204	0.143825	0.101959	0.0825125	0.0863939	0.0815461
a35	0.162684	0.163592	0.191497	0.158591	0.135751	0.0782429	0.0426325	0.0364391	0.0305708
a30	0.137504	0.133882	0.173698	0.175981	0.161645	0.0898483	0.0479035	0.0419917	0.0375458
a0	0.0936344	0.0824141	0.111843	0.188426	0.204848	0.123759	0.0674889	0.0650586	0.0625284
a27	0.0799723	0.0779172	0.133497	0.197836	0.229895	0.117812	0.0560797	0.0530876	0.0539031
a57	0.0392209	0.0415837	0.0688009	0.14471	0.230434	0.164999	0.0897072	0.106531	0.114013
a87	0.0457677	0.0457215	0.0595992	0.115437	0.197564	0.184216	0.100376	0.116692	0.134626
a23	0.146428	0.129435	0.113995	0.153622	0.17273	0.127889	0.0632542	0.0441346	0.0485123
a24	0.108945	0.0779266	0.101982	0.147624	0.15077	0.123709	0.0858507	0.0865282	0.116665
a71	0.154315	0.116757	0.123497	0.137168	0.152215	0.121954	0.0762614	0.0620459	0.055787
a24	0.129518	0.10951	0.13894	0.155194	0.16435	0.122831	0.0755064	0.0606327	0.0435181
a98	0.139808	0.119979	0.145728	0.153047	0.165838	0.103369	0.0662486	0.0598669	0.046116
a71	0.0838715	0.0753857	0.113286	0.16179	0.200636	0.127304	0.0792914	0.0823491	0.076087
a38	0.0417656	0.0322109	0.0502639	0.127709	0.195509	0.178795	0.121911	0.133836	0.117999
a76	0.0221806	0.0203742	0.0305473	0.0862397	0.172798	0.181094	0.131501	0.177373	0.177892
a94	0.0271668	0.0271041	0.0426045	0.12294	0.181597	0.166026	0.115665	0.144215	0.172682
a76	0.0227234	0.0197248	0.0274179	0.0801742	0.142124	0.179247	0.143298	0.188447	0.196844
a94	0.0329515	0.0312593	0.0376132	0.0837885	0.139102	0.159644	0.125966	0.174285	0.215391
a11	0.0301175	0.023981	0.0273722	0.0552308	0.104701	0.178503	0.161091	0.205437	0.213566
a24	0.0235272	0.0178885	0.0197639	0.0406472	0.0852417	0.172561	0.172032	0.22831	0.240028
a41	0.0132862	0.0111696	0.0123073	0.0254892	0.0464057	0.126635	0.176105	0.261267	0.327334
a94	0.00872592	0.00641774	0.00695721	0.020269	0.0501413	0.144108	0.18602	0.247502	0.329859
a54	0.00977514	0.0069871	0.00752097	0.0197357	0.0435779	0.127427	0.182338	0.268302	0.334336
a73	0.0101856	0.00715904	0.00853976	0.0227634	0.0473218	0.110445	0.163257	0.253469	0.376859
a32	0.0107525	0.00826333	0.00902875	0.0188518	0.046263	0.120127	0.171209	0.258634	0.35687
a54	0.00816611	0.00605831	0.00644731	0.0148593	0.0334517	0.0901593	0.155055	0.279704	0.4061
a73	0.00788511	0.00650683	0.00785088	0.0179012	0.0394866	0.0914952	0.153398	0.25987	0.415607
a2	0.00857544	0.00720627	0.0083727	0.0152424	0.0327698	0.0864005	0.162329	0.278611	0.400493
a53	0.00414869	0.0041985	0.00509378	0.00882352	0.0139003	0.0460018	0.101991	0.289702	0.526141
a20	0.00418039	0.00290938	0.00324395	0.00535996	0.0115411	0.0431408	0.092395	0.264262	0.572967
a69	0.00255687	0.00176898	0.00197362	0.00479556	0.0115806	0.0336658	0.0858779	0.237532	0.620249
a58	0.00431465	0.00286466	0.00311911	0.00629303	0.0145303	0.0412379	0.090813	0.250593	0.586234
a54	0.00399231	0.00315847	0.00334627	0.00510805	0.0101064	0.0273355	0.0663211	0.250188	0.630443
a73	0.00520203	0.00354492	0.00359432	0.00531157	0.0141848	0.0436747	0.0907267	0.231496	0.602265
a84	0.00489888	0.00276499	0.00245224	0.00334241	0.0078702	0.0242654	0.070684	0.23039	0.653332
a57	0.0043792	0.00323085	0.00343072	0.0043948	0.0066171	0.0211289	0.0617936	0.2776	0.617425
a87	0.004061	0.00298132	0.00327094	0.00490239	0.00730071	0.022564	0.0747089	0.296724	0.583487
</S>	0.0108119	0.00719062	0.00581907	0.00730778	0.0103602	0.0341092	0.106017	0.315811	0.502573
