 	elle	a	déchiré	le	bas	de	son	pagne	</S>
a23	0.224999	0.157157	0.0902966	0.0713539	0.085265	0.109466	0.105899	0.0881473	0.0674158
a30	0.311937	0.21981	0.149709	0.0792831	0.0634606	0.0546488	0.0406847	0.0424122	0.0380544
a53	0.232258	0.238753	0.22393	0.104091	0.0581958	0.0398612	0.0303044	0.0339617	0.0386442
a69	0.384852	0.303272	0.124209	0.0548828	0.0354464	0.0268877	0.0234073	0.0213395	0.0257033
a58	0.308339	0.270044	0.171165	0.0908402	0.0510263	0.032367	0.0253247	0.0232412	0.0276524
a15	0.18108	0.189263	0.187651	0.135069	0.0858349	0.0569055	0.0467205	0.0516785	0.0657976
a79	0.1247	0.130019	0.145552	0.146553	0.127653	0.100021	0.0778562	0.0703908	0.0772551
a56	0.120557	0.128535	0.148801	0.151693	0.127672	0.101495	0.0803617	0.0682938	0.072591
a32	0.109643	0.10906	0.135639	0.148912	0.135065	0.109654	0.0892706	0.0798237	0.0829322
a24	0.0826523	0.0787103	0.105602	0.146729	0.16039	0.138267	0.105216	0.0881644	0.0942694
a38	0.077347	0.0591826	0.0712691	0.125432	0.191875	0.183996	0.129176	0.0838757	0.0778475
a10	0.0885834	0.0690318	0.0765239	0.124777	0.192362	0.179728	0.118664	0.078376	0.0719536
a47	0.0559537	0.0450509	0.050016	0.0817109	0.152345	0.195527	0.170521	0.126652	0.122223
a62	0.0532379	0.0399341	0.0429186	0.0642884	0.113762	0.168821	0.195836	0.160284	0.160918
a83	0.0411836	0.0311107	0.0343764	0.0573271	0.112882	0.17533	0.217604	0.173439	0.156748
a9	0.0280306	0.0211689	0.0222873	0.0380972	0.0784685	0.148907	0.240449	0.222878	0.199714
a38	0.00777482	0.00543437	0.00568191	0.00968152	0.0237685	0.0661814	0.173077	0.314657	0.393742
a13	0.00402179	0.00266411	0.00278377	0.00416537	0.009625	0.0299815	0.119165	0.321635	0.505958
a9	0.00279026	0.00192249	0.00209905	0.00290111	0.00718102	0.0259907	0.111841	0.313581	0.531693
a38	0.0185628	0.0119831	0.00878487	0.00838757	0.0145676	0.0371792	0.122422	0.268037	0.510075
a25	0.0159108	0.0108186	0.00995303	0.00989604	0.0166409	0.0389997	0.117823	0.264415	0.515543
a15	0.00528847	0.00385785	0.00422188	0.00489806	0.00921165	0.0250676	0.0885918	0.249697	0.609165
a69	0.00492925	0.0035172	0.00380972	0.00419516	0.00735054	0.0192213	0.0702733	0.23751	0.649194
a58	0.000806947	0.000661267	0.000844771	0.00126354	0.00279087	0.00911805	0.0440575	0.191053	0.749404
a84	0.00242153	0.00176626	0.00183294	0.00251644	0.00498463	0.0138003	0.0588362	0.215679	0.698163
a10	0.0627586	0.045185	0.0360129	0.0317205	0.0392528	0.05958	0.122316	0.226146	0.377028
a82	0.0950813	0.0653766	0.0502046	0.0375448	0.0422255	0.057038	0.111704	0.216668	0.324157
</S>	0.0866519	0.0607875	0.0453506	0.0353565	0.0404397	0.0578877	0.122711	0.226636	0.32418
