 	la	sueur	dégouline	sur	son	visage	</S>
a66	0.412851	0.195107	0.133974	0.106386	0.0686194	0.0521966	0.0308669
a87	0.419197	0.187571	0.0905642	0.087662	0.0695587	0.0739558	0.0714912
a97	0.30002	0.210491	0.139766	0.0975335	0.0649199	0.0816115	0.105657
a53	0.322772	0.254481	0.114831	0.0845495	0.0441681	0.0696685	0.109529
a4	0.413715	0.282646	0.160011	0.0493415	0.0278742	0.0323823	0.0340302
a58	0.344335	0.336134	0.197518	0.0623872	0.0244058	0.0198998	0.0153191
a53	0.234309	0.356375	0.212703	0.0897527	0.0419373	0.0342013	0.0307226
a93	0.212289	0.327817	0.249714	0.0992983	0.0420931	0.0336514	0.0351367
a34	0.206254	0.308452	0.252406	0.101429	0.0491637	0.0403814	0.0419129
a56	0.213358	0.280099	0.26415	0.114615	0.0509137	0.037669	0.0391949
a79	0.191441	0.264123	0.253176	0.132791	0.0658666	0.0433566	0.0492458
a25	0.143692	0.207923	0.237585	0.183831	0.106416	0.058883	0.0616699
a69	0.104636	0.153791	0.251375	0.177899	0.115404	0.0847314	0.112163
a94	0.0786889	0.0942274	0.201852	0.191223	0.146841	0.126435	0.160734
a21	0.0334767	0.0324583	0.131678	0.203671	0.180578	0.175634	0.242504
a75	0.0218131	0.0173542	0.0693289	0.172073	0.229234	0.226083	0.264112
a92	0.00553339	0.0060241	0.0377939	0.144383	0.276612	0.283554	0.246099
a90	0.0042832	0.00421593	0.023984	0.100915	0.24145	0.326683	0.298468
a98	0.00269266	0.00313857	0.0133488	0.0653429	0.192171	0.333938	0.389368
a92	0.00180597	0.0023524	0.0113209	0.0429084	0.144666	0.310051	0.486895
a56	0.000865706	0.00130587	0.00542484	0.0235149	0.103218	0.324752	0.540919
a47	0.000609563	0.000825156	0.00241501	0.0108145	0.0621596	0.295899	0.627277
a62	0.000561914	0.0010009	0.00332946	0.0131327	0.0723305	0.323654	0.585991
a96	0.000390888	0.000700396	0.00235501	0.00801188	0.0425385	0.270597	0.675407
a83	0.000276681	0.000670056	0.0027526	0.00882354	0.0488152	0.27548	0.663182
a9	0.000355797	0.00108336	0.00493589	0.0172952	0.0831452	0.293916	0.599269
a3	0.0156443	0.0240413	0.0477134	0.0894139	0.165824	0.246621	0.410743
a97	0.0983551	0.0733155	0.0703447	0.102869	0.147673	0.22286	0.284583
a87	0.0998714	0.0562709	0.0397536	0.0743886	0.135815	0.286622	0.307278
</S>	0.0480828	0.0273014	0.0312358	0.0760288	0.166029	0.318351	0.332972
