 	elle	a	un	bouton	sur	le	nez	</S>
a85	0.236543	0.219121	0.157072	0.101087	0.0551929	0.0510557	0.0767236	0.103205
a87	0.233985	0.174111	0.133558	0.0951759	0.0829725	0.0744298	0.0777	0.128068
a23	0.307012	0.20572	0.152349	0.0917733	0.0759871	0.0572502	0.0469712	0.0629362
a13	0.303022	0.218355	0.157168	0.0934902	0.0612354	0.0417708	0.0381967	0.0867616
a20	0.291668	0.230157	0.163932	0.111748	0.0574921	0.0398259	0.0410188	0.0641579
a73	0.311895	0.237079	0.2085	0.132338	0.0503124	0.0261368	0.0176436	0.0160943
a26	0.266039	0.227543	0.202718	0.150163	0.0757246	0.0401966	0.0228675	0.0147495
a35	0.262227	0.203769	0.179726	0.151962	0.086785	0.0553422	0.0372893	0.0228998
a30	0.26498	0.212196	0.176358	0.136918	0.0782973	0.0593475	0.0434067	0.0284974
a35	0.192091	0.183589	0.168227	0.164685	0.10638	0.0855458	0.0627374	0.036745
a41	0.177257	0.167878	0.155991	0.149302	0.108777	0.104229	0.0837571	0.0528101
a27	0.114648	0.118135	0.124948	0.14794	0.118694	0.136147	0.139285	0.100202
a30	0.0578793	0.0565406	0.0642276	0.0966499	0.104373	0.15912	0.245003	0.216206
a35	0.084511	0.0781159	0.0849008	0.116553	0.116017	0.151254	0.189163	0.179486
a14	0.0321099	0.0309115	0.0365072	0.0620447	0.0779016	0.15723	0.286444	0.316851
a76	0.0393785	0.0405025	0.0501291	0.079634	0.0979586	0.164026	0.249352	0.27902
a94	0.018142	0.0197657	0.0261574	0.051509	0.0686239	0.144822	0.303091	0.367889
a58	0.0125711	0.0145707	0.0191374	0.0359761	0.0501868	0.116286	0.286606	0.464666
a38	0.0123799	0.0123096	0.0134293	0.0267618	0.0373089	0.0878108	0.248627	0.561373
a21	0.00888457	0.00769193	0.00815629	0.0173942	0.0270033	0.0697566	0.216602	0.644511
a41	0.0113641	0.0111883	0.0134103	0.0266359	0.0382621	0.0852967	0.233199	0.580643
a94	0.012483	0.012327	0.0145381	0.026515	0.0400361	0.0846972	0.217032	0.592372
a66	0.0124331	0.0105429	0.0112121	0.0213455	0.0364028	0.0864261	0.215401	0.606237
a54	0.00966809	0.00845583	0.00891334	0.0186634	0.0305959	0.0725741	0.201525	0.649605
a30	0.0117053	0.0109497	0.0117689	0.0197709	0.0314286	0.0674487	0.182505	0.664423
a2	0.01814	0.0150723	0.0140582	0.0212426	0.036757	0.0834988	0.211056	0.600175
a57	0.0242763	0.0213812	0.0208224	0.0331802	0.0478557	0.0956352	0.233125	0.523723
a87	0.034679	0.0316908	0.0327803	0.0537613	0.0700103	0.133134	0.270407	0.373538
</S>	0.0405689	0.0354779	0.0337544	0.0538254	0.0662133	0.120219	0.267871	0.38207
