 	la	mère	lave	son	enfant	</S>
a23	0.563185	0.218212	0.09576	0.050419	0.0399764	0.0324469
a13	0.632334	0.253037	0.0659868	0.0181285	0.0136972	0.0168161
a53	0.327549	0.332266	0.195869	0.0711054	0.0391202	0.0340904
a93	0.434849	0.377441	0.13076	0.0287509	0.0153547	0.0128444
a54	0.344852	0.38112	0.194129	0.042803	0.0205852	0.0165107
a15	0.210275	0.326987	0.263583	0.100175	0.0554112	0.0435687
a7	0.244266	0.261923	0.156422	0.126105	0.10987	0.101414
a94	0.155304	0.183936	0.145628	0.172313	0.172608	0.170211
a43	0.078716	0.0788571	0.103579	0.175918	0.247018	0.315912
a75	0.0366964	0.0418368	0.0772612	0.187148	0.285876	0.371182
a79	0.0177052	0.0215443	0.0516684	0.123742	0.285727	0.499613
a7	0.0134263	0.0171743	0.0356367	0.0983428	0.281498	0.553922
a54	0.00878128	0.0120688	0.0230791	0.0775742	0.307767	0.57073
a7	0.00418996	0.00722759	0.0147669	0.0629904	0.29674	0.614086
a2	0.00281804	0.00527471	0.0126918	0.0486438	0.243435	0.687137
a57	0.0199697	0.0198933	0.0205353	0.054663	0.233374	0.651565
a87	0.307846	0.169029	0.127945	0.12826	0.131725	0.135196
a23	0.404801	0.302359	0.127815	0.0675958	0.0525228	0.0449068
a87	0.168456	0.186067	0.139599	0.127529	0.192533	0.185816
</S>	0.0386603	0.0440695	0.0600942	0.122034	0.317448	0.417694
