 	les	chasseurs	ont	abattu	un	buffle	</S>
a23	0.259551	0.223568	0.163903	0.16294	0.0872214	0.0657275	0.0370884
a10	0.237643	0.165687	0.146836	0.16096	0.119852	0.0974789	0.0715434
a87	0.171561	0.128489	0.136554	0.160032	0.14126	0.138801	0.123303
a40	0.186699	0.149322	0.127984	0.133188	0.124625	0.134961	0.143222
a30	0.444375	0.141841	0.0889958	0.0805057	0.0708067	0.0834111	0.0900646
a44	0.515325	0.219288	0.104165	0.075968	0.0412979	0.0240779	0.0198777
a26	0.431487	0.243076	0.125627	0.0825078	0.0507664	0.0340499	0.032486
a24	0.285598	0.258394	0.160763	0.105314	0.073244	0.0575567	0.0591299
a98	0.288711	0.262083	0.170825	0.111004	0.0657126	0.0500901	0.0515742
a66	0.272737	0.284512	0.194708	0.117241	0.0603601	0.034291	0.0361508
a24	0.213632	0.240133	0.189611	0.132708	0.0851074	0.0649278	0.073881
a41	0.2013	0.222453	0.175699	0.129707	0.0961049	0.0853229	0.0894128
a35	0.163027	0.181047	0.15184	0.131481	0.126458	0.12333	0.122818
a24	0.141906	0.170333	0.146398	0.135639	0.144759	0.134545	0.12642
a66	0.0704357	0.0865733	0.0955315	0.116984	0.175956	0.231885	0.222635
a90	0.0404193	0.0583339	0.0761714	0.110462	0.176335	0.2637	0.274579
a76	0.024305	0.0344357	0.0625905	0.115833	0.203707	0.28375	0.275379
a35	0.0325689	0.0412043	0.0750782	0.119665	0.190198	0.265393	0.275892
a75	0.0133302	0.0159461	0.034637	0.0824213	0.192716	0.341048	0.319901
a35	0.0184474	0.0196339	0.0374273	0.0922257	0.200259	0.336876	0.295131
a38	0.00584737	0.00725981	0.0194147	0.0603396	0.165153	0.381219	0.360767
a75	0.00292863	0.00325481	0.0105644	0.0327022	0.118971	0.39557	0.436009
a14	0.00242	0.00275179	0.00989066	0.0389173	0.157113	0.430376	0.358532
a30	0.00188902	0.00227917	0.00834842	0.0340317	0.144307	0.422014	0.38713
a57	0.00242324	0.00285675	0.0114752	0.0374077	0.139853	0.392679	0.413306
a87	0.00559745	0.0042337	0.0108183	0.0328188	0.11274	0.349221	0.484571
a23	0.00922773	0.0117259	0.0382466	0.0880667	0.216018	0.331712	0.305003
</S>	0.0177296	0.0198099	0.0476201	0.0875642	0.18082	0.284774	0.361681
