 	a	qui	appartient	l'	enfant	qui	a	vomi	sur	mon	lit	</S>
a66	0.168584	0.145855	0.132376	0.133172	0.117583	0.0964643	0.092278	0.0612428	0.023617	0.0123902	0.00821779	0.00822021
a87	0.20896	0.131447	0.134338	0.137992	0.112595	0.086729	0.0802136	0.0352799	0.0199828	0.0178875	0.0165867	0.0179877
a23	0.278745	0.201297	0.210959	0.1348	0.067947	0.0427018	0.0264344	0.0106232	0.00596476	0.00580015	0.00727154	0.0074553
a30	0.254554	0.177558	0.177107	0.112596	0.056098	0.0440288	0.0309432	0.0187588	0.0177145	0.0286017	0.036199	0.0458421
a93	0.211706	0.158813	0.168287	0.12718	0.0766156	0.0688257	0.050552	0.026329	0.0189897	0.0257004	0.0322802	0.0347212
a44	0.159746	0.150678	0.14994	0.160937	0.134673	0.0961349	0.074	0.0284356	0.0111642	0.0108272	0.0114409	0.012023
a93	0.10719	0.109842	0.131591	0.168731	0.167263	0.128929	0.0934314	0.0372115	0.0128465	0.0125379	0.0138051	0.0166207
a56	0.0862326	0.0925796	0.107799	0.141356	0.162204	0.150054	0.111289	0.0548279	0.0229054	0.0211663	0.022597	0.0269887
a75	0.0733255	0.0853212	0.100606	0.138572	0.166905	0.154901	0.118219	0.0665191	0.0255058	0.0206496	0.0221053	0.02737
a85	0.0403585	0.0489008	0.0638477	0.104224	0.144584	0.155378	0.16114	0.131801	0.0507634	0.0319809	0.0288668	0.0381544
a47	0.0260255	0.0301433	0.0344728	0.0550779	0.0867571	0.113126	0.140299	0.183543	0.107152	0.0743703	0.0659551	0.083078
a92	0.0414899	0.0469654	0.047077	0.0659938	0.103289	0.139731	0.155889	0.167504	0.0706059	0.0517788	0.0490783	0.0605977
a56	0.0338544	0.0369697	0.0396215	0.0602435	0.0972445	0.129767	0.149519	0.178465	0.0892029	0.0598464	0.0569499	0.0683161
a44	0.041715	0.042375	0.0470101	0.0692748	0.105162	0.142681	0.154184	0.168612	0.0799673	0.0502959	0.0457842	0.0529391
a75	0.0228453	0.0233577	0.0235087	0.0338902	0.059265	0.0982086	0.133058	0.206299	0.127479	0.0867351	0.0855742	0.0997788
a21	0.00579949	0.00606596	0.0055512	0.00835292	0.0173861	0.0344175	0.062701	0.182581	0.175881	0.162382	0.164833	0.174049
a47	0.00901072	0.00868739	0.00765512	0.00924	0.0138714	0.0222812	0.0349256	0.121734	0.181195	0.173927	0.206458	0.211015
a21	0.0114642	0.0121705	0.0110392	0.0130771	0.0208487	0.0364862	0.0533216	0.171273	0.205119	0.151225	0.148605	0.165371
a12	0.0050941	0.00514697	0.00415616	0.00497363	0.0079378	0.0133875	0.0218415	0.0972895	0.202493	0.199612	0.214319	0.22375
a18	0.00450148	0.00495358	0.0045943	0.00511477	0.00750178	0.0116846	0.0149905	0.0439378	0.109261	0.196516	0.266161	0.330783
a85	0.0188993	0.021932	0.0260009	0.0262839	0.0321277	0.0400725	0.03579	0.0557178	0.0723149	0.131255	0.221303	0.318303
a5	0.0119519	0.0109635	0.0130305	0.0123383	0.0132699	0.0156505	0.0154201	0.0314106	0.0659589	0.153043	0.269773	0.38719
a47	0.000585402	0.000546069	0.000502786	0.000459025	0.000683631	0.0011763	0.00216641	0.0151106	0.0630729	0.179416	0.329479	0.406802
a61	0.000349345	0.000317473	0.000272096	0.000228781	0.000338383	0.000590036	0.00111447	0.00889214	0.04478	0.165116	0.343431	0.43457
a98	0.000575023	0.000551557	0.000501597	0.000457435	0.000765817	0.00122849	0.00203801	0.0102788	0.0444647	0.158909	0.309446	0.470784
a85	0.000151819	0.000147346	0.000137436	0.000122634	0.000202842	0.000367352	0.000750045	0.00680662	0.0372216	0.148405	0.325564	0.480124
a6	0.000131889	0.000124658	0.000110634	9.36571e-05	0.000153263	0.000283112	0.000647612	0.00672952	0.0413791	0.156272	0.330036	0.464038
a37	0.000201025	0.000193525	0.000176422	0.000160927	0.000303252	0.000552682	0.00122107	0.00992609	0.049279	0.15869	0.319265	0.460031
a36	0.00129923	0.00125948	0.00106142	0.0010337	0.00187953	0.00274047	0.0047913	0.0203875	0.0653429	0.169938	0.3102	0.420067
a27	0.00606525	0.00508718	0.00659832	0.005752	0.00722769	0.00721856	0.00948894	0.0237597	0.0656887	0.159311	0.316387	0.387416
a57	0.0584102	0.0485753	0.0474387	0.0432056	0.0601485	0.0602125	0.0691327	0.101055	0.115101	0.116041	0.136516	0.144163
a87	0.240382	0.162057	0.141907	0.091045	0.0701506	0.0575177	0.0444639	0.040374	0.03739	0.0332979	0.0405008	0.0409138
a23	0.212743	0.164921	0.173759	0.135388	0.0997593	0.0732627	0.0472348	0.0248027	0.0163905	0.015373	0.0173489	0.0190165
a87	0.133722	0.1127	0.107914	0.0794772	0.0570199	0.0440522	0.0350239	0.0256078	0.0338808	0.0707913	0.133359	0.166451
</S>	0.0210732	0.0171314	0.0155123	0.0112136	0.00995996	0.00958189	0.0113036	0.0214085	0.055369	0.131564	0.27576	0.420122
