 	les	blancs	mangent	du	pain	</S>
a66	0.442108	0.251975	0.1351	0.0928388	0.0497874	0.0281909
a87	0.270669	0.183236	0.150831	0.186772	0.116942	0.0915497
a97	0.321831	0.262324	0.225316	0.10359	0.0517141	0.0352251
a3	0.300406	0.253047	0.234526	0.104734	0.0645085	0.0427782
a83	0.319594	0.259712	0.207245	0.0972237	0.0666612	0.0495644
a62	0.451439	0.271545	0.177562	0.060219	0.0214585	0.0177775
a21	0.328526	0.246655	0.233761	0.11334	0.0460737	0.0316442
a12	0.235533	0.256421	0.30187	0.135129	0.0458942	0.0251518
a47	0.177937	0.243993	0.30951	0.176935	0.0604665	0.0311587
a88	0.134122	0.1718	0.312984	0.19837	0.102661	0.0800633
a21	0.0775946	0.109438	0.248796	0.228907	0.172575	0.162688
a85	0.089059	0.0936987	0.165912	0.241293	0.217266	0.192771
a6	0.0774007	0.0795162	0.137256	0.198729	0.221856	0.285242
a36	0.0238904	0.0209612	0.0773224	0.188002	0.287925	0.401899
a61	0.00766289	0.0066938	0.02359	0.076541	0.250845	0.634668
a18	0.0117441	0.0114609	0.0323542	0.1069	0.284395	0.553146
a37	0.00235315	0.00229515	0.0102656	0.0484755	0.225822	0.710789
a36	0.00139922	0.00128733	0.00460695	0.0255737	0.174854	0.792279
a26	0.00352831	0.00259649	0.00504255	0.0204043	0.141499	0.82693
a57	0.0290252	0.0195731	0.0308338	0.0585636	0.18816	0.673844
a97	0.102858	0.0610124	0.0768095	0.0876947	0.193652	0.477974
a10	0.21375	0.126498	0.117251	0.101002	0.192078	0.24942
a97	0.162941	0.100978	0.0876063	0.0966977	0.235021	0.316756
</S>	0.112666	0.078009	0.0884521	0.109358	0.261542	0.349973
