 	il	a	vraiment	faim	</S>
a15	0.43981	0.31422	0.135751	0.0649246	0.0452946
a66	0.281997	0.313476	0.227451	0.106496	0.0705802
a87	0.578005	0.268514	0.0966699	0.0325661	0.024245
a23	0.574342	0.286805	0.0998895	0.0232793	0.0156843
a30	0.569249	0.273813	0.109332	0.0276213	0.0199849
a53	0.50652	0.293518	0.126069	0.0408349	0.0330586
a54	0.397564	0.343538	0.162349	0.0574307	0.0391182
a6	0.140974	0.256864	0.277649	0.221385	0.103128
a36	0.11906	0.20312	0.245606	0.265276	0.166939
a5	0.168355	0.217893	0.213297	0.226547	0.173907
a21	0.194912	0.180094	0.175605	0.218508	0.230881
a85	0.130999	0.120044	0.163202	0.268595	0.317161
a5	0.053678	0.0576539	0.110568	0.308954	0.469145
a75	0.0498602	0.0393287	0.0872642	0.276768	0.546779
a85	0.0175125	0.0164523	0.0485682	0.251166	0.6663
a47	0.00867497	0.00936793	0.0388546	0.297609	0.645494
a37	0.00542394	0.00625749	0.0238333	0.167788	0.796697
a98	0.0287219	0.0292601	0.0581881	0.181597	0.702233
a47	0.0171672	0.0211738	0.0532673	0.188613	0.719779
a7	0.0071682	0.00982724	0.0301245	0.1625	0.79038
a54	0.0377465	0.0394409	0.067745	0.192161	0.662906
a36	0.0246628	0.0320399	0.0617097	0.219316	0.662271
a2	0.0318947	0.0451153	0.0804762	0.231499	0.611014
a57	0.168102	0.13386	0.155463	0.222353	0.320223
a87	0.416441	0.187824	0.116644	0.109985	0.169107
a23	0.446209	0.279747	0.151038	0.0675189	0.0554878
a87	0.307558	0.185302	0.154728	0.1507	0.201712
</S>	0.0762998	0.0656416	0.0913365	0.226767	0.539955
