 	votre	amitié	finira	mal	</S>
a10	0.314602	0.30924	0.254435	0.0701013	0.0516222
a93	0.312235	0.183498	0.137483	0.176798	0.189987
a56	0.463687	0.209847	0.147124	0.0882295	0.0911131
a96	0.653727	0.244976	0.062524	0.0194253	0.0193472
a56	0.617135	0.267757	0.0722033	0.0201406	0.022765
a90	0.463733	0.316786	0.144978	0.0384821	0.0360216
a25	0.418067	0.324822	0.159075	0.0486585	0.0493773
a85	0.401973	0.334181	0.164072	0.0509091	0.0488652
a37	0.310355	0.300126	0.199201	0.0976986	0.092619
a66	0.34432	0.330524	0.194374	0.064078	0.0667043
a61	0.217925	0.278776	0.25048	0.112612	0.140207
a31	0.168967	0.255959	0.340902	0.125084	0.109087
a61	0.107771	0.190303	0.394146	0.178125	0.129655
a88	0.0643024	0.13098	0.353153	0.250656	0.200909
a38	0.0312759	0.0734541	0.262425	0.289912	0.342933
a13	0.0164009	0.0385777	0.211844	0.328416	0.404762
a93	0.00698763	0.0194014	0.137323	0.347805	0.488483
a0	0.0166622	0.0399907	0.183088	0.309483	0.450776
a11	0.0022862	0.00555524	0.0468259	0.284601	0.660732
a93	0.00321416	0.0082227	0.0519456	0.305651	0.630967
a13	0.00258356	0.00583432	0.0367333	0.257253	0.697596
a18	0.00358083	0.0070843	0.0437202	0.297685	0.64793
a62	0.0111695	0.0140939	0.0663476	0.326575	0.581814
a83	0.00222219	0.0049782	0.0329494	0.257524	0.702326
a9	0.00267708	0.00648757	0.0414184	0.289216	0.660201
a87	0.0158217	0.0168218	0.0701196	0.301408	0.595829
a23	0.0480382	0.0425152	0.117607	0.313273	0.478566
a87	0.0502598	0.0452982	0.103036	0.305423	0.495982
a23	0.0267178	0.0280667	0.0609342	0.270194	0.614088
a87	0.0352355	0.0307259	0.0656281	0.272373	0.596037
</S>	0.052264	0.045961	0.0625957	0.256447	0.582732
