 	cette	manière	de	goûter	la	nourriture	c'	est	de	l'	avidité	</S>
a87	0.245572	0.171445	0.110904	0.0852658	0.0551551	0.0624525	0.066033	0.0635303	0.0526993	0.0397984	0.0292564	0.0178888
a23	0.390902	0.189335	0.131132	0.0564263	0.034896	0.0308224	0.0278869	0.0251483	0.0215529	0.0185243	0.0260339	0.0473399
a5	0.0613549	0.0716159	0.0854329	0.146138	0.174081	0.127639	0.0785549	0.0659564	0.055926	0.0399561	0.0405745	0.05277
a37	0.347016	0.219359	0.146356	0.0758029	0.0367956	0.0269067	0.0252896	0.0268989	0.0265501	0.0222873	0.0224149	0.0243233
a6	0.226022	0.262164	0.18555	0.157393	0.070125	0.0367964	0.015876	0.00950602	0.00755043	0.00740059	0.00755981	0.0140559
a37	0.23295	0.226471	0.17678	0.145753	0.0743256	0.0449827	0.0268988	0.0173131	0.0133113	0.0117592	0.0107829	0.0186725
a21	0.104299	0.164773	0.131338	0.216798	0.153531	0.10366	0.0429687	0.0262255	0.0179768	0.0144186	0.0121852	0.0118258
a5	0.0772073	0.0916605	0.0850791	0.145954	0.161769	0.163378	0.0933408	0.0620588	0.0397999	0.0296105	0.0276968	0.0224461
a21	0.0224877	0.0335333	0.0352303	0.0957233	0.183802	0.204042	0.123822	0.0886723	0.0638962	0.0490063	0.0550044	0.0447798
a47	0.0169717	0.0244224	0.0274877	0.0643753	0.153153	0.206705	0.150038	0.113632	0.0814916	0.0573812	0.0591692	0.0451734
a61	0.00920944	0.0133399	0.016285	0.044582	0.139156	0.220443	0.178489	0.133117	0.0916838	0.0602759	0.0529397	0.0404788
a34	0.00567178	0.00716395	0.00872252	0.0229196	0.0841194	0.181639	0.204509	0.160797	0.108932	0.0759407	0.0760641	0.0635209
a93	0.00548325	0.00678432	0.00843088	0.0195249	0.0546405	0.128581	0.216822	0.197473	0.136149	0.0901329	0.076111	0.059868
a70	0.00307173	0.00348323	0.00497446	0.0127956	0.0441777	0.105356	0.224876	0.222228	0.154706	0.0936528	0.0756533	0.0550258
a13	0.00366467	0.00433179	0.00633882	0.0163515	0.0439164	0.0837819	0.184989	0.220359	0.168677	0.106067	0.0855986	0.0759249
a62	0.00592694	0.00553956	0.00776716	0.0140584	0.0351053	0.0580304	0.104784	0.15068	0.149069	0.130601	0.158367	0.180072
a47	0.00247423	0.00280716	0.00402776	0.0126729	0.0324559	0.0604854	0.133919	0.182583	0.16614	0.126777	0.126792	0.148865
a96	0.00242264	0.00297005	0.00450206	0.0138074	0.0355523	0.0612234	0.107338	0.151215	0.175811	0.152168	0.153097	0.139894
a37	0.000738004	0.000798294	0.00156665	0.00519608	0.0183717	0.0380075	0.0931896	0.152636	0.20236	0.179446	0.173939	0.133752
a26	0.000760773	0.000655252	0.00123591	0.00331819	0.0134852	0.0294295	0.0732669	0.1175	0.168187	0.169456	0.213216	0.209489
a38	0.00234602	0.00199705	0.00255552	0.00354624	0.00866682	0.0163365	0.0363434	0.0678753	0.128446	0.159308	0.255968	0.316611
a3	0.00282003	0.00198901	0.00228752	0.00306975	0.00905623	0.0173401	0.036294	0.0626823	0.110404	0.139953	0.250689	0.363416
a87	0.0312005	0.0176926	0.0206103	0.0157708	0.0195995	0.0253534	0.0434277	0.06746	0.113519	0.137391	0.212974	0.295001
a23	0.18726	0.0905649	0.111081	0.0508686	0.0344166	0.0273845	0.0387242	0.052999	0.0860456	0.0947941	0.108344	0.117518
a87	0.0238431	0.0171251	0.0293248	0.0185114	0.0215911	0.0219392	0.054653	0.0983849	0.157805	0.174402	0.189046	0.193375
</S>	0.0125701	0.00799511	0.0154003	0.0103904	0.0153494	0.0202687	0.0596551	0.0910908	0.140176	0.166108	0.201996	0.259
